broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_8bc168692b03,intent_d3d80cb6ca94,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040202_01,EURUSD,paper,sell,stop,5,0,filled,,1.24545,false,entry,,,2004-02-02T09:44:00-05:00,2004-02-02T15:59:00,2026-07-15T19:46:33Z,2026-07-15T19:46:33Z
ord_80079b6d28d8,intent_6f7319c1e443,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040202_01,EURUSD,paper,buy,stop,5,5,cancelled,,1.2468,true,wide_stop,,,,2004-02-02T15:59:00,2026-07-15T19:46:33Z,2026-07-15T19:46:33Z
ord_8deb9bb4b708,intent_12ac002562d4,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040202_01,EURUSD,paper,buy,limit,1,0,filled,1.2441200000000001,,true,tp1,,,,2004-02-02T15:59:00,2026-07-15T19:46:33Z,2026-07-15T19:46:33Z
ord_b4966503b379,intent_cd803ba4d589,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040202_01,EURUSD,paper,buy,limit,1,1,cancelled,1.2427800000000002,,true,tp2,,,,2004-02-02T15:59:00,2026-07-15T19:46:33Z,2026-07-15T19:46:33Z
ord_7f601fcf15f0,intent_9ec221b14975,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040202_01,EURUSD,paper,buy,stop,4,0,filled,,1.24545,true,runner_stop,,,,2004-02-02T15:59:00,2026-07-15T19:46:33Z,2026-07-15T19:46:33Z
ord_0d4d9010cf8e,intent_9d1bd9041e82,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040202_01,EURUSD,paper,buy,limit,1,1,cancelled,1.2427800000000002,,true,tp2,,,,2004-02-02T15:59:00,2026-07-15T19:46:33Z,2026-07-15T19:46:33Z
ord_042b212a8f75,intent_d3a6bb3aafa8,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040226_01,EURUSD,paper,sell,stop,5,0,filled,,1.2429299999999999,false,entry,,,2004-02-26T09:44:00-05:00,2004-02-26T15:59:00,2026-07-15T19:46:34Z,2026-07-15T19:46:34Z
ord_12da311958a4,intent_afd40d183daa,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040226_01,EURUSD,paper,buy,stop,5,5,cancelled,,1.24397,true,wide_stop,,,,2004-02-26T15:59:00,2026-07-15T19:46:34Z,2026-07-15T19:46:34Z
ord_c8c44568fb0e,intent_28252c425afc,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040226_01,EURUSD,paper,buy,limit,1,0,filled,1.2419099999999998,,true,tp1,,,,2004-02-26T15:59:00,2026-07-15T19:46:34Z,2026-07-15T19:46:34Z
ord_08084f173982,intent_db2a4f769445,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040226_01,EURUSD,paper,buy,limit,1,1,cancelled,1.2408799999999998,,true,tp2,,,,2004-02-26T15:59:00,2026-07-15T19:46:34Z,2026-07-15T19:46:34Z
ord_6104de22187e,intent_4875776b981c,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040226_01,EURUSD,paper,buy,stop,4,0,filled,,1.2429299999999999,true,runner_stop,,,,2004-02-26T15:59:00,2026-07-15T19:46:34Z,2026-07-15T19:46:34Z
ord_cde2281748ec,intent_e0db23bc2820,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040226_01,EURUSD,paper,buy,limit,1,1,cancelled,1.2408799999999998,,true,tp2,,,,2004-02-26T15:59:00,2026-07-15T19:46:34Z,2026-07-15T19:46:34Z
ord_b7e4aa1673e4,intent_a79243cd62a6,eurusd_v2b_monthly_swing_opposed_S_1_1_3,eurusd_v2b_monthly_swing_opposed_S_1_1_3_20040227_01,EURUSD,paper,sell,stop,5,0,filled,,1.2393399999999999,false,entry,,,2004-02-27T09:44:00-05:00,2004-02-27T15:59:00,2026-07-15T19:46:34Z,2026-07-15T19:46:34Z
