campaign_id,session_date,year,month,dow,entry_hour,strategy_book,base_size,base_realized_pnl,base_path_contribution,hp_flag,extra_size_multiplier,actual_extra_mask,actual_total_size,causal_flag_known_before_entry,condition,bucket,trade_id,entry_ts,net_usd
nq_v2b_sizing_S_1_1_3_20210304_01,2021-03-04,2021,3,Thursday,9,nq_v2b_s113,1.0,2257.5,2257.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210304_01,2021-03-04 14:47:00+00:00,2257.5
nq_v2b_sizing_S_1_1_3_20210304_02,2021-03-04,2021,3,Thursday,11,nq_v2b_s113,1.0,-11657.5,-11657.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210304_02,2021-03-04 16:02:00+00:00,-11657.5
nq_v2b_sizing_S_1_1_3_20210305_01,2021-03-05,2021,3,Friday,9,nq_v2b_s113,1.0,3132.5,3132.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210305_01,2021-03-05 14:49:00+00:00,3132.5
nq_v2b_sizing_S_1_1_3_20210305_02,2021-03-05,2021,3,Friday,13,nq_v2b_s113,1.0,5467.5,5467.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210305_02,2021-03-05 18:37:00+00:00,5467.5
nq_v2b_sizing_S_1_1_3_20210308_01,2021-03-08,2021,3,Monday,9,nq_v2b_s113,1.0,-15957.5,-15957.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210308_01,2021-03-08 14:45:00+00:00,-15957.5
nq_v2b_sizing_S_1_1_3_20210308_02,2021-03-08,2021,3,Monday,11,nq_v2b_s113,1.0,21197.5,21197.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210308_02,2021-03-08 16:51:00+00:00,21197.5
nq_v2b_sizing_S_1_1_3_20210309_01,2021-03-09,2021,3,Tuesday,9,nq_v2b_s113,1.0,11927.5,11927.5,True,0.25,True,1.25,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210309_01,2021-03-09 14:49:00+00:00,11927.5
nq_v2b_sizing_S_1_1_3_20210310_01,2021-03-10,2021,3,Wednesday,9,nq_v2b_s113,1.0,-9982.5,-9982.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210310_01,2021-03-10 14:50:00+00:00,-9982.5
nq_v2b_sizing_S_1_1_3_20210310_02,2021-03-10,2021,3,Wednesday,10,nq_v2b_s113,1.0,9537.5,9537.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210310_02,2021-03-10 15:22:00+00:00,9537.5
nq_v2b_sizing_S_1_1_3_20210311_01,2021-03-11,2021,3,Thursday,10,nq_v2b_s113,1.0,-7657.5,-7657.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210311_01,2021-03-11 15:18:00+00:00,-7657.5
nq_v2b_sizing_S_1_1_3_20210311_02,2021-03-11,2021,3,Thursday,10,nq_v2b_s113,1.0,4397.5,4397.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210311_02,2021-03-11 15:50:00+00:00,4397.5
nq_v2b_sizing_S_1_1_3_20210312_01,2021-03-12,2021,3,Friday,9,nq_v2b_s113,1.0,-7657.5,-7657.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210312_01,2021-03-12 14:50:00+00:00,-7657.5
nq_v2b_sizing_S_1_1_3_20210312_02,2021-03-12,2021,3,Friday,10,nq_v2b_s113,1.0,-9207.5,-9207.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210312_02,2021-03-12 15:28:00+00:00,-9207.5
nq_v2b_sizing_S_1_1_3_20210315_01,2021-03-15,2021,3,Monday,9,nq_v2b_s113,1.0,-5482.5,-5482.5,True,0.25,True,1.25,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210315_01,2021-03-15 13:52:00+00:00,-5482.5
nq_v2b_sizing_S_1_1_3_20210315_02,2021-03-15,2021,3,Monday,11,nq_v2b_s113,1.0,-5482.5,-5482.5,True,0.25,True,1.25,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210315_02,2021-03-15 15:35:00+00:00,-5482.5
nq_v2b_sizing_S_1_1_3_20210316_01,2021-03-16,2021,3,Tuesday,9,nq_v2b_s113,1.0,1097.5,1097.5,True,0.25,True,1.25,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210316_01,2021-03-16 13:45:00+00:00,1097.5
nq_v2b_sizing_S_1_1_3_20210316_02,2021-03-16,2021,3,Tuesday,14,nq_v2b_s113,1.0,-732.5,-732.5,True,0.25,True,1.25,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210316_02,2021-03-16 18:25:00+00:00,-732.5
nq_v2b_sizing_S_1_1_3_20210317_01,2021-03-17,2021,3,Wednesday,9,nq_v2b_s113,1.0,15452.5,15452.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210317_01,2021-03-17 13:49:00+00:00,15452.5
nq_v2b_sizing_S_1_1_3_20210318_01,2021-03-18,2021,3,Thursday,9,nq_v2b_s113,1.0,1112.5,1112.5,True,0.25,True,1.25,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210318_01,2021-03-18 13:45:00+00:00,1112.5
nq_v2b_sizing_S_1_1_3_20210319_01,2021-03-19,2021,3,Friday,10,nq_v2b_s113,1.0,-11357.5,-11357.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210319_01,2021-03-19 14:04:00+00:00,-11357.5
nq_v2b_sizing_S_1_1_3_20210319_02,2021-03-19,2021,3,Friday,10,nq_v2b_s113,1.0,-132.5,-132.5,False,0.25,False,1.0,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210319_02,2021-03-19 14:53:00+00:00,-132.5
nq_v2b_sizing_S_1_1_3_20210322_01,2021-03-22,2021,3,Monday,9,nq_v2b_s113,1.0,8507.5,8507.5,True,0.25,True,1.25,True,Opening 15m range vs ATR,or_norm,nq_v2b_sizing_S_1_1_3_20210322_01,2021-03-22 13:50:00+00:00,8507.5
