day,equity,pnl,pos
2010-06-06,250000.0,0.0,0.0
2010-06-07,250000.0,0.0,0.0
2010-06-08,250000.0,0.0,0.0
2010-06-09,250000.0,0.0,0.0
2010-06-10,250000.0,0.0,0.0
2010-06-11,250000.0,0.0,0.0
2010-06-13,250000.0,0.0,0.0
2010-06-14,250000.0,0.0,0.0
2010-06-15,250000.0,0.0,0.0
2010-06-16,250000.0,0.0,0.0
2010-06-17,250000.0,0.0,0.0
2010-06-18,250000.0,0.0,0.0
2010-06-20,250000.0,0.0,0.0
2010-06-21,250000.0,0.0,0.0
2010-06-22,250000.0,0.0,0.0
2010-06-23,250000.0,0.0,0.0
2010-06-24,250000.0,0.0,0.0
2010-06-25,250000.0,0.0,0.0
2010-06-27,250000.0,0.0,0.0
2010-06-28,250000.0,0.0,0.0
2010-06-29,247415.5,-2584.5,3.0
2010-06-30,246170.5,-3829.5,3.0
2010-07-01,245461.0,-4539.0,0.0
2010-07-02,245461.0,-4539.0,0.0
2010-07-04,245461.0,-4539.0,0.0
2010-07-05,245461.0,-4539.0,0.0
2010-07-06,243536.5,-6463.5,-3.0
2010-07-07,242437.0,-7563.0,0.0
2010-07-08,242437.0,-7563.0,0.0
2010-07-09,242437.0,-7563.0,0.0
2010-07-11,242437.0,-7563.0,0.0
2010-07-12,242437.0,-7563.0,0.0
2010-07-13,242437.0,-7563.0,0.0
2010-07-14,242437.0,-7563.0,0.0
2010-07-15,242437.0,-7563.0,0.0
2010-07-16,242437.0,-7563.0,0.0
2010-07-18,242437.0,-7563.0,0.0
2010-07-19,242437.0,-7563.0,0.0
2010-07-20,242437.0,-7563.0,0.0
2010-07-21,242437.0,-7563.0,0.0
2010-07-22,242437.0,-7563.0,0.0
2010-07-23,242437.0,-7563.0,0.0
2010-07-25,242437.0,-7563.0,0.0
2010-07-26,242437.0,-7563.0,0.0
2010-07-27,242437.0,-7563.0,0.0
2010-07-28,242437.0,-7563.0,0.0
2010-07-29,242437.0,-7563.0,0.0
2010-07-30,242437.0,-7563.0,0.0
2010-08-01,242437.0,-7563.0,0.0
2010-08-02,242437.0,-7563.0,0.0
2010-08-03,242437.0,-7563.0,0.0
2010-08-04,242437.0,-7563.0,0.0
2010-08-05,242437.0,-7563.0,0.0
2010-08-06,242437.0,-7563.0,0.0
2010-08-08,242437.0,-7563.0,0.0
2010-08-09,242437.0,-7563.0,0.0
2010-08-10,241742.5,-8257.5,3.0
2010-08-11,239503.0,-10497.0,0.0
2010-08-12,239503.0,-10497.0,0.0
2010-08-13,239503.0,-10497.0,0.0
2010-08-15,242378.5,-7621.5,-3.0
