intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_946b70b213fe,monthly_orb_fbo_113_atr80_ym,monthly_orb_fbo_113_atr80_ym_201006_01,YM,paper,sell,stop,5,,9673.0,short_boundary_stop_entry,submitted,true,verify_0f0f41c83ae1,,false,entry,,,,GTC,2010-06-09,2010-07-01T00:00:00,2026-07-19T12:35:16Z,2026-07-19T12:35:16Z
intent_6c792a615e42,monthly_orb_fbo_113_atr80_ym,monthly_orb_fbo_113_atr80_ym_201007_01,YM,paper,buy,stop,5,,9753.0,long_boundary_stop_entry,submitted,true,verify_f2e53b5b1e5a,,false,entry,,,,GTC,2010-07-05,2010-08-01T00:00:00,2026-07-19T12:35:16Z,2026-07-19T12:35:16Z
intent_13a479afc82b,monthly_orb_fbo_113_atr80_ym,monthly_orb_fbo_113_atr80_ym_201007_01,YM,paper,sell,limit,1,9804.25,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2010-07-06,2010-08-01T00:00:00,2026-07-19T12:35:16Z,2026-07-19T12:35:16Z
intent_da15f315ba92,monthly_orb_fbo_113_atr80_ym,monthly_orb_fbo_113_atr80_ym_201007_01,YM,paper,sell,limit,1,9955.0,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2010-07-06,2010-08-01T00:00:00,2026-07-19T12:35:16Z,2026-07-19T12:35:16Z
intent_4aefc9b45bfa,monthly_orb_fbo_113_atr80_ym,monthly_orb_fbo_113_atr80_ym_201007_01,YM,paper,sell,limit,3,10156.0,,v2b_runner_tp,submitted,false,,,true,tp3,,,,GTC,2010-07-06,2010-08-01T00:00:00,2026-07-19T12:35:16Z,2026-07-19T12:35:16Z
intent_733bf0ebd639,monthly_orb_fbo_113_atr80_ym,monthly_orb_fbo_113_atr80_ym_201007_02,YM,paper,sell,stop,5,,9552.0,short_boundary_stop_entry,submitted,true,verify_d7ed3baf16a0,,false,entry,,,,GTC,2010-07-12,2010-08-01T00:00:00,2026-07-19T12:35:16Z,2026-07-19T12:35:16Z
intent_67de116a6b2d,monthly_orb_fbo_113_atr80_ym,monthly_orb_fbo_113_atr80_ym_201008_01,YM,paper,sell,stop,5,,10448.0,short_boundary_stop_entry,submitted,true,verify_4f88d3cc98fd,,false,entry,,,,GTC,2010-08-04,2010-09-01T00:00:00,2026-07-19T12:35:16Z,2026-07-19T12:35:16Z
intent_02ccef8b6d4b,monthly_orb_fbo_113_atr80_ym,monthly_orb_fbo_113_atr80_ym_201008_01,YM,paper,buy,limit,1,10398.25,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2010-08-11,2010-09-01T00:00:00,2026-07-19T12:35:16Z,2026-07-19T12:35:16Z
intent_d5c3bce95196,monthly_orb_fbo_113_atr80_ym,monthly_orb_fbo_113_atr80_ym_201008_01,YM,paper,buy,limit,1,10252.0,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2010-08-11,2010-09-01T00:00:00,2026-07-19T12:35:16Z,2026-07-19T12:35:16Z
intent_cdfbc6db25ea,monthly_orb_fbo_113_atr80_ym,monthly_orb_fbo_113_atr80_ym_201008_01,YM,paper,buy,limit,3,10057.0,,v2b_runner_tp,submitted,false,,,true,tp3,,,,GTC,2010-08-11,2010-09-01T00:00:00,2026-07-19T12:35:16Z,2026-07-19T12:35:16Z
