fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_95043c667f3b,ord_a97c82b0d4fd,intent_e00d8e9ae7e4,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201006_01,NQ,paper,sell,5,1769.75,2010-06-29,entry
fill_fa18fb35cd8b,ord_00e34f1d867b,intent_bb45c46f7585,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201006_01,NQ,paper,buy,1,1750.875,2010-06-30,tp1
fill_db797c7e5bde,ord_935d4a90d9e8,intent_a1ec02cb542d,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201006_01,NQ,paper,buy,4,1737.5,2010-06-30,close
fill_764497822738,ord_9cfd3fb36d78,intent_981c5b1d6f00,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201008_01,NQ,paper,sell,5,1864.25,2010-08-11,entry
fill_b6781d71f41f,ord_581ff1f9ad81,intent_44440456f773,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201008_01,NQ,paper,buy,1,1827.0,2010-08-12,tp2
fill_b2495564e9c3,ord_9717e7b4bb00,intent_59d5cdb931e3,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201008_01,NQ,paper,buy,1,1854.9375,2010-08-12,tp1
fill_09b114384349,ord_d65c406894f2,intent_752de42a4e95,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201008_01,NQ,paper,buy,3,1789.75,2010-08-24,tp3
fill_7e9a5b93138f,ord_d47c9fe8534b,intent_577f244db441,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201011_01,NQ,paper,sell,5,2114.75,2010-11-16,entry
fill_f5c14898f192,ord_103221a1280a,intent_b5164d77fa00,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201011_01,NQ,paper,buy,1,2101.9375,2010-11-17,tp1
fill_66cd25914005,ord_50181928da8d,intent_c717d68519e6,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201011_01,NQ,paper,buy,4,2138.5,2010-11-18,close
fill_4be4abb9c07e,ord_076e7d9da809,intent_278bc874abf0,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201102_01,NQ,paper,sell,5,2284.5,2011-02-24,entry
fill_0fe2426de2ef,ord_c9418847d5c0,intent_e0845dbb9c9e,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201102_01,NQ,paper,buy,5,2345.5,2011-02-25,close
fill_cda72fcab8c4,ord_f8f001ab46bd,intent_662e10ec955a,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201104_01,NQ,paper,buy,5,2358.25,2011-04-20,entry
fill_431355d9e5ca,ord_f2913b26979e,intent_03dacd449f77,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201104_01,NQ,paper,sell,1,2367.25,2011-04-21,tp1
fill_71fe0dedc431,ord_cf47c06d8565,intent_c3f8049dab03,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201104_01,NQ,paper,sell,1,2394.25,2011-04-26,tp2
fill_6f58df11630a,ord_c486a1a5b2fa,intent_41c3dbed7d8f,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201104_01,NQ,paper,sell,3,2407.0,2011-04-29,close
fill_b2dcab6e5921,ord_def4bd1db399,intent_72d49629eecb,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201107_01,NQ,paper,sell,5,2316.5,2011-07-14,entry
fill_67d20bc1abe2,ord_4b6f0afcd05a,intent_7d9428b50b14,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201107_01,NQ,paper,buy,5,2406.0,2011-07-19,close
fill_a0e13f380b7d,ord_45f1032dd766,intent_3210fce1c889,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201109_01,NQ,paper,buy,5,2264.0,2011-09-14,entry
fill_d6a9eaa30f80,ord_ea82c7b3716c,intent_ad954bc901f5,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201109_01,NQ,paper,sell,1,2292.4375,2011-09-16,tp1
fill_ed0c8b70d45f,ord_ec5398b3aaa4,intent_378a180d345e,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201109_01,NQ,paper,sell,4,2245.75,2011-09-21,close
fill_0fbafd67ef8a,ord_afacac8e18be,intent_af51ec517dd9,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201109_02,NQ,paper,buy,5,2264.0,2011-09-27,entry
fill_816d1498cb63,ord_03589f33f8e7,intent_147c474dce6b,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201109_02,NQ,paper,sell,5,2123.25,2011-09-30,close
fill_2eec619155ee,ord_3c295a55d0de,intent_3c66f79c0ae7,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201111_01,NQ,paper,sell,5,2278.75,2011-11-17,entry
fill_bf673b25d047,ord_7c2179ec5af1,intent_413325dbce23,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201111_01,NQ,paper,buy,1,2256.875,2011-11-18,tp1
fill_73010b5abf93,ord_38a6373feb0f,intent_31940e7899b8,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201111_01,NQ,paper,buy,1,2191.25,2011-11-21,tp2
fill_56061bdb9806,ord_2f82bf6b06ed,intent_3477fbad34e0,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201111_01,NQ,paper,buy,3,2294.75,2011-11-30,close
fill_cb331e25039b,ord_6a3a5e079ad7,intent_01b9382b2b88,monthly_orb_fbo_113_base_nq,monthly_orb_fbo_113_base_nq_201203_01,NQ,paper,buy,5,2650.25,2012-03-13,entry
