ts,realized_points,open_units,close_equity_points,intrabar_stress_points,peak_close_points,close_dd_usd,intrabar_dd_usd
2003-05-06,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-07,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-08,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-09,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-11,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-12,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-13,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-14,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-15,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-16,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-18,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-19,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-20,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-21,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-22,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-23,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-25,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-26,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-27,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-28,0.000000,5,-1.030000,-9.145000,0.000000,-103000.00,-914500.00
2003-05-29,0.000000,5,-3.075000,-4.295000,0.000000,-307500.00,-429500.00
2003-05-30,0.000000,5,2.655000,-4.235000,2.655000,0.00,-689000.00
2003-06-01,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-02,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-03,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-04,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-05,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-06,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-08,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-09,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-10,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-11,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-12,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-13,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-15,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-16,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-17,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-18,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-19,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-20,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-22,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-23,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-24,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-25,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
2003-06-26,2.822400,0,2.822400,2.822400,2.822400,0.00,0.00
