fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_ed08a38d4722,ord_817ffae2282d,intent_c639e173ba73,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t9,AUDJPY,paper,buy,1,81.18158613355425,2004-01-05T13:00:00-05:00,entry
fill_e3c7be173f75,ord_06acf3daed91,intent_f6869d5a417b,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t9,AUDJPY,paper,sell,1,81.93158613355425,2004-01-06T08:00:00-05:00,target
fill_428a5e7b48c2,ord_23ade2de54aa,intent_d89717f310d4,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t10,AUDJPY,paper,buy,1,81.33820879186797,2004-01-07T01:00:00-05:00,entry
fill_52190d632f7e,ord_9644dbcb730d,intent_e000dfcb8923,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t10,AUDJPY,paper,sell,1,82.08820879186797,2004-01-08T14:00:00-05:00,target
fill_161788336162,ord_a4814d7873f3,intent_bfe965e8931c,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t11,AUDJPY,paper,buy,1,82.35934541049724,2004-01-14T02:00:00-05:00,entry
fill_92308498fc54,ord_862a8ef918e7,intent_a5cfc59ffac9,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t11,AUDJPY,paper,sell,1,82.10834541049724,2004-01-14T20:00:00-05:00,stop
fill_ad7f0a3d82b1,ord_ffebc169b179,intent_b2378a4aa32b,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t12,AUDJPY,paper,buy,1,82.12039571629522,2004-01-23T12:00:00-05:00,entry
fill_be74b1a58722,ord_fd22740d3351,intent_ef773ac9ff5d,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t12,AUDJPY,paper,sell,1,81.86939571629522,2004-01-23T16:00:00-05:00,stop
fill_e60adf88cce1,ord_cdceaf51241c,intent_6fefa035b139,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t13,AUDJPY,paper,buy,1,81.9122760723641,2004-02-11T08:00:00-05:00,entry
fill_8a8b6443368a,ord_fc839e125e85,intent_781267513d47,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t13,AUDJPY,paper,sell,1,82.6622760723641,2004-02-11T16:00:00-05:00,target
fill_5056cbe4f725,ord_0a1686fe8f5d,intent_8343e099548b,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,audjpy_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t14,AUDJPY,paper,buy,1,83.00354836094253,2004-02-13T16:00:00-05:00,entry
