verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_22ba4fcd2be9,intent_edadf92ddfdd,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-2ddfdd,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_7398c93b18d0,intent_f785e853f415,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-53f415,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_7f32049c1ecf,intent_1e934c2a71b0,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-2a71b0,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_f8521374c42f,intent_417ab3fdb7e3,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-fdb7e3,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_d0088884d460,intent_49d76ff731e1,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-f731e1,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_985ee3a73f87,intent_c90df76db391,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-6db391,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_79efbcda16e5,intent_9d5a8b202e72,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-202e72,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_7f8be025b31d,intent_476bdeba1a48,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-ba1a48,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_c2aae682b699,intent_b1a72d2ff93f,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-2ff93f,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_0a9350b89f7e,intent_2be021ea72e2,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-ea72e2,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_8e966137ceca,intent_2c52e01f7c72,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-1f7c72,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_4dcea469f383,intent_37015ba4a9d0,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-a4a9d0,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_43c396c8a1f5,intent_6bfb39f04e2e,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-f04e2e,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_f0e40be6973f,intent_12dc4142c82a,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-42c82a,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_5794f3d5ede0,intent_1de97c4f64a9,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-4f64a9,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_8d131f9f5dcb,intent_41490deae57c,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-eae57c,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_69f83cdb18f1,intent_29fd70ffec9a,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-ffec9a,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_c5913f0d864b,intent_7d1f075994e8,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-5994e8,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_df5af2b90126,intent_71cb4bd16a3c,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-d16a3c,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_4ce97e653a84,intent_28c9bb4faff8,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-4faff8,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_700b45c54935,intent_a3b515b38949,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-b38949,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_8b6a120d70a4,intent_815c5269146f,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-69146f,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_863ba64a862c,intent_1cd2cfb7c34a,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-b7c34a,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_457f7c0a480e,intent_ff50d91de8df,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-1de8df,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_8a4561391b27,intent_08043b80acaf,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-80acaf,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_f24eec75a1c9,intent_abea3770bee1,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-70bee1,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_91dc0675b570,intent_745d55d83551,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-d83551,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
verify_abd908e08da2,intent_c515cdbc5666,fbo_1_2_3_atr80_audjpy,paper,approved,SPOOF-bc5666,2026-07-19T13:07:13Z,2026-07-19T13:07:13Z
