verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_0815a67d3ee9,intent_db79aaf906c5,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-f906c5,2026-07-19T13:06:53Z,2026-07-19T13:06:53Z
verify_25b76e2fe1ec,intent_b41efd58ec60,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-58ec60,2026-07-19T13:06:53Z,2026-07-19T13:06:53Z
verify_c9abf595c0a6,intent_ec9902622f1b,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-622f1b,2026-07-19T13:06:53Z,2026-07-19T13:06:53Z
verify_547eea45c473,intent_3cabf650d352,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-50d352,2026-07-19T13:06:53Z,2026-07-19T13:06:53Z
verify_23c838382946,intent_af89e4695e2f,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-695e2f,2026-07-19T13:06:53Z,2026-07-19T13:06:53Z
verify_2f30ccd8f06b,intent_73528822f29f,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-22f29f,2026-07-19T13:06:53Z,2026-07-19T13:06:53Z
verify_3547e77bb3ad,intent_49d2e19e579b,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-9e579b,2026-07-19T13:06:53Z,2026-07-19T13:06:53Z
verify_3797371bfb23,intent_a8d9ab18f0d8,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-18f0d8,2026-07-19T13:06:53Z,2026-07-19T13:06:53Z
verify_63d78512ad88,intent_05e8408a0938,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-8a0938,2026-07-19T13:06:53Z,2026-07-19T13:06:53Z
verify_29fa20707dad,intent_1890f76de672,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-6de672,2026-07-19T13:06:53Z,2026-07-19T13:06:53Z
verify_ce79c59de82d,intent_76f089643ed9,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-643ed9,2026-07-19T13:06:53Z,2026-07-19T13:06:53Z
verify_02c07bb56679,intent_4f49f2fb10ca,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-fb10ca,2026-07-19T13:06:54Z,2026-07-19T13:06:54Z
verify_0bbc4548be1f,intent_5e064a5bb6f9,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-5bb6f9,2026-07-19T13:06:54Z,2026-07-19T13:06:54Z
verify_5e18f5d75eba,intent_47f16eebb532,fbo_1_2_3_base_audjpy,paper,approved,SPOOF-ebb532,2026-07-19T13:06:54Z,2026-07-19T13:06:54Z
