verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_7701969612fa,intent_b3f0973093bd,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-3093bd,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_e3b9287d4cc7,intent_3c6952d2ed2b,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-d2ed2b,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_6e6c52ea2420,intent_9470c25aaadd,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-5aaadd,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_2543879776f5,intent_bc0fdb28a71c,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-28a71c,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_a7afe9876f46,intent_4a9cac853cea,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-853cea,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_de1a9d308d4e,intent_b0e4ebe456d4,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-e456d4,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_c447c3bfdf2b,intent_b0aa4e8ae682,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-8ae682,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_ac6ccb886e4b,intent_5ba80b0a9c90,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-0a9c90,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_a1739a37f447,intent_4998d8848952,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-848952,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_b2f309719d53,intent_1d71420fbb8a,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-0fbb8a,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_e184a3892354,intent_04f1ec232053,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-232053,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_6f1c9585ae25,intent_b6bd7cde45a8,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-de45a8,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_f8814bf5312a,intent_5ed94b241b43,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-241b43,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_b582c87b9427,intent_710ece5ec7d8,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-5ec7d8,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_c7a493edff16,intent_e4ed4be2016c,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-e2016c,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_4063837d2725,intent_6637a4ba1e16,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-ba1e16,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_8a7c1c3614a4,intent_61866be517c9,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-e517c9,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_9896e7ffba3d,intent_0915ad02c633,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-02c633,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_2c8a4c3b5167,intent_a3ebc9a97eac,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-a97eac,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_2cfc46701cb0,intent_f39be7c35062,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-c35062,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_25df6631d200,intent_b67419ff2c23,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-ff2c23,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_87f7a8278791,intent_7708fd07cc35,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-07cc35,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_f6c5608ad852,intent_7f065a26f4c4,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-26f4c4,2026-07-19T13:04:12Z,2026-07-19T13:04:12Z
verify_2ba72dc60f2b,intent_6267127fe919,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-7fe919,2026-07-19T13:04:13Z,2026-07-19T13:04:13Z
verify_0dc93e25a24f,intent_92ae467c0b5c,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-7c0b5c,2026-07-19T13:04:13Z,2026-07-19T13:04:13Z
verify_2a4d04f070e1,intent_fedf7694a3db,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-94a3db,2026-07-19T13:04:13Z,2026-07-19T13:04:13Z
verify_24009e8d4ab8,intent_eb96b1ecee0e,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-ecee0e,2026-07-19T13:04:13Z,2026-07-19T13:04:13Z
verify_ab65ee50fdef,intent_6b79912cad09,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-2cad09,2026-07-19T13:04:13Z,2026-07-19T13:04:13Z
verify_b7307af05d9a,intent_00a7c23cac54,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-3cac54,2026-07-19T13:04:13Z,2026-07-19T13:04:13Z
verify_28284207aa4b,intent_6a7edfde314f,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-de314f,2026-07-19T13:04:13Z,2026-07-19T13:04:13Z
verify_aa940baaafc5,intent_7d7a1bd9b48e,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-d9b48e,2026-07-19T13:04:13Z,2026-07-19T13:04:13Z
verify_a553af4e4fc7,intent_756587cb1082,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-cb1082,2026-07-19T13:04:13Z,2026-07-19T13:04:13Z
verify_4e96c980e5b3,intent_8ed1c174a396,fbo_1_2_3_base_gbpusd,paper,approved,SPOOF-74a396,2026-07-19T13:04:13Z,2026-07-19T13:04:13Z
