variant,units,trades,wins,losses,win_rate_pct,net_usd,gross_win_usd,gross_loss_usd,profit_factor,closed_dd_usd,intrabar_stress_dd_usd,net_over_stress,avg_win_usd,avg_loss_usd,max_open_units,final_open_units,config_notes
sl35_tp105_3r,2104,2104,641,1463,30.46577946768061,64053.97657844755,335563.5,271509.5234215524,1.2359179735990176,-7390.211707767863,-7482.070761518171,8.560995828573331,523.5,-185.58408983017935,1,0,"Tighter 35 point stop, 3R target."
sl40_tp120_3r,2017,2017,614,1403,30.441249380267724,71989.69453741488,367479.0,295489.30546258506,1.243628764921681,-10523.264990185555,-10558.074974685325,6.818448884860326,598.5,-210.6124771650642,1,0,"Tighter 40 point stop, 3R target."
sl25_tp75_3r,2333,2333,683,1650,29.275610801543078,33428.796820915195,255100.50000000003,221671.7031790848,1.1508031757842752,-5699.028472223923,-5702.8117934412585,5.861809583013294,373.50000000000006,-134.34648677520292,1,0,"Very tight 25 point stop, 3R target."
ma_bull_prior_only,976,976,289,687,29.610655737704917,38828.16871797492,216316.50000000003,177488.33128202512,1.2187646277223587,-6752.398514618075,-6862.398514618075,5.658104616813541,748.5000000000001,-258.35273840178326,1,0,V2B-style prior MA50>MA150 on/off gate; keeps both ST/PMC long and short signals.
ma_directional_prior,1416,1416,418,998,29.519774011299436,53545.07116891107,312873.0,259327.92883108897,1.2064762997578529,-10405.19294687362,-10405.19294687362,5.1459950278960855,748.5,-259.84762407924745,1,0,Long only when prior completed hourly MA50>MA150; short only when prior MA50<MA150.
close_against_entry_next_open,1936,1936,414,1522,21.384297520661157,62209.06541323317,306007.9735541348,243798.90814090162,1.2551654799753242,-12048.833338395036,-12101.297880668591,5.140693669941801,739.1496945752048,-160.18325107812197,1,0,"If an hourly close is adverse to entry, flatten next bar open with market slippage."
ma_directional_current,1422,1422,417,1005,29.324894514767934,51001.07116891107,312124.5,261123.42883108897,1.195314037492598,-11297.296474935658,-11297.296474935658,4.5144492119918045,748.5,-259.8243072946159,1,0,Long only when current hourly MA50>MA150; short only when MA50<MA150.
st_flip_exit_next_open,1939,1939,431,1508,22.227952552862302,60898.59370964129,303450.5209882052,242551.92727856393,1.2510744581291287,-13678.191952030138,-13730.656494303694,4.435228114176893,704.0615336153253,-160.84345310249597,1,0,"If hourly Supertrend flips against the position, flatten next bar open."
ma_directional_prior_close_against,1488,1488,318,1170,21.370967741935484,49002.52820910064,234897.994616104,185895.46640700323,1.2636025996557316,-11334.896554061452,-11498.396554061452,4.261683616381452,738.6729390443522,-158.8850140230797,1,0,Directional prior MA filter plus adverse-close flatten.
sl35_tp150_fixed,1937,1937,438,1499,22.612287041817243,49836.07080748656,327843.0,278006.92919251346,1.1792619736214422,-11731.871333086967,-11732.47080150397,4.247704652382185,748.5,-185.46159385758068,1,0,"Tighter 35 point stop, original 150 target."
sl40_tp150_fixed,1903,1903,478,1425,25.11823436678928,57762.28876645391,357783.0,300020.71123354614,1.1925276709363233,-14636.486974960575,-14636.486974960575,3.946458522818417,748.5,-210.54084998845343,1,0,"Tighter 40 point stop, original 150 target."
base_1x_50sl_150tp,1841,1841,537,1304,29.168929929386202,62237.28919217486,401944.5,339707.2108078252,1.1832086196939249,-16231.78030813712,-16231.78030813712,3.8342860740281712,748.5,-260.5116647299273,1,0,Current one-unit 50/150 replay rule in fast broker-like simulator.
pmc_cross_exit_next_open,1874,1874,562,1312,29.989327641408753,56632.27170563395,379174.602216971,322542.33051133703,1.1755808969813448,-17024.408436080364,-17024.408436080364,3.3265338950404524,674.6879043006601,-245.84019093851907,1,0,"If close crosses back through prior month close against the position, flatten next bar open."
scaleout2_tp3r_runner6r_ma_directional_prior,2470,1235,549,1921,22.22672064777328,91693.17638148282,544426.5,452733.3236185174,1.2025324216221054,-29566.06750232171,-29566.06750232171,3.1012976742437086,991.6693989071039,-235.67585820849422,2,0,Scaleout 2 with prior completed hourly MA direction filter.
scaleout2_tp3r_runner6r_close_against,3536,1768,562,2974,15.893665158371041,94404.92255987896,542669.4820606059,448264.5595007269,1.2106009064491434,-32070.871572450375,-32397.871572450375,2.913923599850197,965.6040606060603,-150.72782767341187,2,0,Scaleout 2 with adverse-close flatten.
scaleout2_tp3r_runner6r,3206,1603,701,2505,21.86525265127885,100510.25807127278,691948.5,591438.2419287272,1.1699421020587049,-39996.50260535683,-39996.50260535683,2.5129761735170115,987.0877318116976,-236.10309059031027,2,0,"Enter 2: one off at 3R, runner target 6R, runner stop moves to entry after TP1."
sl25_tp150_fixed,2038,2038,338,1700,16.584887144259078,24805.30903757053,252993.0,228187.69096242945,1.108705727872301,-14165.115038085025,-14273.423940689247,1.7378667613772782,748.5,-134.22805350731144,1,0,"Very tight 25 point stop, original 150 target."
ma_bear_prior_only,891,891,255,636,28.61952861952862,23775.120474199946,190867.5,167092.3795258001,1.1422872816921545,-18495.95044729244,-18538.93068454387,1.2824429239611728,748.5,-262.72386717893096,1,0,Inverse prior MA50<MA150 gate; useful to see whether losses cluster in bearish regimes.
