fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_98e1e0aa6c09,ord_b533de7a4455,intent_885b37a5e79b,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t2,YM,paper,sell,1,9737.403969652962,2010-07-02T08:00:00-04:00,entry
fill_fc4f84fd4c6b,ord_21db2f5e516c,intent_6901a833170b,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t2,YM,paper,buy,1,9587.403969652962,2010-07-02T11:00:00-04:00,target
fill_85b29825819c,ord_1b928856a1c6,intent_a986a9c954cc,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t3,YM,paper,sell,1,9608.370725399913,2010-07-06T00:00:00-04:00,entry
fill_6654d74a3544,ord_bd2a79509399,intent_5b7fc1a4b74c,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t3,YM,paper,buy,1,9659.370725399913,2010-07-06T03:00:00-04:00,stop
fill_2bae47bf5b4f,ord_56d89b46a252,intent_4d2078a528cf,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t5,YM,paper,sell,1,9715.065289877177,2010-07-07T09:00:00-04:00,entry
fill_c31cf3edc9ba,ord_a0f6fa4ba352,intent_8856d6032b95,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t5,YM,paper,buy,1,9766.065289877177,2010-07-07T10:00:00-04:00,stop
fill_a0cdfda5a616,ord_b874b08d1f23,intent_034fea878fdc,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t6,YM,paper,buy,1,10286.767329670536,2010-07-14T09:00:00-04:00,entry
fill_0816b930689f,ord_7616aa99a55c,intent_4c849b217cf6,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t6,YM,paper,sell,1,10235.767329670536,2010-07-15T10:00:00-04:00,stop
fill_1ba368adde31,ord_beab07d90e77,intent_2b910ced9b7d,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t7,YM,paper,buy,1,10121.737607733427,2010-07-21T14:00:00-04:00,entry
fill_ab7dfcf37c10,ord_9b5890ab38a7,intent_1b9307e3bf5e,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t7,YM,paper,sell,1,10070.737607733427,2010-07-21T14:00:00-04:00,stop
fill_d054418e0a17,ord_abd5f019a352,intent_2a6ce5114e7b,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t8,YM,paper,buy,1,10452.379659926944,2010-07-27T11:00:00-04:00,entry
fill_a5d058b8938a,ord_d908c00df10a,intent_a9b5d1d9e661,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t8,YM,paper,sell,1,10401.379659926944,2010-07-29T11:00:00-04:00,stop
fill_d0519de83c0b,ord_4d49ed894e47,intent_c3256c52b630,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t9,YM,paper,buy,1,10558.172314515792,2010-08-03T10:00:00-04:00,entry
fill_457b9d7713ac,ord_b75c941d6fc1,intent_71a5464a0782,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t9,YM,paper,sell,1,10507.172314515792,2010-08-06T10:00:00-04:00,stop
fill_d89f68f47a7a,ord_d87336329bc4,intent_3fad79fd1677,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t10,YM,paper,buy,1,10598.74968699785,2010-08-10T03:00:00-04:00,entry
fill_59b3ee22b146,ord_80315e490749,intent_fdff7ae5a065,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t10,YM,paper,sell,1,10547.74968699785,2010-08-10T09:00:00-04:00,stop
fill_265f3eb23bd8,ord_b92b99709b1b,intent_c221b31231f5,ym_hourly_st_pmc_retest,ym_hourly_st_pmc_retest_t11,YM,paper,buy,1,10527.562570790476,2010-08-11T02:00:00-04:00,entry
