candidate,trade_id,unit_id,direction,entry_ts,entry_price,exit_ts,exit_price,exit_reason,points,usd
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t4,1,Short,2010-07-02T08:00:00-04:00,1029.926683,2010-07-06T10:00:00-04:00,1032.500000,close,-2.573317,-128.67
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t5,2,Short,2010-07-07T09:00:00-04:00,1028.822766,2010-07-07T10:00:00-04:00,1030.750000,close,-1.927234,-96.36
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t6,3,Long,2010-07-14T08:00:00-04:00,1089.164099,2010-07-14T09:00:00-04:00,1088.750000,close,-0.414099,-20.70
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t7,4,Long,2010-07-16T09:00:00-04:00,1082.136663,2010-07-16T10:00:00-04:00,1075.000000,close,-7.136663,-356.83
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t8,5,Long,2010-07-27T11:00:00-04:00,1108.132097,2010-07-28T11:00:00-04:00,1106.750000,close,-1.382097,-69.10
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t9,6,Long,2010-08-03T10:00:00-04:00,1113.677107,2010-08-06T09:00:00-04:00,1113.000000,close,-0.677107,-33.86
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t10,7,Long,2010-08-10T03:00:00-04:00,1117.171758,2010-08-10T04:00:00-04:00,1116.750000,close,-0.421758,-21.09
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t11,8,Short,2010-08-13T02:00:00-04:00,1088.940785,2010-08-17T12:00:00-04:00,1095.000000,close,-6.059215,-302.96
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t12,9,Short,2010-08-18T13:00:00-04:00,1094.762706,2010-08-18T14:00:00-04:00,1097.750000,close,-2.987294,-149.36
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t13,10,Short,2010-08-23T06:00:00-04:00,1076.353524,2010-08-23T08:00:00-04:00,1077.250000,close,-0.896476,-44.82
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t14,11,Short,2010-08-25T15:00:00-04:00,1055.219953,2010-08-25T17:00:00-04:00,1055.500000,close,-0.280047,-14.00
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t15,12,Short,2010-08-27T11:00:00-04:00,1054.508122,2010-08-27T12:00:00-04:00,1056.750000,close,-2.241878,-112.09
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t16,13,Short,2010-08-31T10:00:00-04:00,1050.038467,2010-08-31T11:00:00-04:00,1051.500000,close,-1.461533,-73.08
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t17,14,Long,2010-09-07T03:00:00-04:00,1098.856568,2010-09-07T04:00:00-04:00,1098.500000,close,-0.356568,-17.83
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t18,15,Long,2010-09-10T00:00:00-04:00,1099.745047,2010-09-10T01:00:00-04:00,1096.500000,close,-3.245047,-162.25
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t19,16,Long,2010-09-15T08:00:00-04:00,1110.770267,2011-01-02T22:00:00-05:00,1260.770267,target,150.000000,7500.00
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t20,17,Long,2011-01-04T10:00:00-05:00,1263.702043,2011-01-04T11:00:00-05:00,1263.250000,close,-0.452043,-22.60
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t21,18,Long,2011-01-06T11:00:00-05:00,1270.092704,2011-01-06T12:00:00-05:00,1268.250000,close,-1.842704,-92.14
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t22,19,Long,2011-01-13T14:00:00-05:00,1277.701055,2011-01-14T08:00:00-05:00,1276.750000,close,-0.951055,-47.55
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t23,20,Long,2011-01-18T09:00:00-05:00,1286.702695,2011-01-19T11:00:00-05:00,1283.250000,close,-3.452695,-172.63
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t24,21,Long,2011-01-28T10:00:00-05:00,1289.666079,2011-01-28T11:00:00-05:00,1284.750000,close,-4.916079,-245.80
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t25,22,Long,2011-02-02T23:00:00-05:00,1297.250844,2011-02-03T09:00:00-05:00,1296.500000,close,-0.750844,-37.54
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t26,23,Long,2011-02-04T11:00:00-05:00,1298.204138,2011-02-24T03:00:00-05:00,1294.500000,close,-3.704138,-185.21
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t27,24,Long,2011-03-01T09:00:00-05:00,1326.381281,2011-03-01T10:00:00-05:00,1326.250000,close,-0.131281,-6.56
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t29,25,Short,2011-03-08T11:00:00-05:00,1320.130520,2011-03-08T12:00:00-05:00,1325.250000,close,-5.119480,-255.97
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t31,26,Short,2011-03-11T12:00:00-05:00,1297.453711,2011-03-11T15:00:00-05:00,1299.750000,close,-2.296289,-114.81
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t32,27,Short,2011-03-15T14:00:00-04:00,1277.137215,2011-03-15T21:00:00-04:00,1283.500000,close,-6.362785,-318.14
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t33,28,Short,2011-03-17T05:00:00-04:00,1268.534852,2011-03-17T09:00:00-04:00,1271.750000,close,-3.215148,-160.76
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t34,29,Long,2011-04-05T04:00:00-04:00,1323.822867,2011-04-08T15:00:00-04:00,1319.250000,close,-4.572867,-228.64
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t35,30,Short,2011-04-13T07:00:00-04:00,1317.027606,2011-04-13T08:00:00-04:00,1317.500000,close,-0.472394,-23.62
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t36,31,Short,2011-04-14T15:00:00-04:00,1311.068178,2011-04-14T16:00:00-04:00,1311.500000,close,-0.431822,-21.59
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t37,32,Short,2011-04-19T09:00:00-04:00,1305.029066,2011-04-19T14:00:00-04:00,1306.750000,close,-1.720934,-86.05
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t38,33,Long,2011-04-21T10:00:00-04:00,1329.051991,2011-04-25T11:00:00-04:00,1328.500000,close,-0.551991,-27.60
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t39,34,Long,2011-04-28T08:00:00-04:00,1348.217122,2011-05-03T15:00:00-04:00,1346.500000,close,-1.717122,-85.86
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t40,35,Short,2011-05-06T08:00:00-04:00,1345.763339,2011-05-06T09:00:00-04:00,1347.000000,close,-1.236661,-61.83
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t41,36,Short,2011-05-10T06:00:00-04:00,1348.507955,2011-05-10T07:00:00-04:00,1348.750000,close,-0.242045,-12.10
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t42,37,Short,2011-05-16T10:00:00-04:00,1337.502183,2011-05-16T11:00:00-04:00,1339.750000,close,-2.247817,-112.39
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t43,38,Short,2011-05-18T10:00:00-04:00,1332.324280,2011-05-18T11:00:00-04:00,1333.000000,close,-0.675720,-33.79
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t44,39,Short,2011-05-25T09:00:00-04:00,1314.367636,2011-05-25T11:00:00-04:00,1315.750000,close,-1.382364,-69.12
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t46,40,Short,2011-06-07T10:00:00-04:00,1294.311342,2011-06-28T18:00:00-04:00,1294.750000,close,-0.438658,-21.93
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t48,41,Long,2011-07-05T11:00:00-04:00,1329.582762,2011-07-11T06:00:00-04:00,1329.000000,close,-0.582762,-29.14
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t49,42,Short,2011-07-12T08:00:00-04:00,1314.547681,2011-07-12T10:00:00-04:00,1316.000000,close,-1.452319,-72.62
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t53,43,Short,2011-07-19T03:00:00-04:00,1307.762596,2011-07-19T04:00:00-04:00,1308.500000,close,-0.737404,-36.87
es_hourly_st_pmc_ma_directional_prior_close_against,es_hourly_st_pmc_ma_directional_prior_close_against_t54,44,Long,2011-07-20T16:00:00-04:00,1319.138650,2011-07-20T17:00:00-04:00,1317.250000,close,-1.888650,-94.43
