session,family,htf_name,htf_level,direction,r,failed_extreme,wick_pts,wick_ok_0_25R
2010-11-30,daily_3,daily_3_low,2117.75,Long,13.0,2113.5,4.25,True
2010-12-13,daily_3,daily_3_high,2216.75,Short,8.25,2221.75,5.0,True
2010-12-21,daily_3,daily_3_high,2230.0,Short,8.0,2231.75,1.75,False
2011-01-06,daily_3,daily_3_high,2270.25,Short,4.25,2274.0,3.75,True
2011-01-07,daily_3,daily_3_high,2278.5,Short,10.5,2280.25,1.75,False
2011-01-11,daily_3,daily_3_high,2287.0,Short,7.25,2289.5,2.5,True
2011-01-31,daily_3,daily_3_low,2258.0,Long,12.0,2254.75,3.25,True
2011-02-04,daily_3,daily_3_high,2328.25,Short,8.75,2330.5,2.25,True
2011-03-03,daily_3,daily_3_high,2363.0,Short,13.25,2365.0,2.0,False
2011-03-11,daily_3,daily_3_low,2275.25,Long,17.75,2272.25,3.0,False
2011-03-30,daily_3,daily_3_high,2329.75,Short,6.75,2334.0,4.25,True
2011-04-25,daily_3,daily_3_high,2379.25,Short,5.0,2381.0,1.75,True
2011-05-11,daily_3,daily_3_high,2412.0,Short,6.5,2413.5,1.5,False
2011-05-27,daily_3,daily_3_high,2331.0,Short,2.75,2332.5,1.5,True
2011-11-29,daily_3,daily_3_high,2228.0,Short,12.0,2237.75,9.75,True
2011-12-12,daily_3,daily_3_low,2277.75,Long,11.0,2275.5,2.25,False
2011-12-20,daily_3,daily_3_high,2264.25,Short,17.25,2266.75,2.5,False
2012-01-13,daily_3,daily_3_low,2354.25,Long,10.5,2348.5,5.75,True
2012-01-30,daily_3,daily_3_low,2436.75,Long,10.25,2432.75,4.0,True
2012-02-01,daily_3,daily_3_high,2478.5,Short,9.75,2480.5,2.0,False
2012-02-23,daily_3,daily_3_low,2574.25,Long,11.75,2569.25,5.0,True
2012-02-28,daily_3,daily_3_high,2616.75,Short,9.0,2623.25,6.5,True
2012-03-21,daily_3,daily_3_high,2736.5,Short,7.5,2742.0,5.5,True
2012-05-02,daily_3,daily_3_low,2710.5,Long,13.75,2707.0,3.5,True
2012-05-07,daily_3,daily_3_low,2633.0,Long,20.5,2630.0,3.0,False
2012-05-18,daily_3,daily_3_low,2507.25,Long,19.5,2501.5,5.75,True
2012-06-12,daily_3,daily_3_low,2508.25,Long,12.25,2505.25,3.0,False
2012-08-23,daily_3,daily_3_low,2759.0,Long,9.5,2754.75,4.25,True
2012-08-24,daily_3,daily_3_low,2754.0,Long,7.75,2751.25,2.75,True
2012-08-31,daily_3,daily_3_low,2750.25,Long,11.25,2745.25,5.0,True
2012-09-20,daily_3,daily_3_low,2840.0,Long,5.25,2837.25,2.75,True
2012-09-24,daily_3,daily_3_low,2837.25,Long,11.75,2835.25,2.0,False
2012-10-04,daily_3,daily_3_high,2822.5,Short,10.5,2826.5,4.0,True
2012-10-08,daily_3,daily_3_low,2790.5,Long,11.5,2785.5,5.0,True
2012-10-16,daily_3,daily_3_high,2744.75,Short,7.0,2746.25,1.5,False
2012-10-17,daily_3,daily_3_high,2774.75,Short,10.75,2778.75,4.0,True
2012-10-23,daily_3,daily_3_low,2664.75,Long,8.75,2659.0,5.75,True
2012-11-13,daily_3,daily_3_low,2568.75,Long,13.5,2563.75,5.0,True
2012-11-21,daily_3,daily_3_high,2596.75,Short,10.0,2600.75,4.0,True
2013-04-02,daily_3,daily_3_high,2815.75,Short,11.25,2819.75,4.0,True
2013-04-04,daily_3,daily_3_low,2780.25,Long,9.25,2778.0,2.25,False
2013-05-01,daily_3,daily_3_high,2882.25,Short,6.0,2887.0,4.75,True
2013-05-07,daily_3,daily_3_high,2954.0,Short,5.5,2956.75,2.75,True
2013-05-08,daily_3,daily_3_high,2956.75,Short,7.0,2958.5,1.75,True
2013-05-13,daily_3,daily_3_high,2978.25,Short,8.25,2981.5,3.25,True
2013-05-20,daily_3,daily_3_high,3028.25,Short,8.75,3030.5,2.25,True
