book,condition,bucket,size_mult,decision,decision_prev,boost_n,boost_frac,inc_net,inc_ns,inc_stress,book_ns,book_stress_x,base_ns,delta_ns,p_placebo_inc_ns,p_placebo_inc_net,p_placebo_book_stress,p_drawdown_improvement,p_shift_inc_ns,p_master_inc_ns,p_master_inc_net,wf_segments,wf_mean_delta_net,wf_frac_pos_delta,wf_discovery_reappear_n
eurusd_st_pmc_3r,Day of week,Thursday,1.25,SIZE-UP VALIDATED,SIZE-UP VALIDATED,175,0.2023121387283237,8754.193774849757,8.392902993205483,1043.0471771134207,3.523921709434506,1.0253762171732095,3.1828255073698974,0.34109620206460844,0.02299540091981604,0.07358528294341132,0.11157768446310738,0.11157768446310738,0.007992007992007992,0.023952095808383235,1.0,7,494.3022788518841,0.8571428571428571,0.0
eurusd_st_pmc_3r,Day of week,Thursday,1.5,BORDERLINE PAPER,SIZE-UP VALIDATED,175,0.2023121387283237,17508.387549699513,8.392902993205483,2086.0943542268415,3.8485426105288396,1.0507524343464214,3.1828255073698974,0.6657171031589422,0.02299540091981604,0.07358528294341132,0.14837032593481303,0.14837032593481303,0.007992007992007992,0.059880239520958084,0.9840319361277445,7,988.60455770377,0.8571428571428571,0.0
eurusd_st_pmc_3r,Day of week,Thursday,2.0,RISK-BUDGET PROFILE,RISK-BUDGET PROFILE,175,0.2023121387283237,35016.77509939903,8.392902993205483,4172.188708453683,4.45291316038299,1.101504868692848,3.1828255073698974,1.2700876530130927,0.01979604079184163,0.07138572285542892,0.09798040391921616,0.09798040391921616,0.007992007992007992,0.1536926147704591,0.8383233532934131,7,1977.20911540754,0.8571428571428571,0.0
us30_monday_or,Entry hour (NY),11,1.25,SIZE-UP VALIDATED,SIZE-UP VALIDATED,106,0.09455842997323818,4125.072500000083,6.6890536574294455,616.6899999999878,2.1646510144151945,1.0248951101460788,1.9604174944703103,0.20423351994488415,0.015196960607878424,0.041191761647670466,0.4621075784843031,0.4621075784843031,0.008991008991008992,0.03592814371257485,1.0,7,544.4103571428648,0.5714285714285714,0.0
us30_monday_or,Entry hour (NY),11,1.5,BORDERLINE PAPER,SIZE-UP VALIDATED,106,0.09455842997323818,8250.145000000166,6.6890536574294455,1233.3799999999756,2.359197997228622,1.049790220292158,1.9604174944703103,0.39878050275831156,0.015196960607878424,0.041191761647670466,0.41311737652469505,0.41311737652469505,0.008991008991008992,0.05389221556886228,1.0,7,1088.8207142857293,0.5714285714285714,0.0
us30_monday_or,Entry hour (NY),11,2.0,RISK-BUDGET PROFILE,SIZE-UP VALIDATED,106,0.09455842997323818,16500.290000000332,6.6890536574294455,2466.759999999951,2.721864054244328,1.0995804405843175,1.9604174944703103,0.7614465597740179,0.015596880623875225,0.04099180163967207,0.34813037392521495,0.34813037392521495,0.008991008991008992,0.10578842315369262,0.9720558882235529,7,2177.6414285714586,0.5714285714285714,0.0
eurusd_monday_or,Hourly RSI vs trade,rsi_against_side,2.0,RISK-BUDGET PROFILE,RISK-BUDGET PROFILE,106,0.03695955369595537,45136.149999999005,9.0172208848174,5005.550000000141,2.7734749806092447,0.9852436907538565,1.896389053043048,0.8770859275661966,0.0003999200159968006,0.0007998400319936012,0.08518296340731854,0.08518296340731854,0.001998001998001998,0.013972055888223553,0.9940119760479041,8,-259.1562500000367,0.125,0.0
usdjpy_asia_range,Hourly RSI bucket,rsi_gt70,1.25,RISK-BUDGET PROFILE,NOT VALIDATED,47,0.0545876887340302,14409.560227272545,6.743881775306255,2136.686363636346,9.256022614932263,1.0094831772459214,8.645649978802604,0.6103726361296591,0.0456,0.0132,0.3434,,0.027,0.28,1.0,7,4420.732954545447,,
usdjpy_asia_range,Hourly RSI bucket,rsi_gt70,2.0,RISK-BUDGET PROFILE,NOT VALIDATED,47,0.0545876887340302,57638.24090909018,6.743881775306255,8546.745454545384,11.020219746923473,1.037932708983694,8.645649978802604,2.3745697681208693,0.03539292141571686,0.003199360127974405,0.3147370525894821,0.3147370525894821,0.027972027972027972,0.4630738522954092,0.9960079840319361,7,9171.31363636362,0.7142857142857143,0.0
usdjpy_monday_or,Entry hour (NY),5,1.25,NOT VALIDATED,RISK-BUDGET ONLY,66,0.0346093340325118,11875.555681818087,5.224408594624794,2273.09090909092,15.357690145922856,0.9804471486586582,14.472738661332825,0.8849514845900313,0.1302,0.057,0.0366,,0.059,1.0,1.0,8,1888.565624999871,,
