broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_4c764f1749b5,intent_180fb485c8aa,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t1,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-10T08:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_1c104ef23536,intent_4d2df6cc7789,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t2,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-10T13:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_6f5f592d9dd2,intent_7d946aa1f6cc,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t3,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-16T08:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_fe0b05fb2753,intent_b5243f0c9898,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t4,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-17T08:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_3ec3033e173f,intent_cad403a706b1,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t5,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-18T08:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_2dd1fa8dd39d,intent_ee159b73f0c8,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t6,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-18T13:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_94d4caccc17e,intent_2e411f94d047,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t7,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-18T17:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_785c79d7aa83,intent_840d7bef8a61,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t8,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-19T02:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_fe05c89d5db0,intent_9c4116474c66,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t9,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-19T05:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_4f65b3a1a938,intent_cf96eff3914c,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t10,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-19T08:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_aea45d07c30f,intent_b4b8d0918c10,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t11,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-19T13:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_e7d10ee2db99,intent_4d22da2cfb68,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t12,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-19T17:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_d53750b91b41,intent_00fc7e9ef4ce,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t13,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-20T08:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_9eb1d4e1d409,intent_c9dc4a3937f1,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t14,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-20T13:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_f499a075418d,intent_41fa709bb9ef,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t15,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-20T17:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_62d4041e8360,intent_dbd0822dd2d0,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t16,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-06-23T02:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_3fa6f7218a4a,intent_ca20efe7c652,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t17,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-07-02T05:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_fca32d82685a,intent_5da43da45226,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t18,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-07-02T08:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_43188d14e22f,intent_009e7ac6aad2,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t19,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-07-02T13:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_53e3c7056ac5,intent_09deebdb3ea6,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t20,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-07-03T02:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_ba88a2c9fe99,intent_cc73600169db,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t21,XAGUSD,paper,sell,limit,1,1,cancelled,4.886747096776971,,false,entry,,,2003-07-03T08:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_5b6315fc37ea,intent_9c25ec612e8a,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t22,XAGUSD,paper,buy,limit,1,1,cancelled,4.572946530456914,,false,entry,,,2003-07-29T23:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
ord_c58d9a9ed97e,intent_1c71d0b01446,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,xagusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t23,XAGUSD,paper,buy,limit,1,1,cancelled,4.577773953082577,,false,entry,,,2003-08-01T06:00:00-04:00,,2026-07-19T15:26:44Z,2026-07-19T15:26:44Z
