fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_8aa8e4f15202,ord_fb875ca10fd8,intent_2cd0440ef55c,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20031114_001,XAGUSD,paper,buy,3,5.336,2003-11-16,entry
fill_c3033aa0b1ff,ord_9e3b434b385d,intent_371ee71ad9db,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20031114_001,XAGUSD,paper,sell,3,5.135,2003-11-18,close
fill_957581303905,ord_91131d049f97,intent_2f6262739be6,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20031202_002,XAGUSD,paper,buy,3,5.4350000000000005,2003-12-03,entry
fill_ebfea6e71e74,ord_39a41a3af4f5,intent_9fca9decc4f5,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20031202_002,XAGUSD,paper,buy,1,5.532,2003-12-14,entry
fill_613f27b3f496,ord_8082086ca955,intent_ab4d030cf6a8,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20031202_002,XAGUSD,paper,buy,1,5.697,2003-12-28,entry
fill_86a70c2d6936,ord_54672a115e61,intent_ed22e2db129d,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20031202_002,XAGUSD,paper,buy,1,6.418,2004-01-12,entry
fill_2dfe5939b7a1,ord_902e8b5f56bf,intent_bd1c5c7b64ec,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20031202_002,XAGUSD,paper,buy,1,6.276000000000001,2004-01-26,entry
fill_f8d25cbe02ee,ord_e04f81b71207,intent_cf2ee011c048,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20031202_002,XAGUSD,paper,buy,1,6.189,2004-02-08,entry
fill_7569ab1c6661,ord_66e9272df6cb,intent_b8da6d37fe20,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20031202_002,XAGUSD,paper,buy,1,6.4270000000000005,2004-02-22,entry
fill_9c35bef59130,ord_79c024fa9d01,intent_be3c92605dd6,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20031202_002,XAGUSD,paper,buy,1,6.848000000000001,2004-03-07,entry
fill_b4b9e5b387c8,ord_3db00c78d397,intent_853543bd33e3,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20031202_002,XAGUSD,paper,sell,10,6.987,2004-04-15,close
fill_e205de2130d2,ord_c96c9f73ce25,intent_f33de3d64074,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20040716_003,XAGUSD,paper,buy,3,6.6370000000000005,2004-07-18,entry
fill_39533e26f783,ord_10f4c520feac,intent_2a2fdec23f6d,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20040716_003,XAGUSD,paper,sell,3,6.558,2004-07-20,close
fill_0b6d5d00872e,ord_3d7e399f0de5,intent_45c3b33ca6b3,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20040806_004,XAGUSD,paper,buy,3,6.706,2004-08-08,entry
fill_172bf34430c2,ord_5beeec0f441d,intent_75937d807abf,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20040806_004,XAGUSD,paper,sell,3,6.596,2004-08-10,close
fill_ba82ff40714e,ord_3cdc80592465,intent_a08bb9d71370,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20040818_005,XAGUSD,paper,buy,3,6.775,2004-08-19,entry
fill_fdf67626f50e,ord_c8f2f6fc57f9,intent_a85087103a32,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20040818_005,XAGUSD,paper,sell,3,6.606,2004-08-24,close
fill_bca4877ea228,ord_82e927b4b317,intent_8aec1323cce7,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20040831_006,XAGUSD,paper,buy,3,6.696000000000001,2004-09-01,entry
fill_edb31bbbbcc4,ord_40f1f1a06023,intent_e01dbaa98e6a,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20040831_006,XAGUSD,paper,sell,3,6.484999999999999,2004-09-05,close
fill_3bc94fc83922,ord_155a625fc991,intent_a717eb4809b6,xagusd_atr_daily_3initial_10max,xagusd_atr_daily_3initial_10max_20040930_007,XAGUSD,paper,buy,3,6.816000000000001,2004-10-01,entry
