intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_f3d0927456c7,xagusd_atr_daily_ladder112221_10max,xagusd_atr_daily_ladder112221_10max_20031114_001,XAGUSD,paper,buy,market,1,,,primary_bull_flip,submitted,true,verify_56b346e18e5d,,false,entry,,,,GTC,2003-11-14,,2026-07-19T15:16:48Z,2026-07-19T15:16:48Z
intent_a44bf453fddd,xagusd_atr_daily_ladder112221_10max,xagusd_atr_daily_ladder112221_10max_20031114_001,XAGUSD,paper,sell,market,1,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2003-11-17,,2026-07-19T15:16:48Z,2026-07-19T15:16:48Z
intent_74841dd644ea,xagusd_atr_daily_ladder112221_10max,xagusd_atr_daily_ladder112221_10max_20031202_002,XAGUSD,paper,buy,market,1,,,entry_guard_reclaim,submitted,true,verify_b6a1733f1526,,false,entry,,,,GTC,2003-12-02,,2026-07-19T15:16:48Z,2026-07-19T15:16:48Z
intent_16dba7dab3ec,xagusd_atr_daily_ladder112221_10max,xagusd_atr_daily_ladder112221_10max_20031202_002,XAGUSD,paper,buy,market,1,,,friday_add,submitted,true,verify_db6955104611,,false,entry,,,,GTC,2003-12-12,,2026-07-19T15:16:48Z,2026-07-19T15:16:48Z
intent_b89407dc1118,xagusd_atr_daily_ladder112221_10max,xagusd_atr_daily_ladder112221_10max_20031202_002,XAGUSD,paper,buy,market,2,,,friday_add,submitted,true,verify_9d21b97ffdef,,false,entry,,,,GTC,2003-12-26,,2026-07-19T15:16:48Z,2026-07-19T15:16:48Z
intent_7bc9083e91fa,xagusd_atr_daily_ladder112221_10max,xagusd_atr_daily_ladder112221_10max_20031202_002,XAGUSD,paper,buy,market,2,,,friday_add,submitted,true,verify_a765925271fc,,false,entry,,,,GTC,2004-01-09,,2026-07-19T15:16:48Z,2026-07-19T15:16:48Z
intent_4c7d6f0c7eee,xagusd_atr_daily_ladder112221_10max,xagusd_atr_daily_ladder112221_10max_20031202_002,XAGUSD,paper,buy,market,2,,,friday_add,submitted,true,verify_1dee973a7f76,,false,entry,,,,GTC,2004-01-23,,2026-07-19T15:16:48Z,2026-07-19T15:16:48Z
intent_883d036154fe,xagusd_atr_daily_ladder112221_10max,xagusd_atr_daily_ladder112221_10max_20031202_002,XAGUSD,paper,buy,market,1,,,friday_add,submitted,true,verify_909d5e9856d1,,false,entry,,,,GTC,2004-02-06,,2026-07-19T15:16:48Z,2026-07-19T15:16:48Z
intent_4dd7b544aa85,xagusd_atr_daily_ladder112221_10max,xagusd_atr_daily_ladder112221_10max_20031202_002,XAGUSD,paper,buy,market,1,,,friday_add,submitted,true,verify_16e5fb39805e,,false,entry,,,,GTC,2004-02-20,,2026-07-19T15:16:48Z,2026-07-19T15:16:48Z
intent_af41f8b1ab57,xagusd_atr_daily_ladder112221_10max,xagusd_atr_daily_ladder112221_10max_20031202_002,XAGUSD,paper,sell,market,10,,,primary_bearish,submitted,false,,,true,close,,,,GTC,2004-04-14,,2026-07-19T15:16:48Z,2026-07-19T15:16:48Z
