intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_cc20cb1725c1,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200305_01,XAGUSD,paper,sell,stop,5,,4.488,short_boundary_stop_entry,submitted,true,verify_04ee1bbec214,,false,entry,,,,GTC,2003-05-12,2003-06-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_953c93a5a09f,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200305_01,XAGUSD,paper,buy,limit,1,4.391500000000001,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-05-21,2003-06-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_265254c98672,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200305_01,XAGUSD,paper,buy,limit,1,4.105,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-05-21,2003-06-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_7e3cb79fc448,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200305_01,XAGUSD,paper,buy,limit,3,3.7230000000000008,,v2b_runner_tp,submitted,false,,,true,tp3,,,,GTC,2003-05-21,2003-06-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_0055401d3502,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200305_01,XAGUSD,paper,buy,market_close,4,,,stop_close,submitted,false,,,true,close,,,,GTC,2003-05-28,,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_64a352d72d33,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200305_02,XAGUSD,paper,buy,stop,5,,4.87,long_boundary_stop_entry,submitted,true,verify_30cb4b028d8d,,false,entry,,,,GTC,2003-05-29,2003-06-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_06bd25b09af7,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200306_01,XAGUSD,paper,buy,stop,5,,4.607,long_boundary_stop_entry,submitted,true,verify_5a4292ac9c74,,false,entry,,,,GTC,2003-06-05,2003-07-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_e6199b3da49a,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200306_01,XAGUSD,paper,sell,limit,1,4.689500000000001,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-06-06,2003-07-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_1e020a669976,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200306_01,XAGUSD,paper,sell,limit,1,4.934000000000001,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-06-06,2003-07-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_099fa44aedd8,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200306_01,XAGUSD,paper,sell,limit,3,5.260000000000002,,v2b_runner_tp,submitted,false,,,true,tp3,,,,GTC,2003-06-06,2003-07-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_8b4d499e4001,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200306_01,XAGUSD,paper,sell,market_close,5,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2003-06-30,,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_c6654df3cb58,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200307_01,XAGUSD,paper,sell,stop,5,,4.321,short_boundary_stop_entry,submitted,true,verify_8af47a39a59a,,false,entry,,,,GTC,2003-07-07,2003-08-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_4dd42734931b,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200308_01,XAGUSD,paper,buy,stop,5,,5.204,long_boundary_stop_entry,submitted,true,verify_22506f113b2a,,false,entry,,,,GTC,2003-08-05,2003-09-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_177f691b6cc6,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200308_01,XAGUSD,paper,sell,limit,1,5.307,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-08-29,2003-09-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_57db8b903708,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200308_01,XAGUSD,paper,sell,limit,1,5.6129999999999995,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-08-29,2003-09-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_5b020247bef9,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200308_01,XAGUSD,paper,sell,limit,3,6.020999999999999,,v2b_runner_tp,submitted,false,,,true,tp3,,,,GTC,2003-08-29,2003-09-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_57a423a62639,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200308_01,XAGUSD,paper,sell,market_close,5,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2003-08-31,,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_3dc07dc42461,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200309_01,XAGUSD,paper,sell,stop,5,,4.764,short_boundary_stop_entry,submitted,true,verify_44a96953df3d,,false,entry,,,,GTC,2003-09-09,2003-10-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_e1960c51f13f,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200310_01,XAGUSD,paper,buy,stop,5,,5.137,long_boundary_stop_entry,submitted,true,verify_b316350dcaa6,,false,entry,,,,GTC,2003-10-06,2003-11-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_4480968bd9fd,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200310_01,XAGUSD,paper,sell,limit,1,5.2612499999999995,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-10-22,2003-11-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_c2e1a7140387,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200310_01,XAGUSD,paper,sell,limit,1,5.630999999999999,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-10-22,2003-11-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_3bb38e98408f,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200310_01,XAGUSD,paper,sell,limit,3,6.123999999999999,,v2b_runner_tp,submitted,false,,,true,tp3,,,,GTC,2003-10-22,2003-11-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_b1a45dc67ccb,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200310_01,XAGUSD,paper,sell,market_close,5,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2003-10-31,,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_20b92df86f2c,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200311_01,XAGUSD,paper,sell,stop,5,,4.744,short_boundary_stop_entry,submitted,true,verify_4c9901f099a3,,false,entry,,,,GTC,2003-11-11,2003-12-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_223523a9ca08,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200312_01,XAGUSD,paper,sell,stop,5,,5.179,short_boundary_stop_entry,submitted,true,verify_27e40ff46ca6,,false,entry,,,,GTC,2003-12-08,2003-12-31T23:59:59,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_4bf1e7e6038d,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200401_01,XAGUSD,paper,sell,stop,5,,5.761,short_boundary_stop_entry,submitted,true,verify_08e378805d8e,,false,entry,,,,GTC,2004-01-06,2004-02-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_c9035dbc5896,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200402_01,XAGUSD,paper,sell,stop,5,,5.773,short_boundary_stop_entry,submitted,true,verify_2ac4f5cf012d,,false,entry,,,,GTC,2004-02-06,2004-03-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_b1608baddb5d,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200403_01,XAGUSD,paper,sell,stop,5,,6.335,short_boundary_stop_entry,submitted,true,verify_ea1f8c97b687,,false,entry,,,,GTC,2004-03-08,2004-04-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_756c86a3f0c5,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200404_01,XAGUSD,paper,buy,stop,5,,8.458,long_boundary_stop_entry,submitted,true,verify_d7e3b17ee714,,false,entry,,,,GTC,2004-04-12,2004-05-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_ce0dda3423c4,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200405_01,XAGUSD,paper,buy,stop,5,,6.169,long_boundary_stop_entry,submitted,true,verify_031d819e2ef6,,false,entry,,,,GTC,2004-05-06,2004-06-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_d1e64362ad8b,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200405_01,XAGUSD,paper,sell,limit,1,6.2829999999999995,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2004-05-26,2004-06-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_84511e0f61cd,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200405_01,XAGUSD,paper,sell,limit,1,6.622,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2004-05-26,2004-06-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_1bbab5b4bcf2,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200405_01,XAGUSD,paper,sell,limit,3,7.074,,v2b_runner_tp,submitted,false,,,true,tp3,,,,GTC,2004-05-26,2004-06-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_b74f344f02a5,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200405_01,XAGUSD,paper,sell,market_close,5,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2004-05-31,,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_45713127c827,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200406_01,XAGUSD,paper,buy,stop,5,,6.193,long_boundary_stop_entry,submitted,true,verify_9dae42451d48,,false,entry,,,,GTC,2004-06-04,2004-07-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_ecd5b0b7f2d4,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200406_01,XAGUSD,paper,sell,limit,1,6.36575,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2004-06-24,2004-07-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_cbfc052e0db5,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200406_01,XAGUSD,paper,sell,limit,1,6.880999999999999,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2004-06-24,2004-07-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
intent_7facc030564a,xagusd_fbo_1_1_3_base,xagusd_fbo_1_1_3_base_200406_01,XAGUSD,paper,sell,limit,3,7.567999999999999,,v2b_runner_tp,submitted,false,,,true,tp3,,,,GTC,2004-06-24,2004-07-01T00:00:00,2026-07-19T15:27:29Z,2026-07-19T15:27:29Z
