broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_79f3df1e16ca,intent_69a67d925bbf,xagusd_monthly_orb_restricted_scaleout3,xagusd_monthly_orb_restricted_scaleout3_200307_01,XAGUSD,paper,buy,limit,1,0,filled,4.72,,false,entry,,,2003-07-09,2003-08-01T00:00:00,2026-07-19T15:16:00Z,2026-07-19T15:16:00Z
ord_8359a94b7276,intent_4ab9f1c2a632,xagusd_monthly_orb_restricted_scaleout3,xagusd_monthly_orb_restricted_scaleout3_200307_01,XAGUSD,paper,buy,limit,1,0,filled,4.72,,false,entry,,,2003-07-09,2003-08-01T00:00:00,2026-07-19T15:16:00Z,2026-07-19T15:16:00Z
ord_a5f681c6eeaf,intent_776529c74abc,xagusd_monthly_orb_restricted_scaleout3,xagusd_monthly_orb_restricted_scaleout3_200307_01,XAGUSD,paper,buy,limit,1,0,filled,4.72,,false,runner_entry,,,2003-07-09,2003-08-01T00:00:00,2026-07-19T15:16:00Z,2026-07-19T15:16:00Z
ord_d493f14aaa1e,intent_9c3e44e7d8d7,xagusd_monthly_orb_restricted_scaleout3,xagusd_monthly_orb_restricted_scaleout3_200307_01,XAGUSD,paper,sell,stop,1,1,cancelled,,4.321,true,stop,ord_79f3df1e16ca,ord_79f3df1e16ca_bracket,,,2026-07-19T15:16:00Z,2026-07-19T15:16:00Z
ord_75c3061c97a5,intent_44e8048c9649,xagusd_monthly_orb_restricted_scaleout3,xagusd_monthly_orb_restricted_scaleout3_200307_01,XAGUSD,paper,sell,limit,1,0,filled,4.81975,,true,target,ord_79f3df1e16ca,ord_79f3df1e16ca_bracket,,,2026-07-19T15:16:00Z,2026-07-19T15:16:00Z
ord_a87ac95e05a3,intent_29132aa0e769,xagusd_monthly_orb_restricted_scaleout3,xagusd_monthly_orb_restricted_scaleout3_200307_01,XAGUSD,paper,sell,stop,1,1,cancelled,,4.321,true,stop,ord_8359a94b7276,ord_8359a94b7276_bracket,,,2026-07-19T15:16:00Z,2026-07-19T15:16:00Z
ord_763fd02bd455,intent_a8fee9db72ac,xagusd_monthly_orb_restricted_scaleout3,xagusd_monthly_orb_restricted_scaleout3_200307_01,XAGUSD,paper,sell,limit,1,0,filled,5.119,,true,target,ord_8359a94b7276,ord_8359a94b7276_bracket,,,2026-07-19T15:16:00Z,2026-07-19T15:16:00Z
ord_b8491124c48c,intent_b7dbfc9eec66,xagusd_monthly_orb_restricted_scaleout3,xagusd_monthly_orb_restricted_scaleout3_200307_01,XAGUSD,paper,sell,stop,1,1,cancelled,,4.72,true,runner_stop,ord_a5f681c6eeaf,ord_a5f681c6eeaf_bracket,,,2026-07-19T15:16:00Z,2026-07-19T15:16:00Z
ord_89dcb83f94b4,intent_e3e14c3f2277,xagusd_monthly_orb_restricted_scaleout3,xagusd_monthly_orb_restricted_scaleout3_200307_01,XAGUSD,paper,sell,market_close,1,0,filled,,,true,close,,,2003-07-31,,2026-07-19T15:16:00Z,2026-07-19T15:16:00Z
ord_05501149651d,intent_589a5c66c393,xagusd_monthly_orb_restricted_scaleout3,xagusd_monthly_orb_restricted_scaleout3_200308_01,XAGUSD,paper,sell,limit,1,0,filled,4.796,,false,entry,,,2003-08-12,2003-09-01T00:00:00,2026-07-19T15:16:00Z,2026-07-19T15:16:00Z
