intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_9b87cd0cf78e,xauusd_monthly_orb_restricted_scaleout3_boundary_stop,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200305_01,XAUUSD,paper,buy,stop,3,,348.131,long_boundary_stop_entry,submitted,true,verify_2ecc72805ec5,,false,entry,,,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200305_01_entry_oco,GTC,2003-05-08,2003-06-01T00:00:00,2026-07-19T14:42:28Z,2026-07-19T14:42:28Z
intent_013d3693823a,xauusd_monthly_orb_restricted_scaleout3_boundary_stop,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200305_01,XAUUSD,paper,sell,stop,3,,339.005,short_boundary_stop_entry,submitted,true,verify_2592817565fd,,false,entry,,,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200305_01_entry_oco,GTC,2003-05-08,2003-06-01T00:00:00,2026-07-19T14:42:28Z,2026-07-19T14:42:28Z
intent_f2fa62d4cd88,xauusd_monthly_orb_restricted_scaleout3_boundary_stop,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200305_01,XAUUSD,paper,sell,stop,3,,339.005,long_protective_stop,submitted,false,,,true,stop,,,,GTC,2003-05-09,,2026-07-19T14:42:28Z,2026-07-19T14:42:28Z
intent_edeccf3b4b60,xauusd_monthly_orb_restricted_scaleout3_boundary_stop,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200305_01,XAUUSD,paper,sell,limit,1,350.41249999999997,,target,submitted,false,,,true,target,,,,GTC,2003-05-09,,2026-07-19T14:42:28Z,2026-07-19T14:42:28Z
intent_59efd03bb5c3,xauusd_monthly_orb_restricted_scaleout3_boundary_stop,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200305_01,XAUUSD,paper,sell,limit,1,357.25699999999995,,target,submitted,false,,,true,target,,,,GTC,2003-05-09,,2026-07-19T14:42:28Z,2026-07-19T14:42:28Z
intent_02e8d1df2e57,xauusd_monthly_orb_restricted_scaleout3_boundary_stop,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200305_01,XAUUSD,paper,sell,market_close,1,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2003-05-30,,2026-07-19T14:42:28Z,2026-07-19T14:42:28Z
intent_a1d118f8cefa,xauusd_monthly_orb_restricted_scaleout3_boundary_stop,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200306_01,XAUUSD,paper,buy,stop,3,,366.936,long_boundary_stop_entry,submitted,true,verify_214b5e3e32a6,,false,entry,,,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200306_01_entry_oco,GTC,2003-06-04,2003-07-01T00:00:00,2026-07-19T14:42:28Z,2026-07-19T14:42:28Z
intent_0a0a232fe2a4,xauusd_monthly_orb_restricted_scaleout3_boundary_stop,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200306_01,XAUUSD,paper,sell,stop,3,,359.55,short_boundary_stop_entry,submitted,true,verify_d0fcd4ab4360,,false,entry,,,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200306_01_entry_oco,GTC,2003-06-04,2003-07-01T00:00:00,2026-07-19T14:42:28Z,2026-07-19T14:42:28Z
intent_344644c169dd,xauusd_monthly_orb_restricted_scaleout3_boundary_stop,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200306_01,XAUUSD,paper,sell,stop,3,,359.55,long_protective_stop,submitted,false,,,true,stop,,,,GTC,2003-06-05,,2026-07-19T14:42:28Z,2026-07-19T14:42:28Z
intent_d97dceab3fe8,xauusd_monthly_orb_restricted_scaleout3_boundary_stop,xauusd_monthly_orb_restricted_scaleout3_boundary_stop_200306_01,XAUUSD,paper,sell,limit,1,368.78249999999997,,target,submitted,false,,,true,target,,,,GTC,2003-06-05,,2026-07-19T14:42:28Z,2026-07-19T14:42:28Z
