session,category,st_side,st_entry_ts,st_exit_ts,st_entry,st_exit,st_exit_reason,st_pnl_usd,v2b_directions,v2b_entry_count,v2b_net_usd
2021-03-04,aligned,short,2021-03-04T09:00:00-05:00,2021-03-04T09:00:00-05:00,12763.897528,12688.897528,target,148.50,"long,short",2,-951.50
2021-03-04,aligned,short,2021-03-04T11:00:00-05:00,2021-03-04T11:00:00-05:00,12763.897528,12789.147528,stop,-52.00,"long,short",2,-951.50
2021-03-04,aligned,short,2021-03-04T12:00:00-05:00,2021-03-04T12:00:00-05:00,12763.897528,12688.897528,target,148.50,"long,short",2,-951.50
2021-03-05,aligned,short,2021-03-05T14:00:00-05:00,2021-03-05T14:00:00-05:00,12635.383302,12660.633302,stop,-52.00,"long,short",2,847.00
2021-03-09,opposed,short,2021-03-09T09:00:00-05:00,2021-03-09T09:00:00-05:00,12648.036841,12673.286841,stop,-52.00,long,1,1184.50
2021-03-14,no_v2b,short,2021-03-14T21:00:00-04:00,2021-03-15T01:00:00-04:00,12983.343911,12908.343911,target,148.50,,0,0.00
2021-03-16,aligned,long,2021-03-16T14:00:00-04:00,2021-03-16T14:00:00-04:00,13123.409798,13098.159798,stop,-52.00,"long,short",2,18.00
2021-03-16,aligned,long,2021-03-16T15:00:00-04:00,2021-03-17T05:00:00-04:00,13123.409798,13098.159798,stop,-52.00,"long,short",2,18.00
2021-03-17,opposed,short,2021-03-17T14:00:00-04:00,2021-03-17T14:00:00-04:00,13121.409098,13146.659098,stop,-52.00,long,1,1538.50
2021-03-18,opposed,long,2021-03-18T03:00:00-04:00,2021-03-18T03:00:00-04:00,13064.330997,13039.080997,stop,-52.00,short,1,104.00
2021-03-18,opposed,long,2021-03-18T04:00:00-04:00,2021-03-18T04:00:00-04:00,13064.330997,13039.080997,stop,-52.00,short,1,104.00
2021-03-22,opposed,short,2021-03-22T07:00:00-04:00,2021-03-22T09:00:00-04:00,12959.716021,12984.966021,stop,-52.00,long,1,844.00
2021-03-23,aligned,long,2021-03-23T15:00:00-04:00,2021-03-23T21:00:00-04:00,12989.296664,13064.296664,target,148.50,"long,short",2,-1085.00
2021-03-24,opposed,long,2021-03-24T09:00:00-04:00,2021-03-24T09:00:00-04:00,12994.038490,12968.788490,stop,-52.00,short,1,1679.50
