session,bucket,v2b_trade_id,v2b_side,v2b_entry_ts,v2b_exit_ts,v2b_pnl_usd,st_pmc_trade_id,st_pmc_side,st_pmc_entry_ts,st_pmc_exit_ts,st_pmc_pnl_usd
2021-03-04,prior_aligned,mnq_v2b_sizing_S_1_1_3_20210304_01,short,2021-03-04T09:47:00-05:00,2021-03-04T10:35:00-05:00,218.50,mnq_hourly_st_pmc_sl25_tp75_3r_t281,short,2021-03-04T09:00:00-05:00,2021-03-04T09:00:00-05:00,148.50
2021-03-04,prior_opposed,mnq_v2b_sizing_S_1_1_3_20210304_02,long,2021-03-04T11:02:00-05:00,2021-03-04T12:21:00-05:00,-1170.00,mnq_hourly_st_pmc_sl25_tp75_3r_t282,short,2021-03-04T11:00:00-05:00,2021-03-04T11:00:00-05:00,-52.00
2021-03-05,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210305_01,short,2021-03-05T09:49:00-05:00,2021-03-05T12:28:00-05:00,307.00,,,,,
2021-03-05,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210305_02,long,2021-03-05T13:37:00-05:00,2021-03-05T15:59:00-05:00,540.00,,,,,
2021-03-08,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210308_01,long,2021-03-08T09:45:00-05:00,2021-03-08T11:50:00-05:00,-1610.00,,,,,
2021-03-08,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210308_02,short,2021-03-08T11:51:00-05:00,2021-03-08T15:59:00-05:00,2112.50,,,,,
2021-03-09,prior_opposed,mnq_v2b_sizing_S_1_1_3_20210309_01,long,2021-03-09T09:49:00-05:00,2021-03-09T15:59:00-05:00,1184.50,mnq_hourly_st_pmc_sl25_tp75_3r_t285,short,2021-03-09T09:00:00-05:00,2021-03-09T09:00:00-05:00,-52.00
2021-03-10,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210310_01,long,2021-03-10T09:50:00-05:00,2021-03-10T10:21:00-05:00,-1005.00,,,,,
2021-03-10,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210310_02,short,2021-03-10T10:22:00-05:00,2021-03-10T15:59:00-05:00,950.00,,,,,
2021-03-11,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210311_01,short,2021-03-11T10:18:00-05:00,2021-03-11T10:49:00-05:00,-765.00,,,,,
2021-03-11,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210311_02,long,2021-03-11T10:50:00-05:00,2021-03-11T15:59:00-05:00,429.00,,,,,
2021-03-12,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210312_01,long,2021-03-12T09:50:00-05:00,2021-03-12T10:27:00-05:00,-777.50,,,,,
2021-03-12,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210312_02,short,2021-03-12T10:28:00-05:00,2021-03-12T11:52:00-05:00,-930.00,,,,,
2021-03-15,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210315_01,long,2021-03-15T09:52:00-04:00,2021-03-15T11:34:00-04:00,-555.00,,,,,
2021-03-15,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210315_02,short,2021-03-15T11:35:00-04:00,2021-03-15T12:15:00-04:00,-555.00,,,,,
2021-03-16,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210316_01,long,2021-03-16T09:45:00-04:00,2021-03-16T12:24:00-04:00,103.00,,,,,
2021-03-16,prior_opposed,mnq_v2b_sizing_S_1_1_3_20210316_02,short,2021-03-16T14:25:00-04:00,2021-03-16T15:59:00-04:00,-85.00,mnq_hourly_st_pmc_sl25_tp75_3r_t288,long,2021-03-16T14:00:00-04:00,2021-03-16T14:00:00-04:00,-52.00
2021-03-17,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210317_01,long,2021-03-17T09:49:00-04:00,2021-03-17T15:59:00-04:00,1538.50,,,,,
2021-03-18,prior_opposed,mnq_v2b_sizing_S_1_1_3_20210318_01,short,2021-03-18T09:45:00-04:00,2021-03-18T13:26:00-04:00,104.00,mnq_hourly_st_pmc_sl25_tp75_3r_t293,long,2021-03-18T04:00:00-04:00,2021-03-18T04:00:00-04:00,-52.00
2021-03-19,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210319_01,short,2021-03-19T10:04:00-04:00,2021-03-19T10:52:00-04:00,-1135.00,,,,,
2021-03-19,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210319_02,long,2021-03-19T10:53:00-04:00,2021-03-19T15:59:00-04:00,-27.50,,,,,
2021-03-22,prior_opposed,mnq_v2b_sizing_S_1_1_3_20210322_01,long,2021-03-22T09:50:00-04:00,2021-03-22T15:59:00-04:00,844.00,mnq_hourly_st_pmc_sl25_tp75_3r_t294,short,2021-03-22T07:00:00-04:00,2021-03-22T09:00:00-04:00,-52.00
2021-03-23,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210323_01,short,2021-03-23T09:48:00-04:00,2021-03-23T10:09:00-04:00,-542.50,,,,,
2021-03-23,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210323_02,long,2021-03-23T10:10:00-04:00,2021-03-23T10:34:00-04:00,-542.50,,,,,
2021-03-24,prior_opposed,mnq_v2b_sizing_S_1_1_3_20210324_01,short,2021-03-24T09:48:00-04:00,2021-03-24T15:59:00-04:00,1679.50,mnq_hourly_st_pmc_sl25_tp75_3r_t296,long,2021-03-24T09:00:00-04:00,2021-03-24T09:00:00-04:00,-52.00
2021-03-25,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210325_01,long,2021-03-25T10:01:00-04:00,2021-03-25T10:49:00-04:00,-1162.50,,,,,
2021-03-25,no_prior_signal,mnq_v2b_sizing_S_1_1_3_20210325_02,short,2021-03-25T10:50:00-04:00,2021-03-25T15:04:00-04:00,-1285.00,,,,,
2021-03-26,prior_opposed,mnq_v2b_sizing_S_1_1_3_20210326_01,long,2021-03-26T09:47:00-04:00,2021-03-26T14:09:00-04:00,-682.50,mnq_hourly_st_pmc_sl25_tp75_3r_t297,short,2021-03-26T01:00:00-04:00,2021-03-26T06:00:00-04:00,148.50
