trade_id,entry_ts,exit_ts,entry_price,direction,net_pts,win,flat,primary_exit,week_mon,month,entry_dt,exit_dt,path_high,path_low,prior_week_high,prior_week_low,prior_month_high,prior_month_low,touch_prior_week_ext,touch_prior_month_ext,near_prior_week_5,near_prior_week_10,near_prior_month_5,near_prior_month_10,touch_any_wm,near_any_wm_10
trade_d4110dc8639e,2003-05-13T00:45:00-04:00,2003-05-16T16:15:00-04:00,1.1515,Short,-0.008644000000000096,False,False,week_end,2003-05-12,2003-05,2003-05-13 00:45:00-04:00,2003-05-16 16:15:00-04:00,1.15557,1.13675,1.15645,1.12723,,,False,False,False,False,False,False,False,False
trade_54d590c18f8c,2003-05-20T09:00:00-04:00,2003-05-20T14:00:00-04:00,1.1616799999999998,Short,-0.01265800000000028,False,False,dd50,2003-05-19,2003-05,2003-05-20 09:00:00-04:00,2003-05-20 14:00:00-04:00,1.16746,1.15998,1.16841,1.13675,,,False,False,False,False,False,False,False,False
trade_c880149f8937,2003-05-23T09:15:00-04:00,2003-05-23T16:15:00-04:00,1.17458,Long,0.005959999999999965,True,False,week_end,2003-05-19,2003-05,2003-05-23 09:15:00-04:00,2003-05-23 16:15:00-04:00,1.18079,1.17134,1.16841,1.13675,,,True,False,False,False,False,False,True,False
trade_c015d611f43d,2003-05-27T01:15:00-04:00,2003-05-27T06:00:00-04:00,1.18767,Long,-0.008709000000000078,False,False,dd50,2003-05-26,2003-05,2003-05-27 01:15:00-04:00,2003-05-27 06:00:00-04:00,1.19067,1.18297,1.18363,1.15998,,,True,False,False,False,False,False,True,False
trade_d3ae791f8f27,2003-05-27T08:15:00-04:00,2003-05-27T20:00:00-04:00,1.18784,Long,-0.008709000000000078,False,False,dd50,2003-05-26,2003-05,2003-05-27 08:15:00-04:00,2003-05-27 20:00:00-04:00,1.19286,1.18354,1.18363,1.15998,,,True,False,False,False,False,False,True,False
trade_54135cd49fff,2003-05-28T08:30:00-04:00,2003-05-29T16:00:00-04:00,1.17933,Short,-0.006332000000000004,False,False,dd50,2003-05-26,2003-05,2003-05-28 08:30:00-04:00,2003-05-29 16:00:00-04:00,1.18351,1.16909,1.18363,1.15998,,,False,False,False,False,False,False,False,False
trade_6dc5c7aed426,2003-05-29T18:00:00-04:00,2003-05-30T08:15:00-04:00,1.18819,Long,-0.0087090000000003,False,False,dd50,2003-05-26,2003-05,2003-05-29 18:00:00-04:00,2003-05-30 08:15:00-04:00,1.19144,1.18413,1.18363,1.15998,,,True,False,False,False,False,False,True,False
trade_b708dc960ca9,2003-05-30T15:30:00-04:00,2003-05-30T16:15:00-04:00,1.17716,Short,0.0008799999999999919,True,False,week_end,2003-05-26,2003-05,2003-05-30 15:30:00-04:00,2003-05-30 16:15:00-04:00,1.1781,1.17419,1.18363,1.15998,,,False,False,False,False,False,False,False,False
trade_5d124747492d,2003-06-03T09:00:00-04:00,2003-06-03T13:00:00-04:00,1.17676,Long,-0.012867000000000184,False,False,dd50,2003-06-02,2003-06,2003-06-03 09:00:00-04:00,2003-06-03 13:00:00-04:00,1.17741,1.17071,1.19286,1.16909,1.19286,1.12723,False,False,False,False,False,False,False,False
trade_c77da2de08e2,2003-06-04T21:15:00-04:00,2003-06-05T12:00:00-04:00,1.16452,Short,-0.009356000000000142,False,False,dd50,2003-06-02,2003-06,2003-06-04 21:15:00-04:00,2003-06-05 12:00:00-04:00,1.17079,1.16273,1.19286,1.16909,1.19286,1.12723,True,False,False,False,False,False,True,False
trade_2f5e7b4d9421,2003-06-05T13:30:00-04:00,2003-06-06T13:15:00-04:00,1.17797,Long,-0.012866999999999962,False,False,dd30,2003-06-02,2003-06,2003-06-05 13:30:00-04:00,2003-06-06 13:15:00-04:00,1.1885,1.16979,1.19286,1.16909,1.19286,1.12723,False,False,False,False,False,False,False,False
trade_b5a440c0aa76,2003-06-12T09:00:00-04:00,2003-06-12T10:15:00-04:00,1.17985,Long,-0.014308000000000431,False,False,dd50,2003-06-09,2003-06,2003-06-12 09:00:00-04:00,2003-06-12 10:15:00-04:00,1.18038,1.17312,1.1885,1.16273,1.19286,1.12723,False,False,False,False,False,False,False,False
trade_07091a59aa0e,2003-06-13T14:15:00-04:00,2003-06-13T16:15:00-04:00,1.17846,Long,0.007469999999999644,True,False,week_end,2003-06-09,2003-06,2003-06-13 14:15:00-04:00,2003-06-13 16:15:00-04:00,1.18159,1.17474,1.1885,1.16273,1.19286,1.12723,False,False,False,False,False,False,False,False
trade_9171cae68f43,2003-06-17T12:15:00-04:00,2003-06-20T16:15:00-04:00,1.18054,Short,0.05636999999999959,True,False,week_end,2003-06-16,2003-06,2003-06-17 12:15:00-04:00,2003-06-20 16:15:00-04:00,1.18231,1.15826,1.18759,1.16548,1.19286,1.12723,True,False,False,False,False,False,True,False
trade_d5007532d670,2003-06-24T17:00:00-04:00,2003-06-25T11:15:00-04:00,1.1493099999999998,Short,-0.010579000000000338,False,False,dd50,2003-06-23,2003-06,2003-06-24 17:00:00-04:00,2003-06-25 11:15:00-04:00,1.15415,1.1475,1.19263,1.15501,1.19286,1.12723,True,False,False,False,False,False,True,False
trade_55318cb6b13c,2003-06-25T17:15:00-04:00,2003-06-25T19:00:00-04:00,1.16118,Long,-0.007692000000000032,False,False,dd50,2003-06-23,2003-06,2003-06-25 17:15:00-04:00,2003-06-25 19:00:00-04:00,1.16128,1.15489,1.19263,1.15501,1.19286,1.12723,False,False,False,False,False,False,False,False
