broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_852e4df53621,intent_f0ce7489bfa6,usdjpy_m2_s3_r2_tuneup,trade_4eb46d3bd43d,USDJPY,paper,buy,market,3,0,filled,,,false,entry,,,2003-05-13T00:45:00-04:00,,2026-07-28T17:18:19Z,2026-07-28T17:18:19Z
ord_5a8314b1cea5,intent_a0af12773d19,usdjpy_m2_s3_r2_tuneup,trade_4eb46d3bd43d,USDJPY,paper,sell,stop,1,0,filled,,116.94069999999999,true,dd30,,,,,2026-07-28T17:18:19Z,2026-07-28T17:18:19Z
ord_1ae3dc7483ac,intent_077582d5d76b,usdjpy_m2_s3_r2_tuneup,trade_4eb46d3bd43d,USDJPY,paper,sell,stop,2,0,filled,,116.77250000000001,true,dd50,,,,,2026-07-28T17:18:19Z,2026-07-28T17:18:19Z
ord_97b0d7d29b93,intent_7b3856dcdb80,usdjpy_m2_s3_r2_tuneup,trade_4eb46d3bd43d,USDJPY,paper,sell,limit,3,3,cancelled,118.87499999999999,,true,target,,,,,2026-07-28T17:18:19Z,2026-07-28T17:18:19Z
ord_50cbd4f304d7,intent_9ad6b8304a8c,usdjpy_m2_s3_r2_tuneup,trade_4eb46d3bd43d,USDJPY,paper,sell,limit,2,2,cancelled,118.87499999999999,,true,target,,,,,2026-07-28T17:18:19Z,2026-07-28T17:18:19Z
ord_c86e08d57733,intent_d578c137b0ba,usdjpy_m2_s3_r2_tuneup,trade_c6e5d2fd8ef6,USDJPY,paper,buy,market,3,0,filled,,,false,entry,,,2003-05-13T10:00:00-04:00,,2026-07-28T17:18:19Z,2026-07-28T17:18:19Z
ord_3f0787b56571,intent_d9c4f90fd36b,usdjpy_m2_s3_r2_tuneup,trade_c6e5d2fd8ef6,USDJPY,paper,sell,stop,1,0,filled,,116.9247,true,dd30,,,,,2026-07-28T17:18:19Z,2026-07-28T17:18:19Z
ord_a75195b1e5fb,intent_a17f5909c046,usdjpy_m2_s3_r2_tuneup,trade_c6e5d2fd8ef6,USDJPY,paper,sell,stop,2,0,filled,,116.75650000000002,true,dd50,,,,,2026-07-28T17:18:19Z,2026-07-28T17:18:19Z
ord_6eca604e0b16,intent_41c4b6223339,usdjpy_m2_s3_r2_tuneup,trade_c6e5d2fd8ef6,USDJPY,paper,sell,limit,3,3,cancelled,118.859,,true,target,,,,,2026-07-28T17:18:19Z,2026-07-28T17:18:19Z
ord_516d1192536a,intent_aa2641304136,usdjpy_m2_s3_r2_tuneup,trade_c6e5d2fd8ef6,USDJPY,paper,sell,limit,2,2,cancelled,118.859,,true,target,,,,,2026-07-28T17:18:19Z,2026-07-28T17:18:19Z
