broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_270fc83cc230,intent_a7dc70e67805,xauusd_m2_s2_r3_tuneup,trade_fedc8f4cfe07,XAUUSD,paper,buy,market,3,0,filled,,,false,entry,,,2003-05-14T14:45:00-04:00,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
ord_41e75224c09f,intent_a6474213d73e,xauusd_m2_s2_r3_tuneup,trade_fedc8f4cfe07,XAUUSD,paper,sell,stop,1,0,filled,,350.80969999999996,true,dd30,,,,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
ord_fcde5590a3e7,intent_2c71b6bcb843,xauusd_m2_s2_r3_tuneup,trade_fedc8f4cfe07,XAUUSD,paper,sell,stop,2,2,cancelled,,350.0395,true,dd50,,,,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
ord_44676b27d6d1,intent_266696c3db22,xauusd_m2_s2_r3_tuneup,trade_fedc8f4cfe07,XAUUSD,paper,sell,limit,3,3,cancelled,359.667,,true,target,,,,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
ord_8b5cb4b16532,intent_db3ebd3aea5d,xauusd_m2_s2_r3_tuneup,trade_fedc8f4cfe07,XAUUSD,paper,sell,limit,2,2,cancelled,359.667,,true,target,,,,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
ord_6d004c8d243b,intent_055a52ebc0d9,xauusd_m2_s2_r3_tuneup,trade_fedc8f4cfe07,XAUUSD,paper,sell,market,2,0,filled,,,true,week_end,,,2003-05-16T15:45:00-04:00,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
ord_0b5706453c56,intent_9e96dbb38e6c,xauusd_m2_s2_r3_tuneup,trade_f452cca739f9,XAUUSD,paper,buy,market,3,0,filled,,,false,entry,,,2003-05-20T00:30:00-04:00,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
ord_039911594092,intent_4ede7653d1d8,xauusd_m2_s2_r3_tuneup,trade_f452cca739f9,XAUUSD,paper,sell,stop,1,1,cancelled,,362.68240000000003,true,dd30,,,,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
ord_0411e9fdad4f,intent_bd964714b6a6,xauusd_m2_s2_r3_tuneup,trade_f452cca739f9,XAUUSD,paper,sell,stop,2,2,cancelled,,360.466,true,dd50,,,,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
ord_8233271161ac,intent_f48caad5f450,xauusd_m2_s2_r3_tuneup,trade_f452cca739f9,XAUUSD,paper,sell,limit,3,3,cancelled,388.171,,true,target,,,,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
ord_03f73ef1d788,intent_64aa3c67fffc,xauusd_m2_s2_r3_tuneup,trade_f452cca739f9,XAUUSD,paper,sell,market,3,0,filled,,,true,week_end,,,2003-05-23T16:00:00-04:00,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
ord_cd24a081a86b,intent_67cccc715f3d,xauusd_m2_s2_r3_tuneup,trade_c3aa20bec558,XAUUSD,paper,buy,market,3,0,filled,,,false,entry,,,2003-05-27T01:45:00-04:00,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
ord_63c573355ebc,intent_97e7f384a977,xauusd_m2_s2_r3_tuneup,trade_c3aa20bec558,XAUUSD,paper,sell,stop,1,0,filled,,370.02,true,dd30,,,,,2026-07-28T18:03:19Z,2026-07-28T18:03:19Z
