verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_7f045d4e5ec7,intent_438dcbd2e083,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-d2e083,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_36b4a5ad0eb2,intent_1760369759c9,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-9759c9,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_5c3bb0a8d4ee,intent_b70db96d77cd,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-6d77cd,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_72f92a99ae5c,intent_dfb79003741e,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-03741e,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_901d6fa946d4,intent_1e06218e3329,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-8e3329,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_f0d7d61fc821,intent_de5ed74c720e,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-4c720e,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_9d3c3cac8fba,intent_605a03e39cb3,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-e39cb3,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_fac6b4d07699,intent_cc71019d1ba8,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-9d1ba8,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_4eb9175e9c64,intent_ae5cbc15b895,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-15b895,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_fc636eaadcd2,intent_de29ada9ff57,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-a9ff57,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_9eda03b92685,intent_8697c9a31716,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-a31716,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_35d513b9d2c5,intent_1140e99ecf01,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-9ecf01,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_387814aaae21,intent_ae3efb095242,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-095242,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_b465a49e6a29,intent_6fec297b8524,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-7b8524,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_008eaa313412,intent_dd72ec02b5af,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-02b5af,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_71b567d1e61a,intent_a7e62fa0c64d,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-a0c64d,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_aa2e4341796f,intent_309fe01017b8,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-1017b8,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_5ad877d2bcd3,intent_f994fc9eaf76,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-9eaf76,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_78122539140e,intent_15ce0cdc74a9,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-dc74a9,2026-05-21T12:40:16Z,2026-05-21T12:40:16Z
verify_4486a2ee5029,intent_506cc7a05c12,mes_monthly_overlap_daily_st_retest5,paper,approved,SPOOF-a05c12,2026-05-21T12:40:17Z,2026-05-21T12:40:17Z
