broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_173a200aa001,intent_3ae2904a0fee,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20100905_001,NQ,paper,buy,stop,1,0,filled,,1901.75,false,entry,,,2010-09-05 16:00:00-04:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:58Z
ord_2c8c4ee73124,intent_fc5583ec0d35,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20100905_001,NQ,paper,buy,stop,1,0,filled,,1901.75,false,entry,,,2010-09-05 16:00:00-04:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:58Z
ord_ea1ebbf3d6b6,intent_9df558b92c8a,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20100905_001,NQ,paper,buy,stop,1,0,filled,,1901.75,false,runner_entry,,,2010-09-05 16:00:00-04:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:58Z
ord_d651060c4d75,intent_3eea06658fd3,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20100905_001,NQ,paper,sell,limit,1,0,filled,1966.75,,true,tp50,,,2010-09-12 20:00:00-04:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:58Z
ord_d9077609a2db,intent_5d5b3667e536,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20100905_001,NQ,paper,sell,limit,1,0,filled,2031.75,,true,tp1,,,2010-09-12 20:00:00-04:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:58Z
ord_55364db04e76,intent_f26aa373d80a,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20100905_001,NQ,paper,sell,limit,1,0,filled,2161.75,,true,runner_target,,,2010-09-12 20:00:00-04:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:58Z
ord_1bd22f1db9c2,intent_9f489396aeeb,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20100905_001_retest,NQ,paper,buy,limit,5,5,cancelled,2063.0924212370774,,false,entry,,,2010-09-12 20:00:00-04:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:58Z
ord_30314bca01ea,intent_39ccee4d61b3,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20101205_002,NQ,paper,buy,stop,1,0,filled,,2195.0,false,entry,,,2010-12-05 15:00:00-05:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:58Z
ord_8f542b76ab52,intent_385050d8c6b8,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20101205_002,NQ,paper,buy,stop,1,0,filled,,2195.0,false,entry,,,2010-12-05 15:00:00-05:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:58Z
ord_a385198f679c,intent_3f622974c970,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20101205_002,NQ,paper,buy,stop,1,0,filled,,2195.0,false,runner_entry,,,2010-12-05 15:00:00-05:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:58Z
ord_155045583d82,intent_f4c0bb48a474,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20101205_002,NQ,paper,sell,limit,1,0,filled,2237.0,,true,tp50,,,2010-12-06 19:00:00-05:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:59Z
ord_ccd88bb94e56,intent_c5300e17a74e,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20101205_002,NQ,paper,sell,limit,1,0,filled,2279.0,,true,tp1,,,2010-12-06 19:00:00-05:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:59Z
ord_f9f163006443,intent_069007d66c53,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20101205_002,NQ,paper,sell,limit,1,0,filled,2363.0,,true,runner_target,,,2010-12-06 19:00:00-05:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:59Z
ord_e9702feeb538,intent_63011e6c1a3d,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20101205_002_retest,NQ,paper,buy,limit,5,0,filled,2261.9761736294063,,false,entry,,,2010-12-06 19:00:00-05:00,,2026-05-21T12:27:58Z,2026-05-21T12:27:59Z
ord_7adfe973b5b6,intent_d47daa96322f,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20101205_002_retest,NQ,paper,sell,limit,5,5,cancelled,2363.0,,true,retest_target,,,2011-01-28 11:00:00-05:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_8a5b959d7e9a,intent_00c5644d0cd0,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20101205_002_retest,NQ,paper,sell,market_close,5,0,filled,,,true,st_close,,,2011-01-30 15:00:00-05:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_e9703c1c48cc,intent_bb6cd6edc879,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110401_003,NQ,paper,buy,stop,1,0,filled,,2378.75,false,entry,,,2011-04-01 00:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_b6823fd8fee2,intent_5e3125c23e4a,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110401_003,NQ,paper,buy,stop,1,0,filled,,2378.75,false,entry,,,2011-04-01 00:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_5436e25f2176,intent_74ce630730ad,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110401_003,NQ,paper,buy,stop,1,0,filled,,2378.75,false,runner_entry,,,2011-04-01 00:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_8e452d194a47,intent_e561b761e459,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110401_003,NQ,paper,sell,limit,1,1,cancelled,2566.75,,true,runner_target,,,2011-04-20 16:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_e128a810e87d,intent_bb916fbf2c98,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110401_003,NQ,paper,sell,limit,1,0,filled,2425.75,,true,tp50,,,2011-04-20 16:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_f944d4024934,intent_d84c63005ab2,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110401_003,NQ,paper,sell,limit,1,1,cancelled,2472.75,,true,tp1,,,2011-04-20 16:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_e62512b68352,intent_9f422ebd46d9,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110401_003_retest,NQ,paper,buy,limit,5,0,filled,2332.9335925344667,,false,entry,,,2011-04-20 16:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_0624fa5226fc,intent_5ab74ccfee47,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110401_003_retest,NQ,paper,sell,limit,5,5,cancelled,2566.75,,true,retest_target,,,2011-05-16 12:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_298609b3f4ec,intent_a380adc25cd2,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110401_003_retest,NQ,paper,sell,market_close,5,0,filled,,,true,st_close,,,2011-05-16 16:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_07fa7c0b5696,intent_8c60da38e702,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110401_003,NQ,paper,sell,market_close,2,0,filled,,,true,range_close_25pct,,,2011-05-16 20:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_ef4bc791319a,intent_2f06f0d4370d,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110629_004,NQ,paper,buy,stop,1,0,filled,,2428.0,false,entry,,,2011-06-29 00:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_1b61f5b4ee58,intent_7679ac09c7bc,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110629_004,NQ,paper,buy,stop,1,0,filled,,2428.0,false,entry,,,2011-06-29 00:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_74077ecf896f,intent_c9998a0cabf2,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110629_004,NQ,paper,buy,stop,1,0,filled,,2428.0,false,runner_entry,,,2011-06-29 00:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_8fb3c7162221,intent_b9aae2b3e382,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110629_004,NQ,paper,sell,limit,1,1,cancelled,2499.625,,true,tp50,,,2011-07-22 12:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_c0c21fc5da25,intent_4617dac04f4c,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110629_004,NQ,paper,sell,limit,1,1,cancelled,2714.5,,true,runner_target,,,2011-07-22 12:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_42cee2a9e118,intent_f4d067246857,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110629_004,NQ,paper,sell,limit,1,1,cancelled,2571.25,,true,tp1,,,2011-07-22 12:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_bdc79c9a80fa,intent_caf66528f9c3,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110629_004_retest,NQ,paper,buy,limit,5,0,filled,2315.5363865888376,,false,entry,,,2011-07-22 12:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_bc41c6be406e,intent_a7d1485b1246,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110629_004,NQ,paper,sell,market_close,3,0,filled,,,true,range_close_25pct,,,2011-07-27 20:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_a44948f78608,intent_e50c0beec9dc,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110629_004_retest,NQ,paper,sell,limit,5,5,cancelled,2714.5,,true,retest_target,,,2011-08-02 12:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_619213c1431c,intent_0fcee7640700,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20110629_004_retest,NQ,paper,sell,market_close,5,0,filled,,,true,st_close,,,2011-08-02 12:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_b43056f2f379,intent_d5aa1f2b6c14,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20111205_005,NQ,paper,buy,stop,1,0,filled,,2366.5,false,entry,,,2011-12-05 03:00:00-05:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_355e5ed75434,intent_37683d767980,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20111205_005,NQ,paper,buy,stop,1,0,filled,,2366.5,false,entry,,,2011-12-05 03:00:00-05:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_b7c7d3dfde94,intent_229410238ec7,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20111205_005,NQ,paper,buy,stop,1,0,filled,,2366.5,false,runner_entry,,,2011-12-05 03:00:00-05:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_6ff2ef52b027,intent_c05304c80017,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20111205_005,NQ,paper,sell,limit,1,0,filled,2410.25,,true,tp50,,,2012-01-10 03:00:00-05:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_c278dd984712,intent_38c2de8e0a93,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20111205_005,NQ,paper,sell,limit,1,0,filled,2454.0,,true,tp1,,,2012-01-10 03:00:00-05:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_5e08d81f06a7,intent_e0ce44eba2ed,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20111205_005,NQ,paper,sell,limit,1,0,filled,2541.5,,true,runner_target,,,2012-01-10 03:00:00-05:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_ebfbfecaa352,intent_f907f029744e,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20111205_005_retest,NQ,paper,buy,limit,5,5,cancelled,2441.6523869679418,,false,entry,,,2012-01-10 03:00:00-05:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_ce79e5cb8789,intent_abaf167ca17f,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20120805_006,NQ,paper,buy,stop,1,0,filled,,2681.25,false,entry,,,2012-08-05 16:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
ord_b58a09ca5bf6,intent_a5c3249960f4,nq_monthly_overlap_daily_st_retest5,nq_monthly_overlap_daily_st_retest5_20120805_006,NQ,paper,buy,stop,1,0,filled,,2681.25,false,entry,,,2012-08-05 16:00:00-04:00,,2026-05-21T12:27:59Z,2026-05-21T12:27:59Z
