intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_d6652a038d14,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00001,NQ,paper,sell,market,1,,,entry,submitted,false,,,false,entry,,,,GTC,2010-06-07T15:09:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_b0a13a530e7e,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00001,NQ,paper,buy,limit,1,1763.25,,target_50,submitted,false,,,true,target,,,nq_3m_st_wick_retest_target50_00001_exit,GTC,2010-06-07T15:12:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_0b649800d898,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00001,NQ,paper,buy,market_close,1,,,eod_flat,submitted,false,,,true,eod_flat,,,nq_3m_st_wick_retest_target50_00001_exit,GTC,2010-06-07T15:57:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_db1d778cff9c,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00002,NQ,paper,buy,market,1,,,entry,submitted,false,,,false,entry,,,,GTC,2010-06-08T12:18:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_a3a4e62cc414,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00002,NQ,paper,sell,limit,1,1839.5,,target_50,submitted,false,,,true,target,,,nq_3m_st_wick_retest_target50_00002_exit,GTC,2010-06-08T12:21:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_d994791365c5,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00002,NQ,paper,sell,market_close,1,,,trend_break_close,submitted,false,,,true,trend_break_close,,,nq_3m_st_wick_retest_target50_00002_exit,GTC,2010-06-08T12:21:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_ee8dc1b5776c,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00003,NQ,paper,sell,market,1,,,entry,submitted,false,,,false,entry,,,,GTC,2010-06-08T14:06:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_232d5599950b,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00003,NQ,paper,buy,limit,1,1725.25,,target_50,submitted,false,,,true,target,,,nq_3m_st_wick_retest_target50_00003_exit,GTC,2010-06-08T14:09:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_81777a47d022,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00003,NQ,paper,buy,market_close,1,,,trend_break_close,submitted,false,,,true,trend_break_close,,,nq_3m_st_wick_retest_target50_00003_exit,GTC,2010-06-08T14:24:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_61b3db918a3e,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00004,NQ,paper,buy,market,1,,,entry,submitted,false,,,false,entry,,,,GTC,2010-06-08T14:51:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_6256a7427623,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00004,NQ,paper,sell,limit,1,1831.75,,target_50,submitted,false,,,true,target,,,nq_3m_st_wick_retest_target50_00004_exit,GTC,2010-06-08T14:54:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_8774be1df305,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00004,NQ,paper,sell,market_close,1,,,trend_break_close,submitted,false,,,true,trend_break_close,,,nq_3m_st_wick_retest_target50_00004_exit,GTC,2010-06-08T14:54:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_1fef4add7093,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00005,NQ,paper,sell,market,1,,,entry,submitted,false,,,false,entry,,,,GTC,2010-06-09T14:15:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_2521330d3cac,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00005,NQ,paper,buy,limit,1,1758.25,,target_50,submitted,false,,,true,target,,,nq_3m_st_wick_retest_target50_00005_exit,GTC,2010-06-09T14:18:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_f8022318c8f9,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00005,NQ,paper,buy,market_close,1,,,eod_flat,submitted,false,,,true,eod_flat,,,nq_3m_st_wick_retest_target50_00005_exit,GTC,2010-06-09T15:57:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_1af51ee360f7,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00006,NQ,paper,buy,market,1,,,entry,submitted,false,,,false,entry,,,,GTC,2010-06-10T11:39:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_c41e62e3ca48,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00006,NQ,paper,sell,limit,1,1862.75,,target_50,submitted,false,,,true,target,,,nq_3m_st_wick_retest_target50_00006_exit,GTC,2010-06-10T11:42:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_05b37ed7d70d,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00006,NQ,paper,sell,market_close,1,,,trend_break_close,submitted,false,,,true,trend_break_close,,,nq_3m_st_wick_retest_target50_00006_exit,GTC,2010-06-10T11:42:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_f97277068eda,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00007,NQ,paper,buy,market,1,,,entry,submitted,false,,,false,entry,,,,GTC,2010-06-10T14:09:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_a802952f69ef,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00007,NQ,paper,sell,limit,1,1859.75,,target_50,submitted,false,,,true,target,,,nq_3m_st_wick_retest_target50_00007_exit,GTC,2010-06-10T14:12:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_76e21413b42f,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00007,NQ,paper,sell,market_close,1,,,trend_break_close,submitted,false,,,true,trend_break_close,,,nq_3m_st_wick_retest_target50_00007_exit,GTC,2010-06-10T15:39:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
intent_df86a883aaa6,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00008,NQ,paper,buy,market,1,,,entry,submitted,false,,,false,entry,,,,GTC,2010-06-11T12:27:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
