broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_3d5c8c674aa7,intent_d6652a038d14,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00001,NQ,paper,sell,market,1,0,filled,,,false,entry,,,2010-06-07T15:09:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_eec91bc6d438,intent_b0a13a530e7e,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00001,NQ,paper,buy,limit,1,1,cancelled,1763.25,,true,target,,nq_3m_st_wick_retest_target50_00001_exit,2010-06-07T15:12:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_fc50672aa3ee,intent_0b649800d898,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00001,NQ,paper,buy,market_close,1,0,filled,,,true,eod_flat,,nq_3m_st_wick_retest_target50_00001_exit,2010-06-07T15:57:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_e74b9c386fe9,intent_db1d778cff9c,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00002,NQ,paper,buy,market,1,0,filled,,,false,entry,,,2010-06-08T12:18:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_8632f1e3659a,intent_a3a4e62cc414,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00002,NQ,paper,sell,limit,1,1,cancelled,1839.5,,true,target,,nq_3m_st_wick_retest_target50_00002_exit,2010-06-08T12:21:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_e9c76aa11c3a,intent_d994791365c5,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00002,NQ,paper,sell,market_close,1,0,filled,,,true,trend_break_close,,nq_3m_st_wick_retest_target50_00002_exit,2010-06-08T12:21:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_d45949227215,intent_ee8dc1b5776c,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00003,NQ,paper,sell,market,1,0,filled,,,false,entry,,,2010-06-08T14:06:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_f8db03f23350,intent_232d5599950b,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00003,NQ,paper,buy,limit,1,1,cancelled,1725.25,,true,target,,nq_3m_st_wick_retest_target50_00003_exit,2010-06-08T14:09:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_96e2ef95de35,intent_81777a47d022,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00003,NQ,paper,buy,market_close,1,0,filled,,,true,trend_break_close,,nq_3m_st_wick_retest_target50_00003_exit,2010-06-08T14:24:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_e304785e4928,intent_61b3db918a3e,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00004,NQ,paper,buy,market,1,0,filled,,,false,entry,,,2010-06-08T14:51:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_391def8be325,intent_6256a7427623,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00004,NQ,paper,sell,limit,1,1,cancelled,1831.75,,true,target,,nq_3m_st_wick_retest_target50_00004_exit,2010-06-08T14:54:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_8763971c2ddc,intent_8774be1df305,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00004,NQ,paper,sell,market_close,1,0,filled,,,true,trend_break_close,,nq_3m_st_wick_retest_target50_00004_exit,2010-06-08T14:54:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_2ac640646775,intent_1fef4add7093,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00005,NQ,paper,sell,market,1,0,filled,,,false,entry,,,2010-06-09T14:15:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_d305482635dd,intent_2521330d3cac,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00005,NQ,paper,buy,limit,1,1,cancelled,1758.25,,true,target,,nq_3m_st_wick_retest_target50_00005_exit,2010-06-09T14:18:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_07bbc4dde79e,intent_f8022318c8f9,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00005,NQ,paper,buy,market_close,1,0,filled,,,true,eod_flat,,nq_3m_st_wick_retest_target50_00005_exit,2010-06-09T15:57:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_ee049aa5afb6,intent_1af51ee360f7,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00006,NQ,paper,buy,market,1,0,filled,,,false,entry,,,2010-06-10T11:39:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_1e4772e75e27,intent_c41e62e3ca48,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00006,NQ,paper,sell,limit,1,1,cancelled,1862.75,,true,target,,nq_3m_st_wick_retest_target50_00006_exit,2010-06-10T11:42:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_97989f67cf4b,intent_05b37ed7d70d,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00006,NQ,paper,sell,market_close,1,0,filled,,,true,trend_break_close,,nq_3m_st_wick_retest_target50_00006_exit,2010-06-10T11:42:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_595652ce7c7d,intent_f97277068eda,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00007,NQ,paper,buy,market,1,0,filled,,,false,entry,,,2010-06-10T14:09:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_f66bbfcc4966,intent_a802952f69ef,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00007,NQ,paper,sell,limit,1,1,cancelled,1859.75,,true,target,,nq_3m_st_wick_retest_target50_00007_exit,2010-06-10T14:12:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_309be7c6595d,intent_76e21413b42f,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00007,NQ,paper,sell,market_close,1,0,filled,,,true,trend_break_close,,nq_3m_st_wick_retest_target50_00007_exit,2010-06-10T15:39:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_d3824aa07bc2,intent_df86a883aaa6,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00008,NQ,paper,buy,market,1,0,filled,,,false,entry,,,2010-06-11T12:27:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_2cae9542d940,intent_e52ddd45f4ac,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00008,NQ,paper,sell,limit,1,1,cancelled,1878.25,,true,target,,nq_3m_st_wick_retest_target50_00008_exit,2010-06-11T12:30:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_1ecc2cb73b98,intent_ebd7f3016181,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00008,NQ,paper,sell,market_close,1,0,filled,,,true,trend_break_close,,nq_3m_st_wick_retest_target50_00008_exit,2010-06-11T12:33:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_e131a6f38317,intent_aa520230a057,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00009,NQ,paper,sell,market,1,0,filled,,,false,entry,,,2010-06-11T14:03:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_5a93a86828f9,intent_4e73b75dee72,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00009,NQ,paper,buy,limit,1,1,cancelled,1780.5,,true,target,,nq_3m_st_wick_retest_target50_00009_exit,2010-06-11T14:06:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_831e408da9d9,intent_84cd5cc0d3fc,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00009,NQ,paper,buy,market_close,1,0,filled,,,true,trend_break_close,,nq_3m_st_wick_retest_target50_00009_exit,2010-06-11T14:06:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_bf43528d6e60,intent_5afd4261314b,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00010,NQ,paper,buy,market,1,0,filled,,,false,entry,,,2010-06-14T11:39:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
ord_e3179f76c434,intent_334f6e5ca4ed,nq_3m_st_wick_retest_target50,nq_3m_st_wick_retest_target50_00010,NQ,paper,sell,limit,1,1,cancelled,1920.5,,true,target,,nq_3m_st_wick_retest_target50_00010_exit,2010-06-14T11:42:00-04:00,,2026-05-25T19:33:55Z,2026-05-25T19:33:55Z
