session_date,event_seq,event_ts,event_type,side,price,qty,trade_id,order_status,detail,regime_day,st_pmc_event_count,v2b_armed,v2b_campaigns,v2b_day_net_usd
2021-03-04,1,2021-03-03T23:00:00-05:00,st_pmc_hour_label,short,12762.70617589315,,,filled,ST+PMC left-label live_after; decide/post at hour-complete; source=st_resting_limit_hour_complete,True,3,True,1,-11682.50
2021-03-04,2,2021-03-04T00:00:00-05:00,st_pmc_available_hour_complete,short,12762.70617589315,,,filled,ST+PMC entry limit knowably resting (hour-complete). live_after=2021-03-03T23:00:00-05:00,True,3,True,1,-11682.50
2021-03-04,3,2021-03-04T09:00:00-05:00,st_pmc_hour_label,short,12762.70617589315,,,filled,ST+PMC left-label live_after; decide/post at hour-complete; source=st_resting_limit_hour_complete,True,3,True,1,-11682.50
2021-03-04,4,2021-03-04T09:44:00-05:00,v2b_or_finalized_and_entry_armed,long,12765.2500,5,nq_v2b_prior_opposed_stpmc_only_S_1_1_3_20210304_01,filled,order_type=stop; reduce_only=False; expires=2021-03-04T10:59:00-05:00,True,3,True,1,-11682.50
2021-03-04,5,2021-03-04T10:00:00-05:00,st_pmc_available_hour_complete,short,12762.70617589315,,,filled,ST+PMC entry limit knowably resting (hour-complete). live_after=2021-03-04T09:00:00-05:00,True,3,True,1,-11682.50
2021-03-04,6,2021-03-04T11:00:00-05:00,st_pmc_hour_label,short,12762.70617589315,,,filled,ST+PMC left-label live_after; decide/post at hour-complete; source=st_resting_limit_hour_complete,True,3,True,1,-11682.50
2021-03-04,7,2021-03-04T11:02:00-05:00,v2b_wide_stop_placed,sell,12649.2500,5,nq_v2b_prior_opposed_stpmc_only_S_1_1_3_20210304_01,filled,order_type=stop; reduce_only=True; expires=2021-03-04T10:59:00-05:00,True,3,True,1,-11682.50
2021-03-04,8,2021-03-04T11:02:00-05:00,v2b_tp1_limit_placed,sell,12880.7500,1,nq_v2b_prior_opposed_stpmc_only_S_1_1_3_20210304_01,cancelled,order_type=limit; reduce_only=True; expires=2021-03-04T10:59:00-05:00,True,3,True,1,-11682.50
2021-03-04,9,2021-03-04T11:02:00-05:00,v2b_tp2_limit_placed,sell,12996.5000,1,nq_v2b_prior_opposed_stpmc_only_S_1_1_3_20210304_01,cancelled,order_type=limit; reduce_only=True; expires=2021-03-04T10:59:00-05:00,True,3,True,1,-11682.50
2021-03-04,10,2021-03-04T11:02:00-05:00,v2b_entry_filled,buy,12765.6250,5,nq_v2b_prior_opposed_stpmc_only_S_1_1_3_20210304_01,filled,fill reason=entry,True,3,True,1,-11682.50
2021-03-04,11,2021-03-04T12:00:00-05:00,st_pmc_available_hour_complete,short,12762.70617589315,,,filled,ST+PMC entry limit knowably resting (hour-complete). live_after=2021-03-04T11:00:00-05:00,True,3,True,1,-11682.50
2021-03-04,12,2021-03-04T12:21:00-05:00,v2b_wide_stop_filled,sell,12648.8750,5,nq_v2b_prior_opposed_stpmc_only_S_1_1_3_20210304_01,filled,fill reason=wide_stop,True,3,True,1,-11682.50
