alert_id,strategy_id,level,message,payload_json,status,created_at
alert_48cc5c6bd991,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:37Z
alert_14e0908721f5,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:29:37Z
alert_201b428accae,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:37Z
alert_6a2203c931b1,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:29:37Z
alert_0f8e4b40be46,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:37Z
alert_772c4833c4d6,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted buy 2 MNQ,{},sent,2026-05-18T14:29:37Z
alert_6dc20d891aaa,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:37Z
alert_8efb918655cc,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted buy 2 MNQ,{},sent,2026-05-18T14:29:37Z
alert_69689e958b8b,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:37Z
alert_39107299ab1a,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted sell 6 MNQ,{},sent,2026-05-18T14:29:37Z
alert_b0180b74b84d,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:37Z
alert_07590739bfcd,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:29:37Z
alert_ca25c2bec5db,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:37Z
alert_b9034b2a4771,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted sell 1 MNQ,{},sent,2026-05-18T14:29:37Z
alert_08d6e66525ab,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:37Z
alert_9335af499cca,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:29:37Z
alert_e8d83e55dab0,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:38Z
alert_5c8440dc4da8,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted sell 1 MNQ,{},sent,2026-05-18T14:29:38Z
alert_454c84958528,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:38Z
alert_ef6e7a1e7ee3,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:29:38Z
alert_0203e6dc4c89,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:38Z
alert_15ce0fd8b666,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted sell 1 MNQ,{},sent,2026-05-18T14:29:38Z
alert_082f39c52fd5,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:38Z
alert_cbf7d1d39999,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:29:38Z
alert_3242f746ffd2,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:38Z
alert_842ca2d89241,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted sell 1 MNQ,{},sent,2026-05-18T14:29:38Z
alert_35c446c65255,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:38Z
alert_7d335fac14a8,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:29:38Z
alert_fa1bc7f81730,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:38Z
alert_53edede69ad4,mnq_atr_daily_ladder112221_10max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:29:38Z
alert_197b6e5cf035,mnq_atr_daily_ladder112221_10max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:29:38Z
