intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_841b09105b62,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190607_001,MNQ,paper,buy,market,1,,,primary_bull_flip,submitted,true,verify_dc1d4f60dc13,,false,entry,,,,GTC,2019-06-07,,2026-05-18T14:29:37Z,2026-05-18T14:29:37Z
intent_6229141598aa,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190607_001,MNQ,paper,buy,market,1,,,friday_add,submitted,true,verify_ecb04671ed3e,,false,entry,,,,GTC,2019-06-21,,2026-05-18T14:29:37Z,2026-05-18T14:29:37Z
intent_66b77b12389c,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190607_001,MNQ,paper,buy,market,2,,,friday_add,submitted,true,verify_c2a7cb5f9dd2,,false,entry,,,,GTC,2019-07-05,,2026-05-18T14:29:37Z,2026-05-18T14:29:37Z
intent_981734e7afb5,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190607_001,MNQ,paper,buy,market,2,,,friday_add,submitted,true,verify_01182be232f5,,false,entry,,,,GTC,2019-07-19,,2026-05-18T14:29:37Z,2026-05-18T14:29:37Z
intent_70c224d9f3ea,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190607_001,MNQ,paper,sell,market,6,,,primary_bearish,submitted,false,,,true,close,,,,GTC,2019-08-02,,2026-05-18T14:29:37Z,2026-05-18T14:29:37Z
intent_b0f23be3a984,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190905_002,MNQ,paper,buy,market,1,,,primary_bull_flip,submitted,true,verify_98ad6c75ede0,,false,entry,,,,GTC,2019-09-05,,2026-05-18T14:29:37Z,2026-05-18T14:29:37Z
intent_9ec6ef77d991,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190905_002,MNQ,paper,sell,market,1,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2019-09-08,,2026-05-18T14:29:37Z,2026-05-18T14:29:37Z
intent_b108cd95d555,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190911_003,MNQ,paper,buy,market,1,,,entry_guard_reclaim,submitted,true,verify_f3e85e1c8057,,false,entry,,,,GTC,2019-09-11,,2026-05-18T14:29:37Z,2026-05-18T14:29:37Z
intent_112c593b89b3,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190911_003,MNQ,paper,sell,market,1,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2019-09-15,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_9e2fbdc22bc1,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190916_004,MNQ,paper,buy,market,1,,,entry_guard_reclaim,submitted,true,verify_0685a71dd654,,false,entry,,,,GTC,2019-09-16,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_1f673c63c91b,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190916_004,MNQ,paper,sell,market,1,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2019-09-20,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_fdb127d8a0aa,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190922_005,MNQ,paper,buy,market,1,,,entry_guard_reclaim,submitted,true,verify_2a258247e22b,,false,entry,,,,GTC,2019-09-22,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_49c797bddbae,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190922_005,MNQ,paper,sell,market,1,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2019-09-24,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_512733c3ebea,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,buy,market,1,,,primary_bull_flip,submitted,true,verify_969e067110ae,,false,entry,,,,GTC,2019-10-25,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_b34c2291eadd,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,buy,market,1,,,friday_add,submitted,true,verify_bc6ea8f4926c,,false,entry,,,,GTC,2019-11-08,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_4757864bda79,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,buy,market,2,,,friday_add,submitted,true,verify_832368ed8fa0,,false,entry,,,,GTC,2019-11-22,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_1a56bc3dc5a2,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,buy,market,2,,,friday_add,submitted,true,verify_16393e1240b9,,false,entry,,,,GTC,2019-12-06,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_1b3ff37b9801,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,buy,market,2,,,friday_add,submitted,true,verify_735d1c2ec33b,,false,entry,,,,GTC,2019-12-20,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_b3893ab8be24,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,buy,market,1,,,friday_add,submitted,true,verify_778b1ce36f40,,false,entry,,,,GTC,2020-01-03,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_16e49b4843d2,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,buy,market,1,,,friday_add,submitted,true,verify_f507fbe53650,,false,entry,,,,GTC,2020-01-17,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_f1b0cbbebd42,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,sell,market,10,,,primary_bearish,submitted,false,,,true,close,,,,GTC,2020-02-23,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_866838113094,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20200408_007,MNQ,paper,buy,market,1,,,primary_bull_flip,submitted,true,verify_ba1841b32317,,false,entry,,,,GTC,2020-04-08,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_72e9489254be,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20200408_007,MNQ,paper,sell,market,1,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2020-04-12,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_077811d14282,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20200413_008,MNQ,paper,buy,market,1,,,entry_guard_reclaim,submitted,true,verify_ae2dda5fe99d,,false,entry,,,,GTC,2020-04-13,,2026-05-18T14:29:38Z,2026-05-18T14:29:38Z
intent_da1e4e7b5db3,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20200413_008,MNQ,paper,buy,market,1,,,friday_add,submitted,true,verify_b5e4304d8b12,,false,entry,,,,GTC,2020-04-24,,2026-05-18T14:29:39Z,2026-05-18T14:29:39Z
