alert_id,strategy_id,level,message,payload_json,status,created_at
alert_deb934a883dd,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:23Z
alert_ffc78084b9e4,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-18T14:30:23Z
alert_13b5513685f7,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:23Z
alert_75ba2ad6beea,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:30:23Z
alert_9d3138b3b4b5,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:23Z
alert_d6ac0d658f75,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:30:23Z
alert_4a290e3ebeee,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:23Z
alert_099991268ae9,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted sell 5 MNQ,{},sent,2026-05-18T14:30:23Z
alert_71108b75153f,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:25Z
alert_100e6107c38e,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-18T14:30:25Z
alert_4acab4406a9d,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:25Z
alert_6343522b642a,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-18T14:30:25Z
alert_647c9ed651a9,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:25Z
alert_d538e55303c8,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-18T14:30:25Z
alert_0d25c0063b99,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:25Z
alert_5b8c13d51f38,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-18T14:30:25Z
alert_8a8acdf7f8c1,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:25Z
alert_047a368f2fdb,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-18T14:30:25Z
alert_5ba4a3bcb396,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:25Z
alert_b0a4aafc6bd5,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:30:25Z
alert_5355e4e6f5ff,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:25Z
alert_7eee2d0612d6,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:30:25Z
alert_052bb254708c,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:26Z
alert_7c78a4b09b78,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted sell 5 MNQ,{},sent,2026-05-18T14:30:26Z
alert_a77bebb15baa,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:26Z
alert_ccdc205c7a03,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-18T14:30:26Z
alert_abddd3f5f624,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:26Z
alert_db6b1ef918a5,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:30:26Z
alert_079ebb161071,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:26Z
alert_ef95c4a638c4,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted sell 4 MNQ,{},sent,2026-05-18T14:30:26Z
alert_c6608bcf0d40,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:26Z
alert_c6076bdadfc5,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-18T14:30:26Z
alert_9103cb302720,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:27Z
alert_cd2e80343d4f,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:30:27Z
alert_c01e85d2ede2,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:27Z
alert_d2a7ec22c694,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:30:27Z
alert_3fc2601d8833,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:27Z
alert_1bb2990470b6,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted sell 5 MNQ,{},sent,2026-05-18T14:30:27Z
alert_c5037f1f908b,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:27Z
alert_ccdb141212ef,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-18T14:30:27Z
alert_1aaef0113715,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:27Z
alert_b038c8cb1c07,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-18T14:30:27Z
alert_e84afb76b2a8,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:27Z
alert_2417f7bbd79c,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-18T14:30:27Z
alert_343a69890e8e,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:27Z
alert_7206a1f6998a,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:30:27Z
alert_9071ef0743e9,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:27Z
alert_620f6dea2825,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-18T14:30:27Z
alert_e730b9eafb8a,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:28Z
alert_887152d25f09,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted sell 5 MNQ,{},sent,2026-05-18T14:30:28Z
alert_35ac9fffb87a,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:29Z
alert_92d1a8cc830e,mnq_atr_daily_weekly_flat_5max,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-18T14:30:29Z
alert_cf32abda134b,mnq_atr_daily_weekly_flat_5max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-18T14:30:29Z
