broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_acc8cdcfb724,intent_6f8b981f0066,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20191129_001,MNQ,paper,buy,market,3,0,filled,,,false,entry,,,2019-11-29,,2026-05-18T14:27:33Z,2026-05-18T14:27:33Z
ord_6c63d5d721de,intent_d044fc211d34,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20191129_001,MNQ,paper,sell,market,3,0,filled,,,true,close,,,2019-12-02,,2026-05-18T14:27:33Z,2026-05-18T14:27:33Z
ord_a120ed627308,intent_21da8b8a89e5,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20191212_002,MNQ,paper,buy,market,3,0,filled,,,false,entry,,,2019-12-12,,2026-05-18T14:27:33Z,2026-05-18T14:27:33Z
ord_25051ab88617,intent_7ebdc6e0a96b,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20191212_002,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2019-12-20,,2026-05-18T14:27:33Z,2026-05-18T14:27:33Z
ord_5d68db4633cc,intent_48a1aef9b7cb,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20191212_002,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2020-01-03,,2026-05-18T14:27:33Z,2026-05-18T14:27:33Z
ord_ea7a3ac5e8ad,intent_148aeb874a48,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20191212_002,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2020-01-17,,2026-05-18T14:27:33Z,2026-05-18T14:27:33Z
ord_6cdfc16f1d2a,intent_953ab5c3ba90,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20191212_002,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2020-01-31,,2026-05-18T14:27:33Z,2026-05-18T14:27:33Z
ord_daf78b839f94,intent_96c8a91ef7ed,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20191212_002,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2020-02-14,,2026-05-18T14:27:33Z,2026-05-18T14:27:33Z
ord_fbc9d9581e62,intent_e238750fa133,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20191212_002,MNQ,paper,sell,market,8,0,filled,,,true,close,,,2020-02-27,,2026-05-18T14:27:33Z,2026-05-18T14:27:33Z
ord_d433712d1d97,intent_07959dee527b,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200417_003,MNQ,paper,buy,market,3,0,filled,,,false,entry,,,2020-04-17,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_7568171631fe,intent_fac7efb3a8b4,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200417_003,MNQ,paper,sell,market,3,0,filled,,,true,close,,,2020-04-20,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_bbfa96e42b9d,intent_2fc0da9f2202,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200427_004,MNQ,paper,buy,market,3,0,filled,,,false,entry,,,2020-04-27,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_9997ff3d272b,intent_7b7279c96607,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200427_004,MNQ,paper,sell,market,3,0,filled,,,true,close,,,2020-04-28,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_10516758b87b,intent_df204059db45,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200429_005,MNQ,paper,buy,market,3,0,filled,,,false,entry,,,2020-04-29,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_ab02063699bc,intent_8ea91685b490,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200429_005,MNQ,paper,sell,market,3,0,filled,,,true,close,,,2020-05-01,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_ec40ef6aa806,intent_59abeb50f41f,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200504_006,MNQ,paper,buy,market,3,0,filled,,,false,entry,,,2020-05-04,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_246d70e8b334,intent_395cb37e2192,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200504_006,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2020-05-15,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_9e72d21b0107,intent_d3388d25ba38,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200504_006,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2020-05-29,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_e9085a919f5c,intent_b7d488d88556,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200504_006,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2020-06-12,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_c4ed62ffb1cd,intent_c25f56ea17a6,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200504_006,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2020-06-26,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_155885830b60,intent_a9518aade70b,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200504_006,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2020-07-10,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_a05665610d1a,intent_fc08697f801a,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200504_006,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2020-07-24,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_fef52cf100fd,intent_e55e3d549c8d,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200504_006,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2020-08-07,,2026-05-18T14:27:34Z,2026-05-18T14:27:34Z
ord_121dbedd2e0f,intent_4eb9eeb33f32,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20200504_006,MNQ,paper,sell,market,10,0,filled,,,true,close,,,2022-01-21,,2026-05-18T14:27:39Z,2026-05-18T14:27:39Z
ord_d804fa97db75,intent_3ad9c2c1738c,mnq_atr_weekly_3initial_10max,mnq_atr_weekly_3initial_10max_20230331_007,MNQ,paper,buy,market,3,0,filled,,,false,entry,,,2023-03-31,,2026-05-18T14:27:45Z,2026-05-18T14:27:45Z
