verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_ec9f756d99cd,intent_f98799b41536,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-b41536,2026-05-24T04:47:23Z,2026-05-24T04:47:23Z
verify_0b6f93ad6a23,intent_f2eef2149d31,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-149d31,2026-05-24T04:47:23Z,2026-05-24T04:47:23Z
verify_da1d434427c4,intent_511eeacc4829,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-cc4829,2026-05-24T04:47:23Z,2026-05-24T04:47:23Z
verify_234479cbdf52,intent_fee1505d7954,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-5d7954,2026-05-24T04:47:23Z,2026-05-24T04:47:23Z
verify_445f08aeee94,intent_4a1c59f08b4f,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-f08b4f,2026-05-24T04:47:23Z,2026-05-24T04:47:23Z
verify_058078e3de8a,intent_d0f753261c74,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-261c74,2026-05-24T04:47:23Z,2026-05-24T04:47:23Z
verify_006469da1d5f,intent_55f017b02577,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-b02577,2026-05-24T04:47:23Z,2026-05-24T04:47:23Z
verify_f81620696538,intent_9b8112286f0b,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-286f0b,2026-05-24T04:47:23Z,2026-05-24T04:47:23Z
verify_78d03081ba48,intent_b6a790533e63,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-533e63,2026-05-24T04:47:24Z,2026-05-24T04:47:24Z
verify_88f8fedcd8d5,intent_c3a58e52275a,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-52275a,2026-05-24T04:47:24Z,2026-05-24T04:47:24Z
verify_6d1669dfb99c,intent_250f9e446c6a,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-446c6a,2026-05-24T04:47:24Z,2026-05-24T04:47:24Z
verify_90114af77a2c,intent_e899a320effa,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-20effa,2026-05-24T04:47:24Z,2026-05-24T04:47:24Z
verify_0763f5aee9af,intent_ac9c8cb36473,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-b36473,2026-05-24T04:47:24Z,2026-05-24T04:47:24Z
verify_6a8419b14a53,intent_d12e0ef08a6f,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-f08a6f,2026-05-24T04:47:24Z,2026-05-24T04:47:24Z
verify_6dfb68c8353d,intent_6f7b2e03e49f,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-03e49f,2026-05-24T04:47:24Z,2026-05-24T04:47:24Z
verify_5b5b965e25d1,intent_887692314cea,mym_v2b_sizing_S_1_0_1,paper,approved,SPOOF-314cea,2026-05-24T04:47:24Z,2026-05-24T04:47:24Z
