alert_id,strategy_id,level,message,payload_json,status,created_at
alert_08806d66cad7,nq_v2b_sizing_S_1_0_1,info,v2b opening range armed,{},sent,2026-05-24T04:43:29Z
alert_da4ab746821e,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_f773711f76ce,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_eac6f7fb2532,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_1f02ada3c0dd,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-24T04:43:29Z
alert_e62e914272be,nq_v2b_sizing_S_1_0_1,info,Cancelled order ord_605217e2f81d,{},sent,2026-05-24T04:43:29Z
alert_1183cc0f6564,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-24T04:43:29Z
alert_0bf34cee1179,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_2d6ebbd401e9,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_25e33e5f5082,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-24T04:43:29Z
alert_a09d1d1a7f08,nq_v2b_sizing_S_1_0_1,info,v2b opening range armed,{},sent,2026-05-24T04:43:29Z
alert_b409c75664c5,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_1a2f239dba10,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_81df6dc59626,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_b317a8c0441c,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-24T04:43:29Z
alert_417fe1e5c443,nq_v2b_sizing_S_1_0_1,info,Cancelled order ord_aa6b516611f1,{},sent,2026-05-24T04:43:29Z
alert_1ec769ce3a88,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-24T04:43:29Z
alert_c13ffeeac35d,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_67754e863689,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_9d28ae76a138,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-24T04:43:29Z
alert_140c2e4fb734,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_c6bc373f54f1,nq_v2b_sizing_S_1_0_1,info,v2b opening range armed,{},sent,2026-05-24T04:43:29Z
alert_d1f343e927aa,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_7baf05502ce1,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_5a42c8a6e6ba,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_dd29014f5caa,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-24T04:43:29Z
alert_41138216c691,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_d96133696d64,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-24T04:43:29Z
alert_9074636d7bb4,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-24T04:43:29Z
alert_368280369f6b,nq_v2b_sizing_S_1_0_1,info,Cancelled order ord_12c32c821b3a,{},sent,2026-05-24T04:43:29Z
alert_448e7788e271,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-24T04:43:29Z
alert_4366e7d31172,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-24T04:43:29Z
alert_2b47ca34d584,nq_v2b_sizing_S_1_0_1,info,v2b opening range armed,{},sent,2026-05-24T04:43:30Z
alert_f6e29fe9e61f,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-24T04:43:30Z
alert_ad92dfc7f699,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:30Z
alert_d2fc17cfece9,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:30Z
alert_cbb6d3a74c89,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-24T04:43:30Z
alert_88f113dfaea9,nq_v2b_sizing_S_1_0_1,info,Cancelled order ord_fc6a2458ce51,{},sent,2026-05-24T04:43:30Z
alert_c22586181cc0,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-24T04:43:30Z
alert_054d9ef28713,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-24T04:43:30Z
alert_c56ce0455aaf,nq_v2b_sizing_S_1_0_1,info,v2b opening range armed,{},sent,2026-05-24T04:43:30Z
alert_f636378b6394,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-24T04:43:30Z
alert_d272eb5493f0,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:30Z
alert_41a8b53463de,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:30Z
alert_7b08fefcbcd0,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-24T04:43:30Z
alert_90f86c71dba9,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-24T04:43:30Z
alert_fd239c603bf2,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-24T04:43:30Z
alert_f44927faaf4c,nq_v2b_sizing_S_1_0_1,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-24T04:43:30Z
