alert_id,strategy_id,level,message,payload_json,status,created_at
alert_4c6a2a0f63dd,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:02Z
alert_c68a4a862792,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_f7da051a3eb9,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_74451e766b6a,{},sent,2026-05-21T12:49:02Z
alert_9982e3820554,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:02Z
alert_1a9e6b5630c8,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_2d425f85cb2c,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_8d872c6a60dd,{},sent,2026-05-21T12:49:02Z
alert_e1c1fcc634c2,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:02Z
alert_173d3ddffce4,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_895a9fd48bdf,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_657cc0d0cd99,{},sent,2026-05-21T12:49:02Z
alert_9f3a17395718,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:02Z
alert_f4ac73fc3ca7,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_ceb8a35ed9e9,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_b1acd3ad9a65,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_3ff0756c26d4,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_35ea8e7ee530,{},sent,2026-05-21T12:49:02Z
alert_549ac25ed28f,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_363acbdb0ad6,{},sent,2026-05-21T12:49:02Z
alert_993b198466ea,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_201c6c4b4c3c,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:02Z
alert_2145af339124,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_7582c5fba350,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_6d417881cc72,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_d48081afac37,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_a3157451934e,{},sent,2026-05-21T12:49:02Z
alert_b7e1f7277682,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:02Z
alert_1fef3a964e50,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_e1e79c44c684,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_db570c5fff8d,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_4c1f0e778e5a,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_05cf1e46a86d,{},sent,2026-05-21T12:49:02Z
alert_ad1d22208ee4,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:02Z
alert_962f916ef952,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_9add23d0afc9,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T12:49:02Z
alert_01d6dd9f0a66,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_b6cf35c67481,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_5ed122a100cd,{},sent,2026-05-21T12:49:03Z
alert_fe8c72e6f4ee,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:03Z
alert_9776891ea91b,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_f253dead2962,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_882bc3f45c9c,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:03Z
alert_02fd33a870b3,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_00e39747a57f,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_6310ad9024d8,{},sent,2026-05-21T12:49:03Z
alert_7d002aa54ab3,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:03Z
alert_1fe011cd21b5,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_0fd6147b3299,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_a2df07afd697,{},sent,2026-05-21T12:49:03Z
alert_588d9121a8a7,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:03Z
alert_a3de95c2b65e,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_6e08c1de0aba,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_efe86b78cc55,{},sent,2026-05-21T12:49:03Z
alert_d622b89ed14a,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:03Z
alert_05968824a7e1,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_963873ec772a,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_422b6183af3f,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_69851890431c,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:03Z
alert_0d0f0d511079,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_3ba041f520cf,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_d6ed1b2d5a42,{},sent,2026-05-21T12:49:03Z
alert_663bfb80ca74,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:03Z
alert_1bd30c91e085,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_7c0de16cb9df,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_df339038d114,{},sent,2026-05-21T12:49:03Z
alert_554c766c2dc8,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:03Z
alert_80d48b1fa3bd,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_8a1d64b931a4,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_9563d9b7ae8f,{},sent,2026-05-21T12:49:03Z
alert_0c757b029685,nq_v2b_clean_break_bullish_2r_rl_stop,info,v2b clean-break long stop armed,{},sent,2026-05-21T12:49:03Z
alert_b419d4af7687,nq_v2b_clean_break_bullish_2r_rl_stop,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T12:49:03Z
alert_524ab2637858,nq_v2b_clean_break_bullish_2r_rl_stop,info,Cancelled order ord_5589a7ac9078,{},sent,2026-05-21T12:49:03Z
