fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_55d03a2b8a9c,ord_cc2c2c91dcd2,intent_aeddc9f45778,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100614_01,NQ,paper,buy,3,1865.0,2010-06-14T09:45:00-04:00,entry
fill_1efbe992cacd,ord_3635f21fc7c6,intent_b47fb025a57c,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100614_01,NQ,paper,sell,3,1864.0,2010-06-14T09:50:00-04:00,boundary_stop
fill_42eb8ad056c9,ord_edd734d1cf76,intent_3c321bce671e,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100615_01,NQ,paper,buy,3,1867.5,2010-06-15T09:45:00-04:00,entry
fill_a2dffe192bba,ord_49de3c9ee5d9,intent_9b957d9e7e30,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100615_01,NQ,paper,sell,3,1866.5,2010-06-15T10:00:00-04:00,boundary_stop
fill_90524713b2df,ord_d66f611879ad,intent_694bfb1e13f2,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100616_01,NQ,paper,buy,3,1898.25,2010-06-16T09:45:00-04:00,entry
fill_b74da6eda983,ord_fdb4100d68ed,intent_668cadc250f7,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100616_01,NQ,paper,sell,3,1897.25,2010-06-16T09:45:00-04:00,failed_clean_close
fill_8e5bfbbad815,ord_1e37ef960116,intent_9855da756621,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100622_01,NQ,paper,buy,3,1912.5,2010-06-22T09:45:00-04:00,entry
fill_effe3169cef3,ord_5e4677d1175f,intent_bbe84b445b31,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100622_01,NQ,paper,sell,3,1911.5,2010-06-22T09:50:00-04:00,boundary_stop
fill_7a55f521d1b4,ord_45e5808fb6c6,intent_76ec4872d19c,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100630_01,NQ,paper,buy,3,1770.0,2010-06-30T09:45:00-04:00,entry
fill_95e6b11eaccb,ord_449b77ea2d2c,intent_a2f23ef683f4,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100630_01,NQ,paper,sell,3,1769.0,2010-06-30T09:50:00-04:00,boundary_stop
fill_4d214a8ba1bb,ord_0b94a309952d,intent_e9d0f26eaadd,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100712_01,NQ,paper,buy,3,1826.25,2010-07-12T09:45:00-04:00,entry
fill_c735d6fb61c4,ord_caa4712c26c2,intent_501b01eebdf5,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100712_01,NQ,paper,sell,3,1825.25,2010-07-12T09:50:00-04:00,boundary_stop
fill_fbf3fd208d8b,ord_d6b3f8aa4e59,intent_1956763db7ff,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100719_01,NQ,paper,buy,3,1816.75,2010-07-19T09:45:00-04:00,entry
fill_985c3efb5473,ord_71653b337327,intent_86ffa082c66c,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100719_01,NQ,paper,sell,3,1815.75,2010-07-19T09:50:00-04:00,boundary_stop
fill_b1110616a01b,ord_43fd1fa0b713,intent_e9eb720ec23f,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100805_01,NQ,paper,buy,3,1905.75,2010-08-05T09:45:00-04:00,entry
fill_71eaaff8f6db,ord_1b359f748104,intent_d888963a4c7e,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100805_01,NQ,paper,sell,3,1904.5,2010-08-05T09:45:00-04:00,failed_clean_close
fill_65bb7b8cb658,ord_b65b4e68d2f8,intent_7f4b1b744b6f,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100812_01,NQ,paper,buy,3,1823.5,2010-08-12T09:45:00-04:00,entry
fill_5fcefd6d291b,ord_f2de71b60da5,intent_a5fb70f212c2,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100812_01,NQ,paper,sell,3,1822.5,2010-08-12T09:50:00-04:00,boundary_stop
fill_022f33089e8b,ord_fa1f5de6033d,intent_52450d35ab4b,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100816_01,NQ,paper,buy,3,1817.75,2010-08-16T09:45:00-04:00,entry
fill_84be15016fea,ord_c3f1af98eebf,intent_80127f2bdf25,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100816_01,NQ,paper,sell,3,1816.75,2010-08-16T09:50:00-04:00,boundary_stop
fill_ef77fe517c17,ord_def2974d0a4b,intent_825c02f5e935,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100823_01,NQ,paper,buy,3,1841.0,2010-08-23T09:45:00-04:00,entry
fill_c3027c627606,ord_34310a6a19c8,intent_32feac02721f,nq_v2b_clean_break_fourth_ladder3_runner,nq_v2b_clean_break_fourth_ladder3_runner_20100823_01,NQ,paper,sell,3,1840.0,2010-08-23T09:50:00-04:00,boundary_stop
