delay_seconds,classification,campaigns,net_usd,win_rate_pct,profit_factor
0.2,ambiguous_same_1m_bar,33,5.5,60.60606060606061,1.00109126984127
0.2,pre_arm_breakout_touch,123,16723.75,63.41463414634146,3.5923772985332016
0.2,safe,177,9324.375,57.06214689265536,1.394640778753571
0.5,ambiguous_same_1m_bar,33,5.5,60.60606060606061,1.00109126984127
0.5,pre_arm_breakout_touch,123,16723.75,63.41463414634146,3.5923772985332016
0.5,safe,177,9324.375,57.06214689265536,1.394640778753571
1.0,ambiguous_same_1m_bar,33,5.5,60.60606060606061,1.00109126984127
1.0,pre_arm_breakout_touch,123,16723.75,63.41463414634146,3.5923772985332016
1.0,safe,177,9324.375,57.06214689265536,1.394640778753571
5.0,ambiguous_same_1m_bar,33,5.5,60.60606060606061,1.00109126984127
5.0,pre_arm_breakout_touch,123,16723.75,63.41463414634146,3.5923772985332016
5.0,safe,177,9324.375,57.06214689265536,1.394640778753571
15.0,ambiguous_same_1m_bar,33,5.5,60.60606060606061,1.00109126984127
15.0,pre_arm_breakout_touch,123,16723.75,63.41463414634146,3.5923772985332016
15.0,safe,177,9324.375,57.06214689265536,1.394640778753571
