delay_seconds,classification,campaigns,net_usd,win_rate_pct,profit_factor
0.2,ambiguous_same_1m_bar,38,8050.0,63.1578947368421,1.1455893656463354
0.2,pre_arm_breakout_touch,122,205861.25,65.57377049180327,4.699546230568784
0.2,safe,187,106278.75,55.080213903743314,1.4251490119209538
0.5,ambiguous_same_1m_bar,38,8050.0,63.1578947368421,1.1455893656463354
0.5,pre_arm_breakout_touch,122,205861.25,65.57377049180327,4.699546230568784
0.5,safe,187,106278.75,55.080213903743314,1.4251490119209538
1.0,ambiguous_same_1m_bar,38,8050.0,63.1578947368421,1.1455893656463354
1.0,pre_arm_breakout_touch,122,205861.25,65.57377049180327,4.699546230568784
1.0,safe,187,106278.75,55.080213903743314,1.4251490119209538
5.0,ambiguous_same_1m_bar,38,8050.0,63.1578947368421,1.1455893656463354
5.0,pre_arm_breakout_touch,122,205861.25,65.57377049180327,4.699546230568784
5.0,safe,187,106278.75,55.080213903743314,1.4251490119209538
15.0,ambiguous_same_1m_bar,38,8050.0,63.1578947368421,1.1455893656463354
15.0,pre_arm_breakout_touch,122,205861.25,65.57377049180327,4.699546230568784
15.0,safe,187,106278.75,55.080213903743314,1.4251490119209538
