fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_9aa6a6ac2af6,ord_6fd6068269d4,intent_98cd8e4729b5,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210304_01,ES,paper,sell,4,3813.25,2021-03-04T09:48:00-05:00,entry
fill_c9dd5dbcccb0,ord_3badceefa78b,intent_24cef416f6c6,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210304_01,ES,paper,buy,2,3791.75,2021-03-04T10:11:00-05:00,tp1
fill_b3dadd84bbc4,ord_d83000a8f1c4,intent_175d279a3a7d,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210304_01,ES,paper,buy,2,3813.75,2021-03-04T10:37:00-05:00,runner_stop
fill_20652bc35553,ord_36ab02ff5725,intent_cebaaed8dc4c,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210304_02,ES,paper,buy,4,3836.25,2021-03-04T11:41:00-05:00,entry
fill_0df44742ceac,ord_36b019faa37f,intent_364cca4d2561,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210304_02,ES,paper,sell,4,3813.5,2021-03-04T12:21:00-05:00,wide_stop
fill_6a65cac0e6bd,ord_aa0b0de117e7,intent_e603dd973a0f,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210305_01,ES,paper,sell,4,3778.75,2021-03-05T09:49:00-05:00,entry
fill_3788d15ce6bb,ord_830165ab2317,intent_c4984e156de5,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210305_01,ES,paper,buy,2,3750.5,2021-03-05T11:00:00-05:00,tp1
fill_8a1a5c4de477,ord_1528a90951ca,intent_c481fa667b01,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210305_01,ES,paper,buy,2,3779.25,2021-03-05T12:24:00-05:00,runner_stop
fill_75fa793e399f,ord_7ee99270b20f,intent_007bac21a2dd,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210305_02,ES,paper,buy,4,3808.5,2021-03-05T13:22:00-05:00,entry
fill_b8e05a4029d0,ord_ea2601ec2ab3,intent_4babded62206,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210305_02,ES,paper,sell,2,3836.75,2021-03-05T15:00:00-05:00,tp1
fill_c28b9e22dab8,ord_770bf5537e67,intent_bbca60ba62e9,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210305_02,ES,paper,sell,2,3837.75,2021-03-05T15:59:00-05:00,eod_close
fill_f0c423be5f97,ord_ab7c005d7277,intent_32ee8a7538a0,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210308_01,ES,paper,buy,4,3861.5,2021-03-08T09:45:00-05:00,entry
fill_2ee70738896c,ord_e8c7515c3012,intent_51f8165a0f01,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210308_01,ES,paper,sell,4,3829.25,2021-03-08T15:55:00-05:00,wide_stop
fill_623ada9e32d6,ord_869bacdcde64,intent_8a03f0bcc8d9,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210308_02,ES,paper,sell,4,3825.25,2021-03-08T15:56:00-05:00,entry
fill_6a3fa6878d6b,ord_cc29a78cc725,intent_a7774eff126a,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210308_02,ES,paper,buy,4,3820.0,2021-03-08T15:59:00-05:00,eod_close
fill_394db2bf3b6e,ord_88a4e31a53bf,intent_06f864d5a051,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210309_01,ES,paper,buy,4,3866.5,2021-03-09T09:45:00-05:00,entry
fill_1acdf5c2e37b,ord_b1abcc00caf2,intent_716d7a9bec51,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210309_01,ES,paper,sell,2,3876.75,2021-03-09T09:58:00-05:00,tp1
fill_6a2ed8aea39f,ord_a84fbe552cc0,intent_dbf028cb30f1,es_v2b_sizing_S_2_2_0,es_v2b_sizing_S_2_2_0_20210309_01,ES,paper,sell,2,3887.5,2021-03-09T10:27:00-05:00,tp2
