broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_84e2845171ae,intent_bdd804de5e1a,es_v2b_sizing_S_4_1_1,es_v2b_sizing_S_4_1_1_20210304_01,ES,paper,buy,stop,6,6,cancelled,,3836.0,false,entry,,es_v2b_sizing_S_4_1_1_20210304_01_entry_oco,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-22T14:05:47Z,2026-05-22T14:05:47Z
ord_7a3c66ef5557,intent_36779a3baa53,es_v2b_sizing_S_4_1_1,es_v2b_sizing_S_4_1_1_20210304_01,ES,paper,sell,stop,6,0,filled,,3813.5,false,entry,,es_v2b_sizing_S_4_1_1_20210304_01_entry_oco,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-22T14:05:47Z,2026-05-22T14:05:47Z
ord_d25cb07a5227,intent_95a73961915b,es_v2b_sizing_S_4_1_1,es_v2b_sizing_S_4_1_1_20210304_01,ES,paper,buy,stop,6,6,cancelled,,3835.75,true,wide_stop,,,,2021-03-04T15:59:00,2026-05-22T14:05:47Z,2026-05-22T14:05:47Z
ord_e53360384a69,intent_8284a49fe7d9,es_v2b_sizing_S_4_1_1,es_v2b_sizing_S_4_1_1_20210304_01,ES,paper,buy,limit,4,0,filled,3791.75,,true,tp1,,,,2021-03-04T15:59:00,2026-05-22T14:05:47Z,2026-05-22T14:05:47Z
ord_5d89b1db9371,intent_ff27819970ac,es_v2b_sizing_S_4_1_1,es_v2b_sizing_S_4_1_1_20210304_01,ES,paper,buy,limit,1,1,cancelled,3769.75,,true,tp2,,,,2021-03-04T15:59:00,2026-05-22T14:05:47Z,2026-05-22T14:05:47Z
ord_fd090211cf95,intent_63ea8bb42a31,es_v2b_sizing_S_4_1_1,es_v2b_sizing_S_4_1_1_20210304_01,ES,paper,buy,stop,2,0,filled,,3813.5,true,runner_stop,,,,2021-03-04T15:59:00,2026-05-22T14:05:47Z,2026-05-22T14:05:47Z
ord_acaefbfd8200,intent_0e654d9f96ad,es_v2b_sizing_S_4_1_1,es_v2b_sizing_S_4_1_1_20210304_01,ES,paper,buy,limit,1,1,cancelled,3769.75,,true,tp2,,,,2021-03-04T15:59:00,2026-05-22T14:05:47Z,2026-05-22T14:05:47Z
ord_686c35ab3268,intent_f3a29dba57a5,es_v2b_sizing_S_4_1_1,es_v2b_sizing_S_4_1_1_20210304_02,ES,paper,buy,stop,6,0,filled,,3836.0,false,entry,,,2021-03-04T10:37:00-05:00,2021-03-04T15:59:00,2026-05-22T14:05:47Z,2026-05-22T14:05:47Z
ord_6ee908e03d9e,intent_c6da79b2bc04,es_v2b_sizing_S_4_1_1,es_v2b_sizing_S_4_1_1_20210304_02,ES,paper,sell,stop,6,0,filled,,3813.75,true,wide_stop,,,,2021-03-04T15:59:00,2026-05-22T14:05:47Z,2026-05-22T14:05:47Z
ord_4a20901da7b0,intent_f72f007e4a38,es_v2b_sizing_S_4_1_1,es_v2b_sizing_S_4_1_1_20210304_02,ES,paper,sell,limit,4,4,cancelled,3857.75,,true,tp1,,,,2021-03-04T15:59:00,2026-05-22T14:05:47Z,2026-05-22T14:05:47Z
