intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_79fca0423823,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210304_01,MES,paper,buy,stop,5,,3836.0,v2b_long_entry,submitted,true,verify_54d65673ac67,,false,entry,,,mes_v2b_sizing_S_2_1_2_20210304_01_entry_oco,GTC,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_7fe8a747da39,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210304_01,MES,paper,sell,stop,5,,3813.5,v2b_short_entry,submitted,true,verify_f3e29f2c0d75,,false,entry,,,mes_v2b_sizing_S_2_1_2_20210304_01_entry_oco,GTC,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_ed2d0cda3acb,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210304_01,MES,paper,buy,stop,5,,3835.75,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_c5938bb9f195,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210304_01,MES,paper,buy,limit,2,3791.75,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-04T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_832b35f3a0d5,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210304_01,MES,paper,buy,limit,1,3769.75,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_4f3ba8611528,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210304_01,MES,paper,buy,stop,3,,3813.5,v2b_runner_stop,submitted,false,,,true,runner_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_a790f5402bdc,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210304_01,MES,paper,buy,limit,1,3769.75,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_f59774c94ff3,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210304_02,MES,paper,buy,stop,5,,3836.0,v2b_long_entry,submitted,true,verify_1099cbf1112b,,false,entry,,,,GTC,2021-03-04T10:37:00-05:00,2021-03-04T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_6cc4740c0210,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210304_02,MES,paper,sell,stop,5,,3813.75,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_05dd32f0f13e,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210304_02,MES,paper,sell,limit,2,3857.75,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-04T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_0f933501c83b,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210304_02,MES,paper,sell,limit,1,3879.75,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_1f7e107cb609,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_01,MES,paper,buy,stop,5,,3808.25,v2b_long_entry,submitted,true,verify_b4ab801f7064,,false,entry,,,mes_v2b_sizing_S_2_1_2_20210305_01_entry_oco,GTC,2021-03-05T09:44:00-05:00,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_a392e7e8144d,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_01,MES,paper,sell,stop,5,,3779.0,v2b_short_entry,submitted,true,verify_0b6ea4ce9664,,false,entry,,,mes_v2b_sizing_S_2_1_2_20210305_01_entry_oco,GTC,2021-03-05T09:44:00-05:00,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_66f46635e270,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_01,MES,paper,buy,stop,5,,3808.0,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_a80ae2dfaeac,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_01,MES,paper,buy,limit,2,3750.5,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_f71785ba80fe,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_01,MES,paper,buy,limit,1,3721.75,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_be6343817af2,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_01,MES,paper,buy,stop,3,,3779.0,v2b_runner_stop,submitted,false,,,true,runner_stop,,,,GTC,,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_869da44eb4a3,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_01,MES,paper,buy,limit,1,3721.75,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_0e0e17fb03dc,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_02,MES,paper,buy,stop,5,,3808.25,v2b_long_entry,submitted,true,verify_665309a6d8d2,,false,entry,,,,GTC,2021-03-05T12:24:00-05:00,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_72a6306f79fb,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_02,MES,paper,sell,stop,5,,3779.25,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_102fb6dcdfcd,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_02,MES,paper,sell,limit,2,3836.75,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_2e8eb2559d90,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_02,MES,paper,sell,limit,1,3865.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_38186b535fdc,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_02,MES,paper,sell,stop,3,,3808.25,v2b_runner_stop,submitted,false,,,true,runner_stop,,,,GTC,,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
intent_b3c9fd8c95cd,mes_v2b_sizing_S_2_1_2,mes_v2b_sizing_S_2_1_2_20210305_02,MES,paper,sell,limit,1,3865.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-05T15:59:00,2026-05-22T17:50:06Z,2026-05-22T17:50:06Z
