broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_4d8bf550ce2b,intent_22204f055fb9,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210304_01,MES,paper,buy,stop,5,5,cancelled,,3836.0,false,entry,,mes_v2b_sizing_S_3_1_1_20210304_01_entry_oco,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_52ea0806d1b8,intent_aca1279b0a1d,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210304_01,MES,paper,sell,stop,5,0,filled,,3813.5,false,entry,,mes_v2b_sizing_S_3_1_1_20210304_01_entry_oco,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_273229cc9128,intent_e57bff61b27b,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210304_01,MES,paper,buy,stop,5,5,cancelled,,3835.75,true,wide_stop,,,,2021-03-04T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_7a6cd95e9679,intent_0cf8d73236f9,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210304_01,MES,paper,buy,limit,3,0,filled,3791.75,,true,tp1,,,,2021-03-04T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_3489a6361e6c,intent_f7c84486cd01,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210304_01,MES,paper,buy,limit,1,1,cancelled,3769.75,,true,tp2,,,,2021-03-04T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_e265e58b93ab,intent_8f3c834c139b,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210304_01,MES,paper,buy,stop,2,0,filled,,3813.5,true,runner_stop,,,,2021-03-04T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_a894eae84923,intent_aadfaa1166ec,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210304_01,MES,paper,buy,limit,1,1,cancelled,3769.75,,true,tp2,,,,2021-03-04T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_dc0909c1be0c,intent_52c15801c932,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210304_02,MES,paper,buy,stop,5,0,filled,,3836.0,false,entry,,,2021-03-04T10:37:00-05:00,2021-03-04T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_7004e1604e7a,intent_f0a490d37094,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210304_02,MES,paper,sell,stop,5,0,filled,,3813.75,true,wide_stop,,,,2021-03-04T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_db66c5fc3230,intent_e1a3fa7e0526,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210304_02,MES,paper,sell,limit,3,3,cancelled,3857.75,,true,tp1,,,,2021-03-04T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_48b7c0617037,intent_fc3169becfdf,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210304_02,MES,paper,sell,limit,1,1,cancelled,3879.75,,true,tp2,,,,2021-03-04T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_c671fe3c0253,intent_a1495da63242,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210305_01,MES,paper,buy,stop,5,5,cancelled,,3808.25,false,entry,,mes_v2b_sizing_S_3_1_1_20210305_01_entry_oco,2021-03-05T09:44:00-05:00,2021-03-05T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_9cfc03f39992,intent_7053d37c157f,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210305_01,MES,paper,sell,stop,5,0,filled,,3779.0,false,entry,,mes_v2b_sizing_S_3_1_1_20210305_01_entry_oco,2021-03-05T09:44:00-05:00,2021-03-05T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
ord_18be2014f217,intent_b3ac9a15be08,mes_v2b_sizing_S_3_1_1,mes_v2b_sizing_S_3_1_1_20210305_01,MES,paper,buy,stop,5,5,cancelled,,3808.0,true,wide_stop,,,,2021-03-05T15:59:00,2026-05-22T17:34:06Z,2026-05-22T17:34:06Z
