verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_25dc02cb1c48,intent_069af7d43c42,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-d43c42,2026-05-22T17:13:04Z,2026-05-22T17:13:04Z
verify_f77064745ae5,intent_c4f313572641,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-572641,2026-05-22T17:13:04Z,2026-05-22T17:13:04Z
verify_845a188b7c81,intent_dca19293ee70,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-93ee70,2026-05-22T17:13:04Z,2026-05-22T17:13:04Z
verify_ce505a4c0c7a,intent_dd35e22d330d,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-2d330d,2026-05-22T17:13:04Z,2026-05-22T17:13:04Z
verify_24e9cc62263a,intent_5dbc20b749c0,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-b749c0,2026-05-22T17:13:04Z,2026-05-22T17:13:04Z
verify_74357b908176,intent_a35748571b42,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-571b42,2026-05-22T17:13:04Z,2026-05-22T17:13:04Z
verify_b11ac3c2a4bd,intent_88f809552f42,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-552f42,2026-05-22T17:13:05Z,2026-05-22T17:13:05Z
verify_9fb948099be7,intent_7cede5493e81,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-493e81,2026-05-22T17:13:05Z,2026-05-22T17:13:05Z
verify_9eb4f360510b,intent_55af5944ff31,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-44ff31,2026-05-22T17:13:05Z,2026-05-22T17:13:05Z
verify_8daf627ac817,intent_d33f53ffe57a,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-ffe57a,2026-05-22T17:13:05Z,2026-05-22T17:13:05Z
verify_3d51ee36b93b,intent_995b891982d0,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-1982d0,2026-05-22T17:13:05Z,2026-05-22T17:13:05Z
verify_53f1a2af971f,intent_1d47d78bd9f1,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-8bd9f1,2026-05-22T17:13:05Z,2026-05-22T17:13:05Z
verify_1c31b6a234e9,intent_d2d901a647a2,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-a647a2,2026-05-22T17:13:05Z,2026-05-22T17:13:05Z
verify_4dedffacda50,intent_fa7627f6c004,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-f6c004,2026-05-22T17:13:05Z,2026-05-22T17:13:05Z
verify_8b14bf0ef7b7,intent_cc4875d06e93,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-d06e93,2026-05-22T17:13:05Z,2026-05-22T17:13:05Z
verify_9f19f2f48a5d,intent_fe57a32d9ba8,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-2d9ba8,2026-05-22T17:13:05Z,2026-05-22T17:13:05Z
verify_446e044793d9,intent_a248fb18aed7,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-18aed7,2026-05-22T17:13:05Z,2026-05-22T17:13:05Z
verify_a15817d31c94,intent_c38a8195cd89,mes_v2b_sizing_S_4_2_1,paper,approved,SPOOF-95cd89,2026-05-22T17:13:05Z,2026-05-22T17:13:05Z
