fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_77bd76e5d767,ord_803ca25d2b1b,intent_06b1897e4bfc,mnq_v2b_sizing_S_1_1_1,mnq_v2b_sizing_S_1_1_1_20210304_01,MNQ,paper,sell,3,12649.0,2021-03-04T09:47:00-05:00,entry
fill_6be852887429,ord_602ceb8ec24f,intent_5d9821ec1cf1,mnq_v2b_sizing_S_1_1_1,mnq_v2b_sizing_S_1_1_1_20210304_01,MNQ,paper,buy,1,12534.0,2021-03-04T10:07:00-05:00,tp1
fill_7daf53bac24f,ord_c8a6288711ab,intent_affc6794a192,mnq_v2b_sizing_S_1_1_1,mnq_v2b_sizing_S_1_1_1_20210304_01,MNQ,paper,buy,2,12649.5,2021-03-04T10:35:00-05:00,runner_stop
fill_3345dfbdfc41,ord_a9c1b7fe78dd,intent_a48dc540cd14,mnq_v2b_sizing_S_1_1_1,mnq_v2b_sizing_S_1_1_1_20210304_02,MNQ,paper,buy,3,12765.5,2021-03-04T11:02:00-05:00,entry
fill_34bab5a5f0d1,ord_eb199eb2c54a,intent_2a29da4c3d24,mnq_v2b_sizing_S_1_1_1,mnq_v2b_sizing_S_1_1_1_20210304_02,MNQ,paper,sell,3,12649.25,2021-03-04T12:21:00-05:00,wide_stop
fill_17614a05d59e,ord_fc5551603127,intent_4d5f3dab6295,mnq_v2b_sizing_S_1_1_1,mnq_v2b_sizing_S_1_1_1_20210305_01,MNQ,paper,sell,3,12445.75,2021-03-05T09:49:00-05:00,entry
fill_76c07ce0e44d,ord_0ce678d78727,intent_cda67ab38fc6,mnq_v2b_sizing_S_1_1_1,mnq_v2b_sizing_S_1_1_1_20210305_01,MNQ,paper,buy,1,12286.5,2021-03-05T11:12:00-05:00,tp1
fill_b4b894f4db49,ord_88d55ef9cd78,intent_a395d564f8e7,mnq_v2b_sizing_S_1_1_1,mnq_v2b_sizing_S_1_1_1_20210305_01,MNQ,paper,buy,2,12446.25,2021-03-05T12:28:00-05:00,runner_stop
fill_3329f9059297,ord_35a90e8f5f1f,intent_1a90411a8e6e,mnq_v2b_sizing_S_1_1_1,mnq_v2b_sizing_S_1_1_1_20210305_02,MNQ,paper,buy,3,12606.5,2021-03-05T13:37:00-05:00,entry
fill_eb37d065c82b,ord_2841cba045c0,intent_4a1f23101627,mnq_v2b_sizing_S_1_1_1,mnq_v2b_sizing_S_1_1_1_20210305_02,MNQ,paper,sell,3,12661.25,2021-03-05T15:59:00-05:00,eod_close
