verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_f7421f1db178,intent_c809cce5d889,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-e5d889,2026-05-21T22:39:28Z,2026-05-21T22:39:28Z
verify_54d297628be4,intent_df1774527d5b,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-527d5b,2026-05-21T22:39:28Z,2026-05-21T22:39:28Z
verify_de1fbf9299a7,intent_b2c86a40c7b3,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-40c7b3,2026-05-21T22:39:28Z,2026-05-21T22:39:28Z
verify_7de379eb4bf7,intent_c3fa6b614810,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-614810,2026-05-21T22:39:28Z,2026-05-21T22:39:28Z
verify_cf256f85b8f7,intent_68ff606ec99f,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-6ec99f,2026-05-21T22:39:28Z,2026-05-21T22:39:28Z
verify_26783a52213d,intent_9f464129931e,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-29931e,2026-05-21T22:39:28Z,2026-05-21T22:39:28Z
verify_3cb2d0388562,intent_6a5bc61f0b92,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-1f0b92,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_7b9c0df104d2,intent_9565bee95e94,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-e95e94,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_c47615b8e531,intent_170fe7a2cf9d,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-a2cf9d,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_4828905a8a66,intent_1f3adcde8b3a,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-de8b3a,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_5f548b213fa4,intent_f4a287bb8a2a,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-bb8a2a,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_4773172f019c,intent_578c333b1535,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-3b1535,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_ed4d4728a15a,intent_664b2c27e449,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-27e449,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_6c48ae4d103f,intent_a847f96bf098,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-6bf098,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_b014c6d07bd4,intent_12f981b53026,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-b53026,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_3788c6fab6c2,intent_7019edbab4f2,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-bab4f2,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_e75184ce60f4,intent_189d488f2d28,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-8f2d28,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_bcf9f4004133,intent_23bba6a7bff7,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-a7bff7,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_c428bb8c4173,intent_7f6a0dad82de,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-ad82de,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_679abeda6503,intent_d3beacf04dbf,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-f04dbf,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_03950fdec90e,intent_fef556d6ed2a,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-d6ed2a,2026-05-21T22:39:29Z,2026-05-21T22:39:29Z
verify_b5fed2ddea40,intent_3ca4d52c80c9,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-2c80c9,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_bcb30cdb2bc7,intent_6a3e26825a24,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-825a24,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_8a0b3d4c27ff,intent_4096623673f6,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-3673f6,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_b6a3ecf384a0,intent_8e46746f5ff1,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-6f5ff1,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_d23c515ed5c9,intent_301b224618c2,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-4618c2,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_f69e7da203ba,intent_3223448abec5,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-8abec5,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_96e4c425f91e,intent_8c7fe9e78ed8,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-e78ed8,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_70be1778edb1,intent_2550e5748407,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-748407,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_13b9fce931d9,intent_d6ae37cbe0a2,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-cbe0a2,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_4c33c8558e1f,intent_1551549d4fa1,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-9d4fa1,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_b5469ac27f57,intent_a7543b6c8e39,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-6c8e39,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_ade75ba56e99,intent_8e122235831d,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-35831d,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_3a3e25c5b1a2,intent_4acab880e4c8,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-80e4c8,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_9a5709acff30,intent_9813bc585fb7,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-585fb7,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_ac7e309ba3b0,intent_dc743b423604,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-423604,2026-05-21T22:39:30Z,2026-05-21T22:39:30Z
verify_d778248b44a7,intent_96ef7a4f5b3f,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-4f5b3f,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_1a555050e4f6,intent_35de2838baa6,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-38baa6,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_3fed1b3b230b,intent_8f5cf4ad9e34,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-ad9e34,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_b71fa349b028,intent_72099b922637,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-922637,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_82a494ee6907,intent_6f2a4ad01378,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-d01378,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_91ceb4302e2b,intent_8e0f48fc1368,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-fc1368,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_c050ec71963f,intent_0a617cb57a5b,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-b57a5b,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_f577190fd9d5,intent_196bab399a64,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-399a64,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_13e7ca4a5fd4,intent_384820c960a1,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-c960a1,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_47e4bfe2fc21,intent_d13585c5d876,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-c5d876,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_2384a375832d,intent_ff0a717ec5ad,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-7ec5ad,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_fc0d5c846c69,intent_886467b27a70,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-b27a70,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_c708b38e8cfe,intent_5047ff90b9f0,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-90b9f0,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_b3cec60d9b88,intent_acc008751f8d,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-751f8d,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_3e58ff2b6b1d,intent_14c5d4849e0c,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-849e0c,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_8b700d1c2881,intent_538da5214012,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-214012,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
verify_66950bbac56f,intent_9da330113343,mnq_v2b_sizing_S_2_2_0,paper,approved,SPOOF-113343,2026-05-21T22:39:31Z,2026-05-21T22:39:31Z
