intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_1d506e960d90,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210304_01,MNQ,paper,buy,stop,6,,12765.25,v2b_long_entry,submitted,true,verify_f7d7c91968a0,,false,entry,,,mnq_v2b_sizing_S_2_2_2_20210304_01_entry_oco,GTC,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_33d3e6e487a7,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210304_01,MNQ,paper,sell,stop,6,,12649.25,v2b_short_entry,submitted,true,verify_ce894abffd71,,false,entry,,,mnq_v2b_sizing_S_2_2_2_20210304_01_entry_oco,GTC,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_127149cdef75,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210304_01,MNQ,paper,buy,stop,6,,12765.0,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_1708d4c45038,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210304_01,MNQ,paper,buy,limit,2,12534.0,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-04T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_a5350c85cb70,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210304_01,MNQ,paper,buy,limit,2,12418.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_6281aa7742ad,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210304_01,MNQ,paper,buy,stop,4,,12649.25,v2b_runner_stop,submitted,false,,,true,runner_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_c8b76ed5e76f,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210304_01,MNQ,paper,buy,limit,2,12418.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_cc80d63d2dd0,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210304_02,MNQ,paper,buy,stop,6,,12765.25,v2b_long_entry,submitted,true,verify_1cc40b9ca45b,,false,entry,,,,GTC,2021-03-04T10:35:00-05:00,2021-03-04T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_dd463946c1bf,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210304_02,MNQ,paper,sell,stop,6,,12649.5,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_d585f8a20bfc,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210304_02,MNQ,paper,sell,limit,2,12880.5,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-04T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_e4a02fb23b0c,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210304_02,MNQ,paper,sell,limit,2,12996.0,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_83a8dd904ca8,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210305_01,MNQ,paper,buy,stop,6,,12606.25,v2b_long_entry,submitted,true,verify_b3ce0786102f,,false,entry,,,mnq_v2b_sizing_S_2_2_2_20210305_01_entry_oco,GTC,2021-03-05T09:44:00-05:00,2021-03-05T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_141c29afa41c,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210305_01,MNQ,paper,sell,stop,6,,12446.0,v2b_short_entry,submitted,true,verify_4d428856191f,,false,entry,,,mnq_v2b_sizing_S_2_2_2_20210305_01_entry_oco,GTC,2021-03-05T09:44:00-05:00,2021-03-05T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_29e3d3f3c5d6,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210305_01,MNQ,paper,buy,stop,6,,12606.0,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-05T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_0e145cff8429,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210305_01,MNQ,paper,buy,limit,2,12286.5,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-05T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_db3513b7c4a3,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210305_01,MNQ,paper,buy,limit,2,12126.75,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-05T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_634dc4371dc4,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210305_01,MNQ,paper,buy,stop,4,,12446.0,v2b_runner_stop,submitted,false,,,true,runner_stop,,,,GTC,,2021-03-05T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_4dcd98488279,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210305_01,MNQ,paper,buy,limit,2,12126.75,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-05T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_f3a703676d39,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210305_02,MNQ,paper,buy,stop,6,,12606.25,v2b_long_entry,submitted,true,verify_8cf1625e0cb5,,false,entry,,,,GTC,2021-03-05T12:28:00-05:00,2021-03-05T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_aece290fb98a,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210305_02,MNQ,paper,sell,stop,6,,12446.25,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-05T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_c5d1940a612d,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210305_02,MNQ,paper,sell,limit,2,12765.75,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-05T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_4144a0af8aac,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210305_02,MNQ,paper,sell,limit,2,12925.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-05T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_58b8769d0917,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210305_02,MNQ,paper,sell,market_close,6,,,eod_close,submitted,false,,,true,eod_close,,,,GTC,2021-03-05T15:59:00-05:00,,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_d601d994c6d9,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210308_01,MNQ,paper,buy,stop,6,,12686.25,v2b_long_entry,submitted,true,verify_8d37d4edf174,,false,entry,,,mnq_v2b_sizing_S_2_2_2_20210308_01_entry_oco,GTC,2021-03-08T09:44:00-05:00,2021-03-08T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_966912b290f8,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210308_01,MNQ,paper,sell,stop,6,,12526.25,v2b_short_entry,submitted,true,verify_30d16f5dc53f,,false,entry,,,mnq_v2b_sizing_S_2_2_2_20210308_01_entry_oco,GTC,2021-03-08T09:44:00-05:00,2021-03-08T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_025f8a607ac5,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210308_01,MNQ,paper,sell,stop,6,,12526.5,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-08T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_f15e7d479e3a,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210308_01,MNQ,paper,sell,limit,2,12845.5,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-08T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_420e98578403,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210308_01,MNQ,paper,sell,limit,2,13005.0,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-08T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_d6ad9aa0e514,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210308_02,MNQ,paper,sell,stop,6,,12526.25,v2b_short_entry,submitted,true,verify_d5a10a1db5ce,,false,entry,,,,GTC,2021-03-08T11:50:00-05:00,2021-03-08T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_7ddd765abc78,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210308_02,MNQ,paper,buy,stop,6,,12686.0,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-08T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_005758d6f9ae,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210308_02,MNQ,paper,buy,limit,2,12367.0,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-08T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_0c0039e6f4ad,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210308_02,MNQ,paper,buy,limit,2,12207.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-08T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_a3f1334b8657,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210308_02,MNQ,paper,buy,stop,4,,12526.25,v2b_runner_stop,submitted,false,,,true,runner_stop,,,,GTC,,2021-03-08T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_845c250f32cb,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210308_02,MNQ,paper,buy,limit,2,12207.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-08T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_4e21774971d3,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210308_02,MNQ,paper,buy,market_close,4,,,eod_close,submitted,false,,,true,eod_close,,,,GTC,2021-03-08T15:59:00-05:00,,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_07dc4dea93ef,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210309_01,MNQ,paper,buy,stop,6,,12652.5,v2b_long_entry,submitted,true,verify_d82ab0ad7564,,false,entry,,,mnq_v2b_sizing_S_2_2_2_20210309_01_entry_oco,GTC,2021-03-09T09:44:00-05:00,2021-03-09T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
intent_afcf2e415384,mnq_v2b_sizing_S_2_2_2,mnq_v2b_sizing_S_2_2_2_20210309_01,MNQ,paper,sell,stop,6,,12586.75,v2b_short_entry,submitted,true,verify_a3cec146d99e,,false,entry,,,mnq_v2b_sizing_S_2_2_2_20210309_01_entry_oco,GTC,2021-03-09T09:44:00-05:00,2021-03-09T15:59:00,2026-05-21T23:00:40Z,2026-05-21T23:00:40Z
