alert_id,strategy_id,level,message,payload_json,status,created_at
alert_24f5a3edd5c1,mnq_v2b_sizing_S_5_2_1,info,v2b opening range armed,{},sent,2026-05-21T23:42:52Z
alert_2d77b87e7fff,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_be0549c65bb2,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_250a27f84722,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_314ca49cc52c,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 5 MNQ,{},sent,2026-05-21T23:42:52Z
alert_1d8f0153ebf4,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 2 MNQ,{},sent,2026-05-21T23:42:52Z
alert_ef10afef84d7,mnq_v2b_sizing_S_5_2_1,info,Cancelled order ord_79341aed73b1,{},sent,2026-05-21T23:42:52Z
alert_2695694b51a1,mnq_v2b_sizing_S_5_2_1,info,Cancelled order ord_ef1cd1b3758f,{},sent,2026-05-21T23:42:52Z
alert_b607db514bc5,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-21T23:42:52Z
alert_d585ad7755e3,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 2 MNQ,{},sent,2026-05-21T23:42:52Z
alert_a3561c8eda66,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_d142103b1044,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_43bf2dd624aa,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 5 MNQ,{},sent,2026-05-21T23:42:52Z
alert_5e54dc493f07,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 2 MNQ,{},sent,2026-05-21T23:42:52Z
alert_61de13c373bb,mnq_v2b_sizing_S_5_2_1,info,v2b opening range armed,{},sent,2026-05-21T23:42:52Z
alert_eb87171c755b,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_609a011e7b38,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_620215e8fee3,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_ee5348a2ba2c,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 5 MNQ,{},sent,2026-05-21T23:42:52Z
alert_2b07410f21b5,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 2 MNQ,{},sent,2026-05-21T23:42:52Z
alert_08ad0f505d22,mnq_v2b_sizing_S_5_2_1,info,Cancelled order ord_d69ead41d784,{},sent,2026-05-21T23:42:52Z
alert_08cf9e011411,mnq_v2b_sizing_S_5_2_1,info,Cancelled order ord_d2ab26499792,{},sent,2026-05-21T23:42:52Z
alert_b75b716c844e,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-21T23:42:52Z
alert_ead32da94ea2,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 2 MNQ,{},sent,2026-05-21T23:42:52Z
alert_2f3e11709468,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_7f1dc0666b49,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_260b3e9514a9,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 5 MNQ,{},sent,2026-05-21T23:42:52Z
alert_402a07b9526f,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 2 MNQ,{},sent,2026-05-21T23:42:52Z
alert_5db527c13614,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_fa6972e1c734,mnq_v2b_sizing_S_5_2_1,info,v2b opening range armed,{},sent,2026-05-21T23:42:52Z
alert_03705b8ddb7b,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_99d8d02afc11,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_e33b3e6a3bcd,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_ef508d654c27,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 5 MNQ,{},sent,2026-05-21T23:42:52Z
alert_0f511be48e7f,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 2 MNQ,{},sent,2026-05-21T23:42:52Z
alert_0320f092de8a,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_c088ecf560ed,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_8d4c18feafbe,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 5 MNQ,{},sent,2026-05-21T23:42:52Z
alert_daa5a4312bf4,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 2 MNQ,{},sent,2026-05-21T23:42:52Z
alert_e6c5cb1ffcf3,mnq_v2b_sizing_S_5_2_1,info,Cancelled order ord_faebc0059296,{},sent,2026-05-21T23:42:52Z
alert_7e6f8e259af2,mnq_v2b_sizing_S_5_2_1,info,Cancelled order ord_7db8c1e9a1ba,{},sent,2026-05-21T23:42:52Z
alert_61a3e08235c4,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-21T23:42:52Z
alert_a6f1d5e216d6,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 2 MNQ,{},sent,2026-05-21T23:42:52Z
alert_bb624bdcfff1,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-21T23:42:52Z
alert_d5b7fb24117d,mnq_v2b_sizing_S_5_2_1,info,v2b opening range armed,{},sent,2026-05-21T23:42:52Z
alert_d2b436848733,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted buy 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_ad82691f9a13,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_3a111aff8f24,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 8 MNQ,{},sent,2026-05-21T23:42:52Z
alert_19f6ab845332,mnq_v2b_sizing_S_5_2_1,order_submitted,Submitted sell 5 MNQ,{},sent,2026-05-21T23:42:52Z
