broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_843b447a18d4,intent_94af1f734d51,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210304_01,NQ,paper,buy,stop,5,5,cancelled,,12765.25,false,entry,,nq_v2b_sizing_S_1_1_3_20210304_01_entry_oco,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_607340a1c20e,intent_5b6679cea2bd,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210304_01,NQ,paper,sell,stop,5,0,filled,,12649.0,false,entry,,nq_v2b_sizing_S_1_1_3_20210304_01_entry_oco,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_d2e41af109f0,intent_78b6c3a095ab,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210304_01,NQ,paper,buy,stop,5,5,cancelled,,12765.0,true,wide_stop,,,,2021-03-04T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_d6d58e6c08fb,intent_6350a42a3842,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210304_01,NQ,paper,buy,limit,1,0,filled,12533.5,,true,tp1,,,,2021-03-04T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_9c7f67a11a95,intent_6947fd747117,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210304_01,NQ,paper,buy,limit,1,1,cancelled,12417.75,,true,tp2,,,,2021-03-04T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_b6d9827c870c,intent_39e279c3d798,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210304_01,NQ,paper,buy,stop,4,0,filled,,12649.0,true,runner_stop,,,,2021-03-04T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_b0cb20ea383c,intent_b599c4684664,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210304_01,NQ,paper,buy,limit,1,1,cancelled,12417.75,,true,tp2,,,,2021-03-04T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_2a7413b0c636,intent_29c73ee687b2,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210304_02,NQ,paper,buy,stop,5,0,filled,,12765.25,false,entry,,,2021-03-04T10:35:00-05:00,2021-03-04T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_e2c929628279,intent_159ba757ab94,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210304_02,NQ,paper,sell,stop,5,0,filled,,12649.25,true,wide_stop,,,,2021-03-04T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_11ebfac413b8,intent_7cdbe20ea629,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210304_02,NQ,paper,sell,limit,1,1,cancelled,12880.75,,true,tp1,,,,2021-03-04T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_4acc76e97dd3,intent_cb18afdd9fd7,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210304_02,NQ,paper,sell,limit,1,1,cancelled,12996.5,,true,tp2,,,,2021-03-04T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_520cc3dbc161,intent_6343c3cf0d44,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210305_01,NQ,paper,buy,stop,5,5,cancelled,,12606.25,false,entry,,nq_v2b_sizing_S_1_1_3_20210305_01_entry_oco,2021-03-05T09:44:00-05:00,2021-03-05T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_86052c66ed3e,intent_7a6d15b11d33,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210305_01,NQ,paper,sell,stop,5,0,filled,,12446.25,false,entry,,nq_v2b_sizing_S_1_1_3_20210305_01_entry_oco,2021-03-05T09:44:00-05:00,2021-03-05T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_b8946a90ece5,intent_7897af9912f8,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210305_01,NQ,paper,buy,stop,5,5,cancelled,,12606.0,true,wide_stop,,,,2021-03-05T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_515b0d76a8bb,intent_6f5419ebb1e2,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210305_01,NQ,paper,buy,limit,1,0,filled,12287.0,,true,tp1,,,,2021-03-05T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_1836eb2cd909,intent_c28e24195e62,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210305_01,NQ,paper,buy,limit,1,1,cancelled,12127.5,,true,tp2,,,,2021-03-05T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_436c424a9bc0,intent_063a537482b2,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210305_01,NQ,paper,buy,stop,4,0,filled,,12446.25,true,runner_stop,,,,2021-03-05T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_9f0abc28ea03,intent_b86e7cf48382,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210305_01,NQ,paper,buy,limit,1,1,cancelled,12127.5,,true,tp2,,,,2021-03-05T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_97a211c5668d,intent_f2e1aa8c9415,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210305_02,NQ,paper,buy,stop,5,0,filled,,12606.25,false,entry,,,2021-03-05T12:28:00-05:00,2021-03-05T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_c965818af16f,intent_71984f6bc92f,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210305_02,NQ,paper,sell,stop,5,5,cancelled,,12446.5,true,wide_stop,,,,2021-03-05T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_cb910447ca87,intent_5baa616116b4,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210305_02,NQ,paper,sell,limit,1,1,cancelled,12765.5,,true,tp1,,,,2021-03-05T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_8092194050b7,intent_864ba6d97150,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210305_02,NQ,paper,sell,limit,1,1,cancelled,12925.0,,true,tp2,,,,2021-03-05T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_dd05b386d659,intent_91d5650c5c3b,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210305_02,NQ,paper,sell,market_close,5,0,filled,,,true,eod_close,,,2021-03-05T15:59:00-05:00,,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_4521426050dc,intent_a8159ed6e1d2,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210308_01,NQ,paper,buy,stop,5,0,filled,,12685.75,false,entry,,nq_v2b_sizing_S_1_1_3_20210308_01_entry_oco,2021-03-08T09:44:00-05:00,2021-03-08T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_b1882847e81e,intent_e410dd426778,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210308_01,NQ,paper,sell,stop,5,5,cancelled,,12526.5,false,entry,,nq_v2b_sizing_S_1_1_3_20210308_01_entry_oco,2021-03-08T09:44:00-05:00,2021-03-08T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_16fba6541403,intent_7febca5231fa,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210308_01,NQ,paper,sell,stop,5,0,filled,,12526.75,true,wide_stop,,,,2021-03-08T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_33e53b29c54d,intent_59c99afc04c9,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210308_01,NQ,paper,sell,limit,1,1,cancelled,12844.25,,true,tp1,,,,2021-03-08T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_0449c1b1e8f0,intent_017b9e191fb0,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210308_01,NQ,paper,sell,limit,1,1,cancelled,13003.0,,true,tp2,,,,2021-03-08T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_870ad7b8ec97,intent_61c92267e9b6,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210308_02,NQ,paper,sell,stop,5,0,filled,,12526.5,false,entry,,,2021-03-08T11:50:00-05:00,2021-03-08T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_41e701ed3d3a,intent_2ed939b5fd9d,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210308_02,NQ,paper,buy,stop,5,5,cancelled,,12685.5,true,wide_stop,,,,2021-03-08T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_e5fde72be058,intent_6bc5401c0459,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210308_02,NQ,paper,buy,limit,1,0,filled,12368.0,,true,tp1,,,,2021-03-08T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_9112774e4991,intent_959dc98365ea,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210308_02,NQ,paper,buy,limit,1,1,cancelled,12209.25,,true,tp2,,,,2021-03-08T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_61981191bb4d,intent_b607041f8951,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210308_02,NQ,paper,buy,stop,4,4,cancelled,,12526.5,true,runner_stop,,,,2021-03-08T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_80d9ee186c33,intent_47c5715696f2,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210308_02,NQ,paper,buy,limit,1,1,cancelled,12209.25,,true,tp2,,,,2021-03-08T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_a6c525b610e2,intent_2a4184008e6a,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210308_02,NQ,paper,buy,market_close,4,0,filled,,,true,eod_close,,,2021-03-08T15:59:00-05:00,,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_4bfb7c239ef4,intent_da7051555b74,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210309_01,NQ,paper,buy,stop,5,0,filled,,12653.0,false,entry,,nq_v2b_sizing_S_1_1_3_20210309_01_entry_oco,2021-03-09T09:44:00-05:00,2021-03-09T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_bdfcba7e6c2a,intent_e4efd6b0b802,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210309_01,NQ,paper,sell,stop,5,5,cancelled,,12586.75,false,entry,,nq_v2b_sizing_S_1_1_3_20210309_01_entry_oco,2021-03-09T09:44:00-05:00,2021-03-09T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_eee8ae8d25d1,intent_af1d5db93640,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210309_01,NQ,paper,sell,stop,5,5,cancelled,,12587.0,true,wide_stop,,,,2021-03-09T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_6bf52cb8c7cb,intent_491879b9ad4e,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210309_01,NQ,paper,sell,limit,1,0,filled,12718.5,,true,tp1,,,,2021-03-09T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_8974cabb4fe0,intent_b3734f947fe6,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210309_01,NQ,paper,sell,limit,1,1,cancelled,12784.25,,true,tp2,,,,2021-03-09T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_cb8a4350a286,intent_30896931390a,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210309_01,NQ,paper,sell,stop,4,4,cancelled,,12653.0,true,runner_stop,,,,2021-03-09T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_0cb98ba6de00,intent_0848e1883802,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210309_01,NQ,paper,sell,limit,1,0,filled,12784.25,,true,tp2,,,,2021-03-09T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_0c2b7469233f,intent_8f7b20a2af96,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210309_01,NQ,paper,sell,market_close,3,0,filled,,,true,eod_close,,,2021-03-09T15:59:00-05:00,,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_5e74a89055c8,intent_4da0967c0a1a,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210310_01,NQ,paper,buy,stop,5,0,filled,,12969.75,false,entry,,nq_v2b_sizing_S_1_1_3_20210310_01_entry_oco,2021-03-10T09:44:00-05:00,2021-03-10T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_c9eba43ae6b5,intent_23abe3018946,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210310_01,NQ,paper,sell,stop,5,5,cancelled,,12870.25,false,entry,,nq_v2b_sizing_S_1_1_3_20210310_01_entry_oco,2021-03-10T09:44:00-05:00,2021-03-10T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_6e3f8467b590,intent_e2027f97e01e,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210310_01,NQ,paper,sell,stop,5,0,filled,,12870.5,true,wide_stop,,,,2021-03-10T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_1e51b2b47527,intent_383c3c171989,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210310_01,NQ,paper,sell,limit,1,1,cancelled,13068.5,,true,tp1,,,,2021-03-10T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
ord_976805b6b392,intent_5a9321296163,nq_v2b_sizing_S_1_1_3,nq_v2b_sizing_S_1_1_3_20210310_01,NQ,paper,sell,limit,1,1,cancelled,13167.5,,true,tp2,,,,2021-03-10T15:59:00,2026-05-22T03:39:04Z,2026-05-22T03:39:04Z
