fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_ed5b53988054,ord_2b557b20c354,intent_aab640844eed,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210304_01,NQ,paper,sell,6,12648.75,2021-03-04T09:47:00-05:00,entry
fill_14e2fce1752a,ord_b430a2522926,intent_d32722123d6f,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210304_01,NQ,paper,buy,2,12533.5,2021-03-04T10:07:00-05:00,tp1
fill_0c956be612c5,ord_2094a8e218db,intent_be2c85bce709,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210304_01,NQ,paper,buy,4,12649.25,2021-03-04T10:35:00-05:00,runner_stop
fill_caee9ec857d4,ord_7b45b1d18a76,intent_3a3c6be960a5,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210304_02,NQ,paper,buy,6,12765.5,2021-03-04T11:02:00-05:00,entry
fill_7f89121c4305,ord_bb0c4ce86ded,intent_3e9f1d5aec04,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210304_02,NQ,paper,sell,6,12649.0,2021-03-04T12:21:00-05:00,wide_stop
fill_21de73af0fe6,ord_87689dc550bd,intent_15064b9e2564,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210305_01,NQ,paper,sell,6,12446.0,2021-03-05T09:49:00-05:00,entry
fill_68a5165da855,ord_162ee1e38df0,intent_e8ad4251da99,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210305_01,NQ,paper,buy,2,12287.0,2021-03-05T11:12:00-05:00,tp1
fill_9b2042f63d9e,ord_e5d47d523bfb,intent_b5710a308d3a,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210305_01,NQ,paper,buy,4,12446.5,2021-03-05T12:28:00-05:00,runner_stop
fill_927ccddd2a1c,ord_d800798f1a66,intent_cfc26b6dfb17,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210305_02,NQ,paper,buy,6,12606.5,2021-03-05T13:37:00-05:00,entry
fill_1fcf9a4b9831,ord_7c9596fa25ee,intent_d281957163a3,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210305_02,NQ,paper,sell,6,12661.25,2021-03-05T15:59:00-05:00,eod_close
fill_702d264129f5,ord_5ea5f7f6d24c,intent_7ed7afc7f220,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210308_01,NQ,paper,buy,6,12686.0,2021-03-08T09:45:00-05:00,entry
fill_4dba9d57c1df,ord_ecf383b94ce7,intent_ed354fb591c3,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210308_01,NQ,paper,sell,6,12526.5,2021-03-08T11:50:00-05:00,wide_stop
fill_e016170b5d41,ord_dc5d975f7366,intent_e792333bb35c,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210308_02,NQ,paper,sell,6,12526.25,2021-03-08T11:51:00-05:00,entry
fill_4e1aa9e3291f,ord_7bf556765846,intent_df73a6640ed8,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210308_02,NQ,paper,buy,2,12368.0,2021-03-08T15:03:00-05:00,tp1
fill_af7ce3d310ad,ord_f492345d5ace,intent_88c832bf6ea0,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210308_02,NQ,paper,buy,4,12300.75,2021-03-08T15:59:00-05:00,eod_close
fill_ea4ecab36274,ord_b56df3c974b5,intent_aee16f4cb8a8,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210309_01,NQ,paper,buy,6,12653.25,2021-03-09T09:49:00-05:00,entry
fill_e3511d010c93,ord_41aedfc11100,intent_37c45a77561b,nq_v2b_sizing_S_2_2_2,nq_v2b_sizing_S_2_2_2_20210309_01,NQ,paper,sell,2,12718.5,2021-03-09T10:01:00-05:00,tp1
