intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_38512e342ab3,ym_v2b_sizing_S_2_2_0,ym_v2b_sizing_S_2_2_0_20210304_01,YM,paper,buy,stop,4,,31424.25,v2b_long_entry,submitted,true,verify_a16513105725,,false,entry,,,ym_v2b_sizing_S_2_2_0_20210304_01_entry_oco,GTC,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-22T05:48:40Z,2026-05-22T05:48:40Z
intent_9af48379d5f5,ym_v2b_sizing_S_2_2_0,ym_v2b_sizing_S_2_2_0_20210304_01,YM,paper,sell,stop,4,,31262.75,v2b_short_entry,submitted,true,verify_7de4ad9ee898,,false,entry,,,ym_v2b_sizing_S_2_2_0_20210304_01_entry_oco,GTC,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-22T05:48:40Z,2026-05-22T05:48:40Z
intent_8653888a63f4,ym_v2b_sizing_S_2_2_0,ym_v2b_sizing_S_2_2_0_20210304_01,YM,paper,buy,stop,4,,31424.0,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-22T05:48:40Z,2026-05-22T05:48:40Z
intent_38629b57bd36,ym_v2b_sizing_S_2_2_0,ym_v2b_sizing_S_2_2_0_20210304_01,YM,paper,buy,limit,2,31102.0,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-04T15:59:00,2026-05-22T05:48:40Z,2026-05-22T05:48:40Z
intent_0425b821892e,ym_v2b_sizing_S_2_2_0,ym_v2b_sizing_S_2_2_0_20210304_01,YM,paper,buy,limit,2,30941.0,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-22T05:48:40Z,2026-05-22T05:48:40Z
intent_9138b22466c4,ym_v2b_sizing_S_2_2_0,ym_v2b_sizing_S_2_2_0_20210304_02,YM,paper,buy,stop,4,,31424.25,v2b_long_entry,submitted,true,verify_43f920fa9794,,false,entry,,,,GTC,2021-03-04T12:04:00-05:00,2021-03-04T15:59:00,2026-05-22T05:48:40Z,2026-05-22T05:48:40Z
intent_f556ffd0e343,ym_v2b_sizing_S_2_2_0,ym_v2b_sizing_S_2_2_0_20210304_02,YM,paper,sell,stop,4,,31263.0,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-22T05:48:40Z,2026-05-22T05:48:40Z
intent_d90a1fdfbd5e,ym_v2b_sizing_S_2_2_0,ym_v2b_sizing_S_2_2_0_20210304_02,YM,paper,sell,limit,2,31585.0,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-04T15:59:00,2026-05-22T05:48:40Z,2026-05-22T05:48:40Z
intent_25f016f208dc,ym_v2b_sizing_S_2_2_0,ym_v2b_sizing_S_2_2_0_20210304_02,YM,paper,sell,limit,2,31746.0,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-22T05:48:40Z,2026-05-22T05:48:40Z
intent_6452c584c00a,ym_v2b_sizing_S_2_2_0,ym_v2b_sizing_S_2_2_0_20210305_01,YM,paper,buy,stop,4,,31216.25,v2b_long_entry,submitted,true,verify_d151b195d431,,false,entry,,,ym_v2b_sizing_S_2_2_0_20210305_01_entry_oco,GTC,2021-03-05T09:44:00-05:00,2021-03-05T15:59:00,2026-05-22T05:48:40Z,2026-05-22T05:48:40Z
