fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_2d3690a63420,ord_ed675ffe82af,intent_2283d5a99d9b,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210304_01,MNQ,paper,sell,5,12649.0,2021-03-04T09:47:00-05:00,entry
fill_57a900b9a8f2,ord_1840e723f15a,intent_a41c365314d3,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210304_01,MNQ,paper,buy,3,12534.0,2021-03-04T10:07:00-05:00,tp1
fill_2607660df99a,ord_314648629310,intent_fb7884201483,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210304_01,MNQ,paper,buy,2,12649.5,2021-03-04T10:35:00-05:00,runner_stop
fill_5bfdbd9aaaa9,ord_71d5340fb5f1,intent_9a60c13b5db8,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210304_02,MNQ,paper,buy,5,12765.5,2021-03-04T11:02:00-05:00,entry
fill_c2acf8127556,ord_1db57dc40cc9,intent_9cbe0786b6c2,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210304_02,MNQ,paper,sell,5,12649.25,2021-03-04T12:21:00-05:00,wide_stop
fill_1a965c28662e,ord_c0e1d20d5757,intent_45263175be25,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210305_01,MNQ,paper,sell,5,12445.75,2021-03-05T09:49:00-05:00,entry
fill_c2ce96344b6a,ord_553548929bb9,intent_17941edbc47c,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210305_01,MNQ,paper,buy,3,12286.5,2021-03-05T11:12:00-05:00,tp1
fill_ecccaf094880,ord_576a5887367d,intent_38df4659b170,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210305_01,MNQ,paper,buy,2,12446.25,2021-03-05T12:28:00-05:00,runner_stop
fill_c143984828fd,ord_faeacefeffa6,intent_cb9d8570c735,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210305_02,MNQ,paper,buy,5,12606.5,2021-03-05T13:37:00-05:00,entry
fill_14583184bb92,ord_0934eaba557c,intent_a1dca190b98a,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210305_02,MNQ,paper,sell,5,12661.25,2021-03-05T15:59:00-05:00,eod_close
fill_460120cc1c15,ord_6a388d7445ba,intent_1876ec26590a,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210308_01,MNQ,paper,buy,5,12686.5,2021-03-08T09:45:00-05:00,entry
fill_5d64d5b92b22,ord_b8d763b804df,intent_225928da7cb4,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210308_01,MNQ,paper,sell,5,12526.25,2021-03-08T11:50:00-05:00,wide_stop
fill_f4c74ee88eab,ord_49bd150eaf68,intent_3708c5a8eeeb,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210308_02,MNQ,paper,sell,5,12526.0,2021-03-08T11:51:00-05:00,entry
fill_f67a8bb8eb5f,ord_0ad2998e2b3b,intent_95b27f7ac152,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210308_02,MNQ,paper,buy,3,12367.0,2021-03-08T15:05:00-05:00,tp1
fill_cbf2eb3a0992,ord_d2251f9a5f9e,intent_95372c78a16d,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210308_02,MNQ,paper,buy,2,12300.75,2021-03-08T15:59:00-05:00,eod_close
fill_c2c5334764e2,ord_47e3676c14bb,intent_a27c06d3a9e2,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210309_01,MNQ,paper,buy,5,12652.75,2021-03-09T09:49:00-05:00,entry
fill_527360a64b91,ord_32c9105cdf85,intent_b2c7fdadc8f3,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210309_01,MNQ,paper,sell,3,12717.5,2021-03-09T10:01:00-05:00,tp1
fill_09e3fae1f7a2,ord_934e42f10e46,intent_151f883c0bb9,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210309_01,MNQ,paper,sell,1,12782.75,2021-03-09T12:12:00-05:00,tp2
fill_ba6e454a0b4d,ord_d784bc705e37,intent_da3bf66387a8,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210309_01,MNQ,paper,sell,1,12786.5,2021-03-09T15:59:00-05:00,eod_close
fill_a2477011ee14,ord_ffa7ac9d2d2f,intent_55d38e63d43d,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210310_01,MNQ,paper,buy,5,12969.75,2021-03-10T09:50:00-05:00,entry
fill_e6abe397f485,ord_fe465382e0d9,intent_07f2c80e3b70,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210310_01,MNQ,paper,sell,5,12870.0,2021-03-10T10:21:00-05:00,wide_stop
fill_00d6190edcc8,ord_13485f2caae8,intent_a5a6ab1cdbf9,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210310_02,MNQ,paper,sell,5,12852.0,2021-03-10T10:22:00-05:00,entry
fill_32436c767757,ord_8e7552d535a8,intent_3377d3842625,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210310_02,MNQ,paper,buy,3,12771.25,2021-03-10T10:39:00-05:00,tp1
fill_0705bdf6e0e8,ord_386a9d93ec5d,intent_21e084dedb24,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210310_02,MNQ,paper,buy,2,12752.5,2021-03-10T15:59:00-05:00,eod_close
fill_65a3f6de7a42,ord_c5e510ea2c12,intent_50f55d3547fc,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210311_01,MNQ,paper,sell,5,12931.25,2021-03-11T10:18:00-05:00,entry
fill_4f2722dc7718,ord_636e2bec70bd,intent_3113143a4fdc,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210311_01,MNQ,paper,buy,5,13007.0,2021-03-11T10:49:00-05:00,wide_stop
fill_0f5f070d425b,ord_59ce2fa38754,intent_691708f0829c,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210311_02,MNQ,paper,buy,5,13009.5,2021-03-11T10:50:00-05:00,entry
fill_60f31f8476fe,ord_ccb1d6018796,intent_3d970ac5ec33,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210311_02,MNQ,paper,sell,3,13081.75,2021-03-11T11:42:00-05:00,tp1
fill_e31fc841e66e,ord_4fef78e1300e,intent_f80b7806ca5a,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210311_02,MNQ,paper,sell,2,13046.0,2021-03-11T15:59:00-05:00,eod_close
fill_f7e0baf6bcab,ord_3625da97a703,intent_b8279eb70cef,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210312_01,MNQ,paper,buy,5,12865.75,2021-03-12T09:50:00-05:00,entry
fill_f248bb8197d3,ord_85e0d44a57d1,intent_b4e3cca7838a,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210312_01,MNQ,paper,sell,5,12788.75,2021-03-12T10:27:00-05:00,wide_stop
fill_1298d8cbbd9a,ord_a729cb235b10,intent_459ac209f9c4,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210312_02,MNQ,paper,sell,5,12773.25,2021-03-12T10:28:00-05:00,entry
fill_e77a09a4dc24,ord_4aae9e2c5093,intent_fb2f3e968128,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210312_02,MNQ,paper,buy,5,12865.5,2021-03-12T11:52:00-05:00,wide_stop
fill_baf9d0d93a9f,ord_2364af67a60e,intent_93a3724ba19b,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210315_01,MNQ,paper,buy,5,12942.0,2021-03-15T09:52:00-04:00,entry
fill_f2e71311bcb0,ord_e97c80401ecb,intent_9cbddae85577,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210315_01,MNQ,paper,sell,5,12887.25,2021-03-15T11:34:00-04:00,wide_stop
fill_d97fb995d287,ord_8bb68b62ab36,intent_8a581ca5c4aa,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210315_02,MNQ,paper,sell,5,12887.0,2021-03-15T11:35:00-04:00,entry
fill_23036340d18c,ord_a35388ffc5d2,intent_b8df1b9bb74f,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210315_02,MNQ,paper,buy,5,12941.75,2021-03-15T12:15:00-04:00,wide_stop
fill_c2b454c96846,ord_88f8bf58f761,intent_03f21ef369fa,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210316_01,MNQ,paper,buy,5,13190.5,2021-03-16T09:45:00-04:00,entry
fill_6a205d2c8d82,ord_140abf003766,intent_31346a41bac3,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210316_01,MNQ,paper,sell,3,13247.75,2021-03-16T10:10:00-04:00,tp1
fill_99f6c892c680,ord_427d3ef9ced5,intent_dafe9035bc7a,mnq_v2b_sizing_S_3_1_1,mnq_v2b_sizing_S_3_1_1_20210316_01,MNQ,paper,sell,2,13190.0,2021-03-16T12:24:00-04:00,runner_stop
