intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_5d5fee106820,mnq_v2b_sizing_S_4_1_1,mnq_v2b_sizing_S_4_1_1_20210304_01,MNQ,paper,buy,stop,6,,12765.25,v2b_long_entry,submitted,true,verify_2b45eba0b17f,,false,entry,,,mnq_v2b_sizing_S_4_1_1_20210304_01_entry_oco,GTC,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-21T21:09:54Z,2026-05-21T21:09:54Z
intent_9b82b66109fb,mnq_v2b_sizing_S_4_1_1,mnq_v2b_sizing_S_4_1_1_20210304_01,MNQ,paper,sell,stop,6,,12649.25,v2b_short_entry,submitted,true,verify_b4a87c47ee4f,,false,entry,,,mnq_v2b_sizing_S_4_1_1_20210304_01_entry_oco,GTC,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-21T21:09:54Z,2026-05-21T21:09:54Z
intent_de7a8fe5bbd7,mnq_v2b_sizing_S_4_1_1,mnq_v2b_sizing_S_4_1_1_20210304_01,MNQ,paper,buy,stop,6,,12765.0,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-21T21:09:54Z,2026-05-21T21:09:54Z
intent_7f04daf241b7,mnq_v2b_sizing_S_4_1_1,mnq_v2b_sizing_S_4_1_1_20210304_01,MNQ,paper,buy,limit,4,12534.0,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-04T15:59:00,2026-05-21T21:09:54Z,2026-05-21T21:09:54Z
intent_ecf7c7169100,mnq_v2b_sizing_S_4_1_1,mnq_v2b_sizing_S_4_1_1_20210304_01,MNQ,paper,buy,limit,1,12418.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-21T21:09:54Z,2026-05-21T21:09:54Z
intent_8145411d1288,mnq_v2b_sizing_S_4_1_1,mnq_v2b_sizing_S_4_1_1_20210304_01,MNQ,paper,buy,stop,2,,12649.25,v2b_runner_stop,submitted,false,,,true,runner_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-21T21:09:54Z,2026-05-21T21:09:54Z
intent_eb4b52372807,mnq_v2b_sizing_S_4_1_1,mnq_v2b_sizing_S_4_1_1_20210304_01,MNQ,paper,buy,limit,1,12418.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-21T21:09:54Z,2026-05-21T21:09:54Z
intent_be1c136302a8,mnq_v2b_sizing_S_4_1_1,mnq_v2b_sizing_S_4_1_1_20210304_02,MNQ,paper,buy,stop,6,,12765.25,v2b_long_entry,submitted,true,verify_b6a0b98d9308,,false,entry,,,,GTC,2021-03-04T10:35:00-05:00,2021-03-04T15:59:00,2026-05-21T21:09:54Z,2026-05-21T21:09:54Z
intent_5a380d9f2d53,mnq_v2b_sizing_S_4_1_1,mnq_v2b_sizing_S_4_1_1_20210304_02,MNQ,paper,sell,stop,6,,12649.5,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-21T21:09:54Z,2026-05-21T21:09:54Z
intent_7f0107517d02,mnq_v2b_sizing_S_4_1_1,mnq_v2b_sizing_S_4_1_1_20210304_02,MNQ,paper,sell,limit,4,12880.5,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-04T15:59:00,2026-05-21T21:09:54Z,2026-05-21T21:09:54Z
