verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_5c69fb3695eb,intent_c6983432c675,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-32c675,2026-05-20T02:49:03Z,2026-05-20T02:49:03Z
verify_6d4a386f5f8e,intent_222c9de89637,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-e89637,2026-05-20T02:49:03Z,2026-05-20T02:49:03Z
verify_1bd448c82e2e,intent_19ef5e2dfe23,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-2dfe23,2026-05-20T02:49:03Z,2026-05-20T02:49:03Z
verify_ae451be0ba7b,intent_16c1c3cfce7d,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-cfce7d,2026-05-20T02:49:04Z,2026-05-20T02:49:04Z
verify_1cd0bcf0f56d,intent_e8c5b88eb69b,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-8eb69b,2026-05-20T02:49:04Z,2026-05-20T02:49:04Z
verify_722d622cdd8d,intent_ae3bbc245dd1,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-245dd1,2026-05-20T02:49:04Z,2026-05-20T02:49:04Z
verify_dc6919dc2b3c,intent_756307f82f08,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-f82f08,2026-05-20T02:49:04Z,2026-05-20T02:49:04Z
verify_c8a25011a08a,intent_d6569dd7046a,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-d7046a,2026-05-20T02:49:04Z,2026-05-20T02:49:04Z
verify_0b469800dc74,intent_0a463e15b0c8,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-15b0c8,2026-05-20T02:49:04Z,2026-05-20T02:49:04Z
verify_4c0696ca560c,intent_df443085c8c4,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-85c8c4,2026-05-20T02:49:04Z,2026-05-20T02:49:04Z
verify_98150f003eb9,intent_a960d17e559c,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-7e559c,2026-05-20T02:49:04Z,2026-05-20T02:49:04Z
verify_d41627f5dd15,intent_266a5a024988,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-024988,2026-05-20T02:49:04Z,2026-05-20T02:49:04Z
verify_b5f9f675a722,intent_6e55a12a16c4,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-2a16c4,2026-05-20T02:49:04Z,2026-05-20T02:49:04Z
verify_ebce3b3100d8,intent_cb0ec3263ced,mnq_v2b_scaleout_oco_then_reverse,paper,approved,SPOOF-263ced,2026-05-20T02:49:04Z,2026-05-20T02:49:04Z
