alert_id,strategy_id,level,message,payload_json,status,created_at
alert_6730e038e71f,mes_v2b_scaleout_oco_then_reverse,info,v2b opening range armed,{},sent,2026-05-21T16:29:07Z
alert_bef8508013fe,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 MES,{},sent,2026-05-21T16:29:07Z
alert_c8812c8c7f82,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 2 MES,{},sent,2026-05-21T16:29:07Z
alert_cb4b4a1392bb,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 MES,{},sent,2026-05-21T16:29:07Z
alert_c33451ca2c74,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 MES,{},sent,2026-05-21T16:29:07Z
alert_0dfc743058e4,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 MES,{},sent,2026-05-21T16:29:07Z
alert_712619e5733f,mes_v2b_scaleout_oco_then_reverse,info,Cancelled order ord_5029dcec18da,{},sent,2026-05-21T16:29:07Z
alert_c6f440b1f7bf,mes_v2b_scaleout_oco_then_reverse,info,Cancelled order ord_c271868f64d8,{},sent,2026-05-21T16:29:07Z
alert_0c7e7e2decfb,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 MES,{},sent,2026-05-21T16:29:07Z
alert_b71f73e13f87,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 MES,{},sent,2026-05-21T16:29:07Z
alert_3860daf019fb,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 MES,{},sent,2026-05-21T16:29:07Z
alert_71c1680d3ecc,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 2 MES,{},sent,2026-05-21T16:29:07Z
alert_9d75047457fa,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 MES,{},sent,2026-05-21T16:29:07Z
alert_25e4f0caf6a1,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 MES,{},sent,2026-05-21T16:29:07Z
alert_0e5337365dbe,mes_v2b_scaleout_oco_then_reverse,info,v2b opening range armed,{},sent,2026-05-21T16:29:08Z
alert_d0f0ae497ab8,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 MES,{},sent,2026-05-21T16:29:08Z
alert_a2a3295d55a5,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 2 MES,{},sent,2026-05-21T16:29:08Z
alert_42a0d773c489,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 MES,{},sent,2026-05-21T16:29:08Z
alert_9bf8fdad1cf4,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 MES,{},sent,2026-05-21T16:29:08Z
alert_eab196dab859,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 MES,{},sent,2026-05-21T16:29:08Z
alert_48200e6c7286,mes_v2b_scaleout_oco_then_reverse,info,Cancelled order ord_d144b2d7a7ed,{},sent,2026-05-21T16:29:08Z
alert_c6508cf735df,mes_v2b_scaleout_oco_then_reverse,info,Cancelled order ord_c743da1e7a8e,{},sent,2026-05-21T16:29:08Z
alert_759aa4e6a4ba,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 MES,{},sent,2026-05-21T16:29:08Z
alert_5ee913bbe4a5,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 MES,{},sent,2026-05-21T16:29:08Z
alert_adcf34abe428,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 MES,{},sent,2026-05-21T16:29:08Z
alert_f604d652c548,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 2 MES,{},sent,2026-05-21T16:29:08Z
alert_213d908fec6a,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 MES,{},sent,2026-05-21T16:29:08Z
alert_13ff0462995e,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 MES,{},sent,2026-05-21T16:29:08Z
alert_16f419c22d73,mes_v2b_scaleout_oco_then_reverse,info,Cancelled order ord_bc22e4ac81d7,{},sent,2026-05-21T16:29:08Z
alert_ad9fe1a39f31,mes_v2b_scaleout_oco_then_reverse,info,Cancelled order ord_e75420a39fc1,{},sent,2026-05-21T16:29:08Z
alert_8b77b203f700,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 MES,{},sent,2026-05-21T16:29:08Z
alert_187ab709e443,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 MES,{},sent,2026-05-21T16:29:08Z
alert_0ba263d73f1a,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 MES,{},sent,2026-05-21T16:29:08Z
alert_4fa748480afa,mes_v2b_scaleout_oco_then_reverse,info,v2b opening range armed,{},sent,2026-05-21T16:29:08Z
alert_129d2177b216,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 MES,{},sent,2026-05-21T16:29:08Z
alert_101933bef382,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 2 MES,{},sent,2026-05-21T16:29:08Z
alert_2a0b573a17e2,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 2 MES,{},sent,2026-05-21T16:29:08Z
alert_842bfdfcd3ed,mes_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 MES,{},sent,2026-05-21T16:29:08Z
