alert_id,strategy_id,level,message,payload_json,status,created_at
alert_c0f797c53bed,ym_v2b_scaleout_oco_then_reverse,info,v2b opening range armed,{},sent,2026-05-21T15:20:18Z
alert_2028f195d5b5,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T15:20:18Z
alert_b16162a248bc,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T15:20:18Z
alert_8f12379221b4,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T15:20:18Z
alert_237fa1d74dc8,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 YM,{},sent,2026-05-21T15:20:18Z
alert_108bc0fea290,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 YM,{},sent,2026-05-21T15:20:18Z
alert_cfcb17078323,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T15:20:18Z
alert_df5312076976,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T15:20:18Z
alert_95927afa84b8,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 YM,{},sent,2026-05-21T15:20:18Z
alert_7257ab971f8d,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 YM,{},sent,2026-05-21T15:20:18Z
alert_ca4238008b0c,ym_v2b_scaleout_oco_then_reverse,info,v2b opening range armed,{},sent,2026-05-21T15:20:18Z
alert_41f017265634,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T15:20:18Z
alert_0e0169a9d989,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T15:20:18Z
alert_0e4ec6264028,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T15:20:18Z
alert_c8ba900594b7,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 YM,{},sent,2026-05-21T15:20:18Z
alert_ffdea837e712,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 YM,{},sent,2026-05-21T15:20:18Z
alert_c3b6059931d5,ym_v2b_scaleout_oco_then_reverse,info,Cancelled order ord_e23ef922c201,{},sent,2026-05-21T15:20:18Z
alert_ff340795c34f,ym_v2b_scaleout_oco_then_reverse,info,Cancelled order ord_5b78eb1ae19a,{},sent,2026-05-21T15:20:18Z
alert_dfba145789c0,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 YM,{},sent,2026-05-21T15:20:18Z
alert_517894672e7e,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 1 YM,{},sent,2026-05-21T15:20:18Z
alert_539e1885192b,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T15:20:18Z
alert_10d49396c27a,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T15:20:18Z
alert_01c1e0076958,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 YM,{},sent,2026-05-21T15:20:18Z
alert_d18d912eff07,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 YM,{},sent,2026-05-21T15:20:18Z
alert_a623ed58f8af,ym_v2b_scaleout_oco_then_reverse,info,Cancelled order ord_0b87aa4db888,{},sent,2026-05-21T15:20:18Z
alert_e144153397d8,ym_v2b_scaleout_oco_then_reverse,info,Cancelled order ord_ea2d13c8ccfa,{},sent,2026-05-21T15:20:18Z
alert_dab50e5819fa,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 YM,{},sent,2026-05-21T15:20:18Z
alert_b8c927d74f92,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted sell 1 YM,{},sent,2026-05-21T15:20:18Z
alert_b44610b97fdb,ym_v2b_scaleout_oco_then_reverse,info,Cancelled order ord_c5a1c6d5967b,{},sent,2026-05-21T15:20:18Z
alert_da81b95012de,ym_v2b_scaleout_oco_then_reverse,info,v2b opening range armed,{},sent,2026-05-21T15:20:18Z
alert_0a59767f5fd4,ym_v2b_scaleout_oco_then_reverse,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T15:20:18Z
