broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_9c54f2ca6cb5,intent_c889ebdaaf59,nq_v2b_scaleout_oco_then_reverse,nq_v2b_scaleout_oco_then_reverse_20210304_01,NQ,paper,buy,stop,2,2,cancelled,,12765.25,false,entry,,nq_v2b_scaleout_oco_then_reverse_20210304_01_entry_oco,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-20T03:18:21Z,2026-05-20T03:18:21Z
ord_35feabca10d9,intent_ece704e3e8ad,nq_v2b_scaleout_oco_then_reverse,nq_v2b_scaleout_oco_then_reverse_20210304_01,NQ,paper,sell,stop,2,0,filled,,12649.0,false,entry,,nq_v2b_scaleout_oco_then_reverse_20210304_01_entry_oco,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-20T03:18:21Z,2026-05-20T03:18:21Z
ord_aeb517052c64,intent_685519927d5a,nq_v2b_scaleout_oco_then_reverse,nq_v2b_scaleout_oco_then_reverse_20210304_01,NQ,paper,buy,stop,2,2,cancelled,,12765.0,true,wide_stop,,,,2021-03-04T15:59:00,2026-05-20T03:18:21Z,2026-05-20T03:18:21Z
ord_8d406c4c940c,intent_da6faf7e1245,nq_v2b_scaleout_oco_then_reverse,nq_v2b_scaleout_oco_then_reverse_20210304_01,NQ,paper,buy,limit,1,0,filled,12533.5,,true,tp1,,,,2021-03-04T15:59:00,2026-05-20T03:18:21Z,2026-05-20T03:18:21Z
ord_c82f3869673d,intent_c3b68d2ce377,nq_v2b_scaleout_oco_then_reverse,nq_v2b_scaleout_oco_then_reverse_20210304_01,NQ,paper,buy,limit,1,1,cancelled,12417.75,,true,tp2,,,,2021-03-04T15:59:00,2026-05-20T03:18:21Z,2026-05-20T03:18:21Z
ord_d993c779d1a8,intent_b11c6831ab7d,nq_v2b_scaleout_oco_then_reverse,nq_v2b_scaleout_oco_then_reverse_20210304_01,NQ,paper,buy,stop,1,0,filled,,12649.0,true,runner_stop,,,,2021-03-04T15:59:00,2026-05-20T03:18:21Z,2026-05-20T03:18:21Z
ord_154855c3073c,intent_372b5167c22c,nq_v2b_scaleout_oco_then_reverse,nq_v2b_scaleout_oco_then_reverse_20210304_01,NQ,paper,buy,limit,1,1,cancelled,12417.75,,true,tp2,,,,2021-03-04T15:59:00,2026-05-20T03:18:21Z,2026-05-20T03:18:21Z
ord_a41cec9e374f,intent_9582e5e25162,nq_v2b_scaleout_oco_then_reverse,nq_v2b_scaleout_oco_then_reverse_20210304_02,NQ,paper,buy,stop,2,0,filled,,12765.25,false,entry,,,2021-03-04T10:35:00-05:00,2021-03-04T15:59:00,2026-05-20T03:18:21Z,2026-05-20T03:18:21Z
ord_34c06c445c34,intent_e8cc70e2b2d3,nq_v2b_scaleout_oco_then_reverse,nq_v2b_scaleout_oco_then_reverse_20210304_02,NQ,paper,sell,stop,2,0,filled,,12649.25,true,wide_stop,,,,2021-03-04T15:59:00,2026-05-20T03:18:21Z,2026-05-20T03:18:21Z
ord_b2ca01c102e8,intent_8e0f4c092e7c,nq_v2b_scaleout_oco_then_reverse,nq_v2b_scaleout_oco_then_reverse_20210304_02,NQ,paper,sell,limit,1,1,cancelled,12880.75,,true,tp1,,,,2021-03-04T15:59:00,2026-05-20T03:18:21Z,2026-05-20T03:18:21Z
ord_931e389dc7c4,intent_a5c43746eeed,nq_v2b_scaleout_oco_then_reverse,nq_v2b_scaleout_oco_then_reverse_20210304_02,NQ,paper,sell,limit,1,1,cancelled,12996.5,,true,tp2,,,,2021-03-04T15:59:00,2026-05-20T03:18:21Z,2026-05-20T03:18:21Z
