fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_cbd3086e3ee0,ord_e13519fce64f,intent_a0efe8d6497a,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_01,MNQ,paper,buy,2,12765.5,2021-03-04T11:02:00-05:00,entry
fill_99414883d1cc,ord_326fe07b2102,intent_b84687c5e01a,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_01,MNQ,paper,sell,2,12649.25,2021-03-04T12:21:00-05:00,wide_stop
fill_715156b2d5de,ord_e8be80d8b1da,intent_0c3ba5dbe86e,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_02,MNQ,paper,sell,2,12647.25,2021-03-04T12:22:00-05:00,entry
fill_e7cba1e6c89f,ord_f98690ab1d8f,intent_866af2439483,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_02,MNQ,paper,buy,1,12534.0,2021-03-04T12:35:00-05:00,tp1
fill_b02a2dbb5ce5,ord_1f7f1bc635c1,intent_871e65549f1f,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_02,MNQ,paper,buy,1,12418.5,2021-03-04T13:15:00-05:00,tp2
fill_53e31d87f66f,ord_c96dbccdf9b3,intent_e27a560b7050,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210305_01,MNQ,paper,buy,2,12606.5,2021-03-05T13:37:00-05:00,entry
fill_ed6332f5d858,ord_413c95c99223,intent_e262597ee629,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210305_01,MNQ,paper,sell,2,12661.25,2021-03-05T15:59:00-05:00,eod_close
fill_2fb8e3302d01,ord_04365bc13810,intent_49bc3a74d79a,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_01,MNQ,paper,buy,2,12686.5,2021-03-08T09:45:00-05:00,entry
fill_d8ac1233a1b9,ord_192567712a02,intent_87fee5733beb,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_01,MNQ,paper,sell,2,12526.25,2021-03-08T11:50:00-05:00,wide_stop
fill_077823cf5056,ord_6975228ab856,intent_62dc3240cde3,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_02,MNQ,paper,sell,2,12526.0,2021-03-08T11:51:00-05:00,entry
fill_fa943e714bbe,ord_0979ca29759c,intent_eb58699a234f,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_02,MNQ,paper,buy,1,12367.0,2021-03-08T15:05:00-05:00,tp1
fill_c64b3360421e,ord_9257355e3bbb,intent_478734de1e68,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_02,MNQ,paper,buy,1,12300.75,2021-03-08T15:59:00-05:00,eod_close
fill_07a63a292ab6,ord_5409a9866cca,intent_487208242fd7,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210309_01,MNQ,paper,buy,2,12652.75,2021-03-09T09:49:00-05:00,entry
fill_9cf607711861,ord_6ef208df6d95,intent_f905581006c2,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210309_01,MNQ,paper,sell,1,12717.5,2021-03-09T10:01:00-05:00,tp1
fill_8ecc02b7f0c0,ord_775a9f85c444,intent_38a7aeca279f,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210309_01,MNQ,paper,sell,1,12782.75,2021-03-09T12:12:00-05:00,tp2
