intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_94fd5be4f50f,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_01,MNQ,paper,buy,stop,2,,12765.25,v2b_long_entry,submitted,true,verify_260c62d98148,,false,entry,,,,GTC,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-19T22:40:40Z,2026-05-19T22:40:40Z
intent_0d10dfb2ee28,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_01,MNQ,paper,sell,stop,2,,12649.5,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-19T22:40:40Z,2026-05-19T22:40:40Z
intent_e5e87a353ec6,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_01,MNQ,paper,sell,limit,1,12880.5,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-04T15:59:00,2026-05-19T22:40:40Z,2026-05-19T22:40:40Z
intent_442021057aec,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_01,MNQ,paper,sell,limit,1,12996.0,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-19T22:40:40Z,2026-05-19T22:40:40Z
intent_f309a8df08e5,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_02,MNQ,paper,sell,stop,2,,12649.25,v2b_short_entry,submitted,true,verify_a7b26954559e,,false,entry,,,,GTC,2021-03-04T12:21:00-05:00,2021-03-04T15:59:00,2026-05-19T22:40:40Z,2026-05-19T22:40:40Z
intent_7b22306cbbf8,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_02,MNQ,paper,buy,stop,2,,12765.0,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-19T22:40:40Z,2026-05-19T22:40:40Z
intent_3e7e00dc2401,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_02,MNQ,paper,buy,limit,1,12534.0,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-04T15:59:00,2026-05-19T22:40:40Z,2026-05-19T22:40:40Z
intent_48e8f94b4de0,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_02,MNQ,paper,buy,limit,1,12418.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-19T22:40:40Z,2026-05-19T22:40:40Z
intent_052e24c648fc,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_02,MNQ,paper,buy,stop,1,,12649.25,v2b_runner_stop,submitted,false,,,true,runner_stop,,,,GTC,,2021-03-04T15:59:00,2026-05-19T22:40:40Z,2026-05-19T22:40:40Z
intent_378597c58bf6,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210304_02,MNQ,paper,buy,limit,1,12418.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-04T15:59:00,2026-05-19T22:40:40Z,2026-05-19T22:40:40Z
intent_6ed941846b6f,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210305_01,MNQ,paper,buy,stop,2,,12606.25,v2b_long_entry,submitted,true,verify_fbcda35f6614,,false,entry,,,,GTC,2021-03-05T09:44:00-05:00,2021-03-05T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_da844c8be872,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210305_01,MNQ,paper,sell,stop,2,,12446.25,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-05T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_9f5437c4ae64,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210305_01,MNQ,paper,sell,limit,1,12765.75,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-05T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_fc1606104f45,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210305_01,MNQ,paper,sell,limit,1,12925.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-05T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_e1a0a73ba1bf,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210305_01,MNQ,paper,sell,market_close,2,,,eod_close,submitted,false,,,true,eod_close,,,,GTC,2021-03-05T15:59:00-05:00,,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_075d7c985d94,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_01,MNQ,paper,buy,stop,2,,12686.25,v2b_long_entry,submitted,true,verify_c98ede96ef8f,,false,entry,,,,GTC,2021-03-08T09:44:00-05:00,2021-03-08T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_29b83d7918c7,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_01,MNQ,paper,sell,stop,2,,12526.5,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-08T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_1af47ae0ec11,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_01,MNQ,paper,sell,limit,1,12845.5,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-08T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_843313d32789,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_01,MNQ,paper,sell,limit,1,13005.0,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-08T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_c9009e8597ae,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_02,MNQ,paper,sell,stop,2,,12526.25,v2b_short_entry,submitted,true,verify_cc97af3d676a,,false,entry,,,,GTC,2021-03-08T11:50:00-05:00,2021-03-08T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_1db627a4961f,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_02,MNQ,paper,buy,stop,2,,12686.0,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2021-03-08T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_79a348c84ec7,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_02,MNQ,paper,buy,limit,1,12367.0,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2021-03-08T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_496fc1c757aa,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_02,MNQ,paper,buy,limit,1,12207.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-08T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_4176099fb49a,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_02,MNQ,paper,buy,stop,1,,12526.25,v2b_runner_stop,submitted,false,,,true,runner_stop,,,,GTC,,2021-03-08T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_fcb744b5e879,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_02,MNQ,paper,buy,limit,1,12207.5,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2021-03-08T15:59:00,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
intent_16adbdf6fc9f,mnq_v2b_scaleout_strict_long_then_short,mnq_v2b_scaleout_strict_long_then_short_20210308_02,MNQ,paper,buy,market_close,1,,,eod_close,submitted,false,,,true,eod_close,,,,GTC,2021-03-08T15:59:00-05:00,,2026-05-19T22:40:41Z,2026-05-19T22:40:41Z
