broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_78fc8c088031,intent_8a23511046cc,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210304_01,NQ,paper,buy,stop,1,1,cancelled,,12765.25,false,entry,,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210304_01_entry_oco,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_9dce14bc4d18,intent_1a105f8156c2,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210304_01,NQ,paper,sell,stop,1,0,filled,,12649.0,false,entry,,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210304_01_entry_oco,2021-03-04T09:44:00-05:00,2021-03-04T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_ce90701c1c97,intent_1932f3adf828,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210304_01,NQ,paper,buy,stop,1,1,cancelled,,12765.0,true,wide_stop,,,,2021-03-04T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_45959e89d5fd,intent_745f0d5e7e95,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210304_01,NQ,paper,buy,limit,1,0,filled,12533.5,,true,tp1,,,,2021-03-04T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_676c8e99ecfc,intent_84848682ec2b,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210305_01,NQ,paper,buy,stop,1,1,cancelled,,12606.25,false,entry,,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210305_01_entry_oco,2021-03-05T09:44:00-05:00,2021-03-05T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_b4401d685309,intent_6b84ee3ebd23,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210305_01,NQ,paper,sell,stop,1,0,filled,,12446.25,false,entry,,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210305_01_entry_oco,2021-03-05T09:44:00-05:00,2021-03-05T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_3f350d1661a4,intent_6d68b9df3825,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210305_01,NQ,paper,buy,stop,1,1,cancelled,,12606.0,true,wide_stop,,,,2021-03-05T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_b06b26fc2736,intent_49493c872a65,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210305_01,NQ,paper,buy,limit,1,0,filled,12287.0,,true,tp1,,,,2021-03-05T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_07c3f14a397c,intent_75e250eb91b3,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210308_01,NQ,paper,buy,stop,1,0,filled,,12685.75,false,entry,,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210308_01_entry_oco,2021-03-08T09:44:00-05:00,2021-03-08T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_6f19751f6707,intent_b28607cfcc09,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210308_01,NQ,paper,sell,stop,1,1,cancelled,,12526.5,false,entry,,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210308_01_entry_oco,2021-03-08T09:44:00-05:00,2021-03-08T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_8c71d396a029,intent_5d452566ef30,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210308_01,NQ,paper,sell,stop,1,0,filled,,12526.75,true,wide_stop,,,,2021-03-08T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_ed8a1c333405,intent_fc2a1e63c15d,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210308_01,NQ,paper,sell,limit,1,1,cancelled,12844.25,,true,tp1,,,,2021-03-08T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_c16e4ddec042,intent_5b7559b28e50,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210308_02,NQ,paper,sell,stop,1,0,filled,,12526.5,false,entry,,,2021-03-08T11:50:00-05:00,2021-03-08T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_41c66e12b8c3,intent_a1566249d0ea,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210308_02,NQ,paper,buy,stop,1,1,cancelled,,12685.5,true,wide_stop,,,,2021-03-08T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
ord_c5fb8aee04cb,intent_8f5628d69d79,nq_v2b_sizing_S_1_0_0_TP1ONLY,nq_v2b_sizing_S_1_0_0_TP1ONLY_20210308_02,NQ,paper,buy,limit,1,0,filled,12368.0,,true,tp1,,,,2021-03-08T15:59:00,2026-05-22T15:20:44Z,2026-05-22T15:20:44Z
