fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_bc3818f27104,ord_c542dbdf8561,intent_aa42f48487c4,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00001,MNQ,paper,sell,1,7626.5,2019-05-16 11:00:00-04:00,entry
fill_bc50c23beb3e,ord_0feeba0a34d1,intent_c1962c5fad43,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00001,MNQ,paper,buy,1,7539.75,2019-05-20 00:15:00-04:00,close
fill_97d782c20699,ord_02f5139477bb,intent_945767c61a11,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00002,MNQ,paper,buy,1,7463.625,2019-05-20 06:15:00-04:00,entry
fill_e6f07d4b7d43,ord_8b94b015d70b,intent_ab09a950d418,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00002,MNQ,paper,sell,1,7413.375,2019-05-20 07:15:00-04:00,stop
fill_c188c3f857fd,ord_1df53d83d02a,intent_becb321d2655,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00004,MNQ,paper,sell,1,7223.875,2019-06-05 05:30:00-04:00,entry
fill_9735980d036f,ord_0a328f2d9be3,intent_eb1f4120e0cc,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00004,MNQ,paper,buy,1,7274.125,2019-06-06 14:45:00-04:00,stop
fill_a52926a0861e,ord_83aeb6f7850c,intent_2dffd08f4172,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00007,MNQ,paper,buy,1,7665.125,2019-06-25 12:45:00-04:00,entry
fill_582c8e64d201,ord_4cb80d433a34,intent_c9d303043d5f,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00007,MNQ,paper,sell,1,7614.875,2019-06-25 14:45:00-04:00,stop
fill_39345aa5b32b,ord_6c670fa462d4,intent_dbd1ed3707a9,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00009,MNQ,paper,sell,1,7834.0,2019-07-08 03:15:00-04:00,entry
fill_4ef2be320f9c,ord_f7b85d677bc1,intent_01a52b730f01,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00009,MNQ,paper,buy,1,7884.25,2019-07-10 08:45:00-04:00,stop
fill_63258c9d9895,ord_bd86eb1432b8,intent_be04b1c0c91d,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00010,MNQ,paper,buy,1,7855.75,2019-07-17 20:45:00-04:00,entry
fill_284714620ce3,ord_97f38afe5c04,intent_bdfd3e81e47c,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00010,MNQ,paper,sell,1,7840.5,2019-07-22 00:15:00-04:00,close
