intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_aa42f48487c4,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00001,MNQ,paper,sell,limit,1,7626.5,,entry,submitted,false,,,false,entry,7676.5,7326.5,,GTC,2019-05-13 12:00:00-04:00,,2026-05-26T18:12:58Z,2026-05-26T18:12:58Z
intent_563c10881164,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00001,MNQ,paper,buy,stop,1,,7676.5,protective_stop,submitted,false,,intent_aa42f48487c4,true,stop,,,ord_c542dbdf8561_bracket,GTC,,,2026-05-26T18:12:58Z,2026-05-26T18:12:58Z
intent_1d39e2ce3973,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00001,MNQ,paper,buy,limit,1,7326.5,,target,submitted,false,,intent_aa42f48487c4,true,target,,,ord_c542dbdf8561_bracket,GTC,,,2026-05-26T18:12:58Z,2026-05-26T18:12:58Z
intent_c1962c5fad43,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00001,MNQ,paper,buy,market,1,,,week_roll_close,submitted,false,,,true,close,,,,GTC,2019-05-20 00:00:00-04:00,,2026-05-26T18:12:59Z,2026-05-26T18:12:59Z
intent_945767c61a11,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00002,MNQ,paper,buy,limit,1,7463.625,,entry,submitted,false,,,false,entry,7413.625,7763.625,,GTC,2019-05-20 01:00:00-04:00,,2026-05-26T18:12:59Z,2026-05-26T18:12:59Z
intent_ab09a950d418,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00002,MNQ,paper,sell,stop,1,,7413.625,protective_stop,submitted,false,,intent_945767c61a11,true,stop,,,ord_02f5139477bb_bracket,GTC,,,2026-05-26T18:12:59Z,2026-05-26T18:12:59Z
intent_6914bbee8aac,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00002,MNQ,paper,sell,limit,1,7763.625,,target,submitted,false,,intent_945767c61a11,true,target,,,ord_02f5139477bb_bracket,GTC,,,2026-05-26T18:12:59Z,2026-05-26T18:12:59Z
intent_f95d259e3589,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00003,MNQ,paper,sell,limit,1,7407.375,,entry,submitted,false,,,false,entry,7457.375,7107.375,,GTC,2019-05-27 00:00:00-04:00,,2026-05-26T18:12:59Z,2026-05-26T18:12:59Z
intent_becb321d2655,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00004,MNQ,paper,sell,limit,1,7223.875,,entry,submitted,false,,,false,entry,7273.875,6923.875,,GTC,2019-06-03 15:00:00-04:00,,2026-05-26T18:12:59Z,2026-05-26T18:12:59Z
intent_eb1f4120e0cc,mnq_weekly_mid_ma500_bias,mnq_weekly_mid_ma500_bias-WMID-00004,MNQ,paper,buy,stop,1,,7273.875,protective_stop,submitted,false,,intent_becb321d2655,true,stop,,,ord_1df53d83d02a_bracket,GTC,,,2026-05-26T18:12:59Z,2026-05-26T18:12:59Z
